,fluxes,kcat,MW,kcat_MW,source,equ
ALATA_D2_num1,0.0,4681.349382315276,90.6321,51.65222236178215,,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,0.00018581924711434276,,,,,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,0.00018581924711434276,2750.76465,68.6444,40.072673808788466,,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.20621936732893117,1168424.7273818182,97.5439,11978.449983872062,,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,159865.3806390936,36.7741,4347.227549799822,,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.00037163849422860995,,,,,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,,,,,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,,,,,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,375752.2009318254,139.3667,2696.1404763966243,,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,101953.3495178584,143.4127,710.9087934182843,,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5_num1,0.0,,,,,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,,,,,acgam_e --> 
EX_cellb_e,0.0,,,,,cellb_e --> 
EX_chol_e,0.0,,,,,chol_e --> 
LEUTAi_num1,0.0,65684.65039626334,204.5595,321.1029084264644,,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.31757509256040894,353525.89090909093,29.4133,12019.252885908447,,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.18419853664063246,,,,,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2_num1,0.0,4681.349382315276,145.9772,32.06904490780256,,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,61907781.6,42.8494,1444775.9268507843,,man6p_c --> f6p_c
APRAUR,0.00037163849422868546,,,,,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0007432769884573709,,,,,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,0.0001858192471143427,7219.5,34.7338,207.85229373117824,,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN_num1,0.0,146713.84615384616,30.3706,4830.78523815289,,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,0.00037163849422868546,2112.798,70.3339,30.03953996579175,,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,,,,,pi_e --> 
EX_h_e,7.656418763973906,,,,,h_e --> 
DMATT,0.00023164910626812842,2158.457142857143,32.1593,67.11766558529392,,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,0.00023164910626812842,28417.542857999997,32.1593,883.649297652623,,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,0.0003716384942286855,1029909.6,27.7976,37050.30650128069,,hmbil_c --> h2o_c + uppg3_c
UPPDC1,0.00018581924711434276,1199329.2,39.2477,30557.948618645165,,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,518696.0,94.4132,5493.892803124986,,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,,,,,ade_e --> 
EX_4abut_e,0.0,,,,,4abut_e --> 
EX_ac_e,0.0,,,,,ac_e --> 
EX_akg_e,0.0,,,,,akg_e --> 
EX_ala__L_e,0.0,,,,,ala__L_e --> 
EX_arg__L_e,0.0,,,,,arg__L_e --> 
EX_asp__L_e,0.0,,,,,asp__L_e --> 
EX_cytd_e,0.0,,,,,cytd_e --> 
EX_dcyt_e,0.0,,,,,dcyt_e --> 
EX_fum_e,0.0,,,,,fum_e --> 
EX_glu__L_e,0.0,,,,,glu__L_e --> 
EX_gua_e,0.0,,,,,gua_e --> 
HCO3E_num1,0.0,12149915294.11765,100.3859,121032090.1054595,,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,24617.813649907985,57.3286,429.41592241757144,,h2o_c + imp_c --> fprica_c
IMPD,0.20267463604092983,29421.282357244232,208.0874,141.3890622750067,,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4_num1,0.0,4002840.0000000005,77.0713,51936.84289742097,,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.002973107953829484,3869.7523122403272,53.8151,71.90829919930144,,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,0.00018581924711434276,3596400.0,23.015,156263.30653921355,,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,526466.952,24.3528,21618.333497585496,,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,5767.380000000001,24.3528,236.82615551394505,,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,526466.952,24.3528,21618.333497585496,,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,526466.952,24.3528,21618.333497585496,,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.0,52075.78875,67.8815,767.1573072191983,,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT_num1,0.0,29510.152,67.8815,434.7304051913997,,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5_num1,0.0,664696.5400810477,23.5857,28182.184123475137,,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,220052.08611007206,77.6539,2833.754468353452,,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.2756416047048835,238272.53185245665,52.6999,4521.308993991574,,h_c + orot5p_c --> co2_c + ump_c
CS,1.3339278342888854,176931.2310722343,288.0868,614.1594514994589,,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,1.3339278342888854,474083.12155742594,91.5124,5180.534239703317,,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD_num1,0.0,39708.0,33.4421,1187.3656259624845,,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
ACS,0.0,2071300.0,72.0927,28731.064310256104,,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA_num1,0.0,370525.8461538462,116.2706,3186.7544001135816,,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,96962.89655172412,59.6427,1625.7294950048224,,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,472238.4,252.7864,1868.1321463496454,,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR_num1,0.03473236707721988,152416.80000000002,77.6884,1961.8990737355896,,ala__L_c --> ala__D_c
ALATA_L_num1,0.0,161428.45274364616,91.0337,1773.2823420738266,,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK_num1,0.0,2569370.4000000004,122.1774,21029.833668092462,,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.0,60150.857142857145,64.5802,931.4132991668828,,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,11826000.0,224.9204,52578.60114067022,,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,292975.71428571426,44.3694,6603.102910693277,,r1p_c --> r5p_c
ASPTA_num1,0.0,553694.2353617613,87.1457,6353.6609994728515,,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP_num1,0.0,600801.2397011027,68.6461,8752.154014592274,,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,273324.5142857143,194.7884,1403.1868134124738,,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK_num1,0.0,9171089.865414573,205.4264,44644.163872874036,,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO_num1,0.0,424938.4615384615,140.7829,3018.3954268484417,,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,,,,,met__L_e --> 
EX_metsox_S__L_e,0.0,,,,,metsox_S__L_e --> 
IPPMIb,0.0,9598.568463020709,72.3685,132.63461952397398,,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS_num1,0.24208914818333133,131391.25714285712,143.0911,918.235006529806,,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS_num1,0.0,140584.43076923073,161.9203,868.2322770476013,,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.31757509256040894,66641.84391986982,46.0953,1445.7405401390124,,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.0473655760704959,30093.410930921582,228.7262,131.56958376837278,,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.0473655760704959,4895.8860803576235,113.7385,43.04510856357014,,anth_c + prpp_c --> ppi_c + pran_c
CHORM_num1,0.0,504308305.0477137,86.2217,5848971.953089694,,chor_c --> pphn_c
CHORS,0.31757509256040894,35853.47542559928,156.548,229.02544539437923,,3psme_c --> chor_c + pi_c
IGPS,0.0473655760704959,13523.158490745027,49.4917,273.2409371822958,,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,-0.0,,,,,crn_e --> 
EX_fe3_e,0.0,,,,,fe3_e --> 
EX_glcn_e,0.0,,,,,glcn_e --> 
EX_gln__L_e,0.0,,,,,gln__L_e --> 
EX_glyc_e,0.0,,,,,glyc_e --> 
EX_man_e,0.0,,,,,man_e --> 
EX_mn2_e,0.0,,,,,mn2_e --> 
EX_rib__D_e,0.0,,,,,rib__D_e --> 
EX_sbt__D_e,0.0,,,,,sbt__D_e --> 
ECOAH6_num1,0.0,4002840.0000000005,77.0713,51936.84289742097,,3htdcoa_c --> h2o_c + td2coa_c
ENO,9.58674388775334,230620.3980150204,91.3088,2525.719295566477,,2pg_c --> h2o_c + pep_c
FBA_num1,2.2521959970835663,37029.58591645844,78.2936,472.9580184901249,,fdp_c --> dhap_c + g3p_c
MGSA,0.0,877072.5,101.5103,8640.231582410848,,dhap_c --> mthgxl_c + pi_c
PPS,0.0,1416119.76,174.8682,8098.212024827842,,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,0.0,4689890.599298852,123.058,38111.22071948878,,g6p_c --> f6p_c
PGK,0.0,982517.4172139612,41.1177,23895.242613618007,,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,0.0,259742.268,66.8513,3885.3734781522576,,2ddg6p_c --> g3p_c + pyr_c
PGL,21.067844429885454,184850.97777079206,36.3072,5091.30359187137,,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,13.39877445845485,4676669.010104302,24.554,190464.64975581586,,ru5p__D_c --> xu5p__D_c
TALA_num1,0.0,551472.9063417434,70.4376,7829.240438938059,,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1_num1,0.0,43499085.21245018,144.4218,301194.73107557296,,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,1036669.0909090908,178.6432,5803.0145614783605,,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x_num1,0.0,614130.9230769231,3845.0436,159.72014545606794,,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y_num1,0.0,58605.48,29.4098,1992.719433658168,,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,539316.0,188.7955,2856.614696854533,,rmn_c --> rml_c
EX_ura_e,0.0,,,,,ura_e --> 
EX_val__L_e,0.0,,,,,val__L_e --> 
EX_xan_e,0.0,,,,,xan_e --> 
FMNAT,0.0001858192471143427,168.39666,34.7338,4.848207221783968,,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP_num1,0.0,375317.55,59.3772,6320.903478102708,,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT_num1,0.0,27709.785054000004,189.381,146.31766150775422,,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1_num1,0.0,779.6571428571428,114.5331,6.807264824379527,,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6_num1,0.0,664696.5400810477,23.5857,28182.184123475137,,atp_c + dudp_c --> adp_c + dutp_c
NDPK8_num1,0.0,664696.5400810477,23.5857,28182.184123475137,,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,263696.0,162.9527,1618.2364575732709,,pi_c + uri_c --> r1p_c + ura_c
DURIPP_num1,0.0,108121.84615384613,94.4132,1145.1984060898915,,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,,,,,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS_num1,0.0,16547.365845800727,172.8475,95.7339032719636,,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,18958.90909090909,211.0914,89.81374461919857,,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3_num1,0.0,2073051.7332244897,17.4327,118917.42146795904,,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,1828990.311,35.3523,51736.105175617995,,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,1828990.311,35.3523,51736.105175617995,,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,25.79808771111001,,,,,co2_e --> 
PMDPHT_num1,0.0,5574.4,30.1958,184.60845548056355,,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,802172.3112520719,204.5595,3921.462025728806,,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,690943.2723455628,204.5595,3377.712950733468,,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,15318.36,47.1334,325.00010608188666,,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0007432769884573709,1006.2077142857144,969.3782,1.037992926069221,,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.24208914818333133,167295.78628544055,131.0617,1276.4658652027294,,23dhmp_c --> 3mop_c + h2o_c
G1PP_num1,0.0,263400.0,22.7315,11587.444735279238,,g1p_c + h2o_c --> glc__D_c + pi_c
PFL_num1,0.0,28737.0,118.388,242.73575024495727,,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,3770063.2335142805,121.2153,31102.20602113991,,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,,,,,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,0.0,,,,,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr_num1,0.0,5373508.069207281,463.0271,11605.169695698765,,accoa_c + pi_c --> actp_c + coa_c
ACKr_num1,0.4851182251143975,2953305.5529747955,42.4332,69598.93557343767,,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,,,,,hxan_e --> 
EX_ile__L_e,0.0,,,,,ile__L_e --> 
EX_lac__L_e,0.0,,,,,lac__L_e --> 
EX_leu__L_e,0.0,,,,,leu__L_e --> 
EX_no3_e,-0.0,,,,,no3_e --> 
EX_orn_e,0.0,,,,,orn_e --> 
EX_pro__L_e,0.0,,,,,pro__L_e --> 
EX_pyr_e,0.0,,,,,pyr_e --> 
EX_succ_e,0.0,,,,,succ_e --> 
EX_thymd_e,0.0,,,,,thymd_e --> 
EX_tyr__L_e,0.0,,,,,tyr__L_e --> 
MOAT,0.016212104358101585,,,,,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,4.5829859153762725e-05,8235.16373781818,56.8876,144.76201734329064,,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.016212104358101585,,,,,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.016212104358101585,,,,,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.016212104358101585,8640.0,35.5889,242.77232507888687,,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,,,,,btn_e --> 
EX_ptrc_e,0.0,,,,,ptrc_e --> 
EX_spmd_e,0.0,,,,,spmd_e --> 
EX_thym_e,-0.0,,,,,thym_e --> 
EX_xtsn_e,0.0,,,,,xtsn_e --> 
NTPP1_num1,0.0,51435.72,14.9269,3445.8407304932703,,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2_num1,0.0,24891.6,14.9269,1667.5666079360085,,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,14400000.0,356.2933,40416.14029789502,,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,,,,,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD_num1,0.0,79982.47458797744,79.0331,1012.012366818174,,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,41068.354413552464,142.2409,288.72394939537406,,5aizc_c --> 5caiz_c
ADSL2r,0.3731333809072488,407904.3968080218,206.1686,1978.4991352127427,,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,,,,,fe2_e --> 
PUNP5_num1,0.0,4521917.454545454,179.0058,25261.290162360405,,ins_c + pi_c --> hxan_c + r1p_c
PUNP6_num1,0.0,122306.4,155.6978,785.5371109932187,,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,122306.4,179.0058,683.2538387024331,,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1_num1,0.0,10192.2,274.1366,37.17927485786284,,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3_num1,0.0,10192.2,270.3885,37.69465047514964,,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4_num1,0.0,10048.049725600416,270.3885,37.16152767444035,,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.021803347174860502,13714.111855407786,60.9587,224.9738241696064,,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,3096.0,23.4563,131.99012632000785,,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,0.0005616240921746396,6719.9999994,521.2517,12.892044283788426,,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,,,,,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,,,,,glc__D_e --> 
EDD,0.0,,,,,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.31757509256040894,287753.1628923409,54.9327,5238.2854455058805,,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,103077.0,155.6978,662.0324757318342,,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,122306.4,155.6978,785.5371109932187,,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3_num1,0.0,177230.76923076925,179.0058,990.083948289772,,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,149549.4,38.7492,3859.419033167136,,lys__L_c --> 36dahx_c
DHAD1,0.7285839356126744,167295.78628544055,131.0617,1276.4658652027294,,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,9598.568463020709,72.3685,132.63461952397398,,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,,,,,alltn_e --> 
G3PD7,0.0,119880.0,148.4219,807.6975163368747,,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9_num1,0.0,11645835.263242595,40.3395,288695.57786394464,,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10_num1,0.0,11645835.263242595,40.3395,288695.57786394464,,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,1.307301519390684,1763891.424752641,64.6738,27273.662978712266,,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM_num1,1.3069298808964556,2007062.6653857715,120.2092,16696.414795088658,,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,49056.84,61.694,795.1638733102085,,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,10321.513043478259,51.0897,202.02727836488097,,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,0.0,5316.624178350592,79.5657,66.82055431361242,,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,,,,,dgsn_e --> 
EX_arab__L_e,0.0,,,,,arab__L_e --> 
EX_fru_e,0.0,,,,,fru_e --> 
EX_gal_e,0.0,,,,,gal_e --> 
EX_xyl__D_e,0.0,,,,,xyl__D_e --> 
EX_duri_e,0.0,,,,,duri_e --> 
EX_for_e,0.0,,,,,for_e --> 
EX_gly_e,0.0,,,,,gly_e --> 
EX_h2_e,0.0,,,,,h2_e --> 
EX_lys__L_e,0.0,,,,,lys__L_e --> 
EX_ser__L_e,0.0,,,,,ser__L_e --> 
EX_thm_e,0.0,,,,,thm_e --> 
EX_trp__L_e,0.0,,,,,trp__L_e --> 
GLUTRR,0.002973107953829484,719683.2000000002,92.6125,7770.907814819814,,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,1093500.0,52.8218,20701.679988186694,,adpglc_c --> adp_c + glycogen_c + h_c
GLCP_num1,0.0,,,,,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,,,,,din_e --> 
EX_fmn_e,0.0,,,,,fmn_e --> 
EX_gthox_e,0.0,,,,,gthox_e --> 
HEMEOS,0.0,,,,,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,16389.043625454546,30.3843,539.3918446518284,,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,5457.6,67.1133,81.31920200615974,,agm_c + h2o_c --> ptrc_c + urea_c
