,kcat_mw,flux,enz useage,enz ratio
KARA1_reverse,23.849305743907895,0.4590530148859159,0.019248066162394564,0.16884268563504004
GND,2633.457210676498,22.428915846145,0.008516909162303543,0.07470972949389072
ATPS4rpp,6372.3286925011425,52.38778989170522,0.008221137423961565,0.07211524056106636
TKT2,1156.9213941981884,7.1726058914069535,0.006199734854396026,0.054383639073649355
PGL,5091.247501900429,24.495696447388124,0.004811334832620988,0.04220469151421919
PSERT,187.76722896290661,0.901766349230578,0.004802575796699443,0.04212785786578459
PAPSR2,33.78753124563099,0.12993097661507844,0.0038455303428503555,0.03373272230570487
KARA2,42.209426492340114,0.15253116067027944,0.0036136752698584943,0.031698905875951706
ENO,2525.6888683483394,8.292022866368974,0.0032830737666399495,0.028798892689824118
GAPD,2950.9180088651237,9.193789215599553,0.0031155691849043743,0.02732955425354714
CYTBO3_4pp,20262.03520707449,56.277595224328394,0.0027774897560477576,0.0243639452284891
ACGS,64.0939621460231,0.1552942979082408,0.002422916179755576,0.021253650699610317
PPC,665.2604282544572,1.5539179260424867,0.0023358039348886756,0.020489508200777856
SADT2,59.309492001272965,0.12993097661507844,0.0021907281993292023,0.019216914029203527
ADSS,79.89799237299859,0.15713813943961247,0.0019667345170079277,0.017252057166736206
IPPMIa_reverse,132.6331533537011,0.23653410278471915,0.0017833708752587592,0.015643604168936485
IPPMIb_reverse,132.6331533537011,0.23653410278471915,0.0017833708752587592,0.015643604168936485
ACCOAC,122.8958764234186,0.17487408893095244,0.0014229451306279066,0.012481974830069355
ASNS2,99.35457994491215,0.12655672561215647,0.0012737885428364426,0.0111735837090916
ACOTA_reverse,126.39413500383421,0.1552942979082408,0.001228651138785276,0.010777641568291894
IPPS,194.78915283108108,0.23653410278471915,0.0012143083911342785,0.010651827992405952
CTPS2,69.94713552903022,0.08427752329921147,0.0012048745479253213,0.010569074981801064
GLNS,779.7342737383661,0.8224084492428353,0.0010547291262443443,0.009252009879336354
CS,590.5506631784037,0.5644885147554946,0.0009558680566327027,0.008384807514321952
G6PDH2r,27446.914965424632,24.495696447388124,0.0008924754012698983,0.007828731590086827
CHORS,229.02281203808624,0.20009198194843286,0.0008736770811946793,0.007663834045567363
DHDPS,230.4193137346608,0.19475261168241206,0.0008452095812883086,0.00741411913410797
AIRC3_reverse,288.72049885196134,0.23509714541812,0.0008142724411773194,0.0071427407120817485
ASPK,726.9394644742875,0.5612775424303242,0.0007721104299052361,0.006772898507940667
KDOPP,26.576353571267838,0.02042926015647978,0.0007687006459218022,0.006742988122121072
CO2tex_reverse,40866.51883318211,29.261617302984988,0.0007160291147487128,0.006280957146918533
H2Otex_reverse,61929.821840200304,43.12572795852278,0.0006963644763875086,0.0061084603191886725
ANPRT,43.044578745013844,0.02984324720072934,0.0006933102395429132,0.006081668767920291
O2tex,40866.51883318211,28.14123130448161,0.0006886133712380699,0.006040468168754999
IMPC_reverse,429.41142820761496,0.2848357157487271,0.0006633165701659265,0.005818566404964267
HEX1,16969.2222151824,9.999999999962505,0.0005893022009585969,0.005169317552268393
EDA,3885.326982996795,2.0667806012431296,0.0005319450873215822,0.004666184976505106
AIRC2,468.2028629460405,0.23509714541812,0.0005021266720558573,0.004404619930314538
