,fluxes,reduced_costs
ALATA_D2,0.0,862.7707777550781
SHCHD2,0.00015928505554531022,-2.0
CPPPGO,0.00015928505554531022,-682.605524849223
GTHOr,0.17677212608279938,-4.276891686653471
DHORD5,0.0,-8.273796798073693
GLYCTO2,0.0003185701110905992,-2.0
GLYCTO3,0.0,-2.0
GLYCTO4,0.0,-2.0
PFK_3,0.0,-12.115800490985066
TRPS2,0.0,78.87871479377581
G3PD5,0.0,0.0
EX_acgam_e,0.0,641.3323057932771
EX_cellb_e,0.0,519.3606544536901
EX_chol_e,-0.0,-2.0
LEUTAi,0.32180652627750744,-38.155192698194696
SHK3Dr,0.27222673132005865,-4.325991661750891
G5SD,0.15789577557654058,-2.0
ALATA_L2,0.0,832.967506087057
MAN6PI,0.0,-2.018877465360873
APRAUR,0.0003185701110904988,-2.0
DB4PS,0.0006371402221809976,-2.0
RBFK,0.00015928505554518857,-133.2168258015954
ACP1_FMN,0.0,332.81323212704444
RBFSb,0.0003185701110904988,-909.9245513471469
EX_pi_e,0.0,2.0
EX_h_e,6.563115000392286,-2.0
DMATT,0.00019857060736139243,-408.35471729232427
GRTT,0.00019857060736139243,-32.86471081820082
UPP3S,0.00031857011109062043,-2.736124003691657
UPPDC1,0.00015928505554531022,-2.8925207617539854
TMDPP,0.0,16.893054236233414
EX_ade_e,0.0,2278.3482150500013
EX_4abut_e,0.0,344.09691139965344
EX_ac_e,0.0,59.54980858839484
EX_akg_e,0.0,478.1109769676591
EX_ala__L_e,0.0,187.88952376001419
EX_arg__L_e,0.0,1170.9591239783215
EX_asp__L_e,0.0,340.1422960274343
EX_cytd_e,0.0,1402.9281763016768
EX_dcyt_e,0.0,863.1785560958622
EX_fum_e,0.0,315.77219531926755
EX_glu__L_e,0.0,541.0556707287238
EX_gua_e,0.0,2199.534800979042
HCO3E,0.5577691218575198,-2.0001066888307495
IMPC,0.0,192.53982143622875
IMPD,0.0,-39.46768703855852
ECOAH4,0.25419894873302695,-2.5251309586892603
GLUTRS,0.0025485608887249635,-381.28347623653997
TMPPP,0.00015928505554531022,-2.1745366953309713
URIK1,0.0,-3.2615987073438646
URIK2,0.0,114.57554395627918
CYTDK1,0.0,-3.2615987073438646
CYTDK2,0.0,0.6739271129777364
XPPT,0.17373356722051425,-37.551622791420186
HXPRT,0.0,209.23265288417127
NDPK5,0.0,4.903288730482728
DHORTS,0.0,30.873681913947117
OMPDC,0.23628116569108026,-8.03224335537982
CS,0.7679911096048122,-39.63012284432526
ICDHyr,0.7679911096048122,-7.264635341092287
ACALD,0.0,-24.96988495952428
ACS,0.0,73.83555810646044
PPA,2.6748396521999296,-3.980059895348422
PPCK,0.0,164.10695279003178
ME1,0.0,163.4979794217141
ALAR,0.029772734014527447,-15.901635834010563
ALATA_L,0.0,45.411734251371264
XYLK,0.0,-3.117063281874607
RBK,0.0,72.10005323157905
GLYK,0.0,-2.5187215411179977
PPM,0.0,14.391308206747723
ASPTA,0.0,11.145830041781249
FBP,0.0,0.7183803999671756
GLGC,0.0,-21.436922716901336
PYK,0.0,6.171333604225649
A5PISO,0.027794170768516195,-10.736795744064693
EX_met__L_e,0.0,2366.3135885012425
EX_metsox_S__L_e,0.0,2416.569553703508
IPPMIb,0.0,239.6601927239249
ACHBS,0.2075198560651275,-31.702233518154117
ACLS,0.6245452742689958,-29.759928879891447
PSCVT,0.27222673132005865,-20.86481059139777
ANS,0.040601974943327665,-209.29438264993706
ANPRT,0.040601974943327665,-635.6065170795576
CHORM,0.23098761615454977,-2.0045473722351517
CHORS,0.27222673132005865,-121.08562896018174
IGPS,0.040601974943327665,-101.81541031788197
EX_crn_e,0.0,6.669503191999652
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,190.05361229172576
EX_gln__L_e,0.0,637.4910857952706
EX_glyc_e,0.0,191.42966951497965
EX_man_e,0.0,180.09302620006736
EX_mn2_e,0.0,2.0
EX_rib__D_e,0.0,192.37015579265358
EX_sbt__D_e,0.0,295.4520444744292
ECOAH6,0.10744812706533602,-2.5251309586892603
ENO,7.6356815636063,-12.798371073955835
FBA,0.0,-59.66608887269098
MGSA,0.0,95.15820318528571
PPS,0.0,70.14291671147049
PGI,0.0,3.809615159262382
PGK,0.0,3.856342619542846
EDA,0.16605688575461564,-9.019570228487026
PGL,27.802980369580034,-3.4949109257250655
RPE,17.870471519034588,-2.1431948017814193
TALA,9.071349125177322,-3.7635210227114158
TKT1,9.071349125177322,-2.045796764014
G6PDA,0.0,312.6325086573514
ALCD2x,0.0,15.132996362349392
ALDD2y,0.0,38.501336434413304
RMI,0.0,-11.547545178191356
EX_ura_e,0.0,519.900664634326
EX_val__L_e,0.0,1863.863893653319
EX_xan_e,0.0,1816.9552795963255
FMNAT,0.00015928505554518857,-5627.526503945082
NADDP,0.0,-6.314833668717029
NMNAT,0.0,176.41213591618686
HMPK1,0.0,-2160.1568018837484
NDPK6,0.0,-2.9677629101609
NDPK8,0.0,-2.9677629101609
PYNP2r,0.0,52.56175830558685
DURIPP,0.0,-25.81562387642839
PTRCTA,0.0,-2.0
CYSDS,0.0,561.2471902904945
TRPAS2,0.0,461.7565665103533
NDP3,0.0,67.72887103763719
CDPPH,0.0,68.34382523680657
NDP7,0.0,68.13102711194702
EX_co2_e,30.681974104978195,-2.0
PMDPHT,0.0003185701110904988,-134.69717595991665
ILETA,0.0,178.8297651466762
VALTA,0.0,40.10601767329055
ORPT,0.0,88.63833183279924
RBFSa,0.0006371402221809976,-26277.395318967458
DHAD2,0.2075198560651275,-23.366507082051385
G1PP,0.0,63.44405070234022
PFL,0.0,-39.497292432383006
FRD2,0.0,28.150901973952728
FRD3,0.0,27.27399896258072
POX,3.0298188984309293,-2.0000000000002274
PTAr,0.0,2.9991604229124107
ACKr,3.4456643215147937,-2.3918687370805856
EX_hxan_e,0.0,1848.2175114633503
EX_ile__L_e,0.0,2548.959546702737
EX_lac__L_e,0.0,141.5707659375446
EX_leu__L_e,0.0,2187.348412932331
EX_no3_e,0.0,61.380290053381536
EX_orn_e,0.0,874.3727383805729
EX_pro__L_e,0.0,693.6259994026028
EX_pyr_e,0.0,101.58290503860019
EX_succ_e,0.0,336.98526274367293
EX_thymd_e,0.0,1031.6769042267517
EX_tyr__L_e,0.0,1119.8382244074762
MOAT,0.013897085384258098,-2.0
UDCPDPS,3.928555181610671e-05,-190.40343421400394
USHD,0.013897085384258098,-2.0
LPADSS,0.013897085384258098,-2.0
TDSK,0.013897085384258098,-114.34242678345254
EX_btn_e,0.0,24022.507228069364
EX_ptrc_e,0.0,197.6325281925807
EX_spmd_e,-0.0,-2.0
EX_thym_e,-0.0,-2.0
EX_xtsn_e,0.0,2008.8908462660015
NTPP1,0.0,141.26782886413346
NTPP2,0.0,157.08829516632363
NTPTP1,0.0,62.88145708071218
NTPTP2,0.0,140.7329118711864
IPMD,0.32180652627750744,-15.74702896756071
AIRC3,0.0,285.38818053687044
ADSL2r,0.31985153436260855,-15.785029812675702
EX_fe2_e,0.0,2.0
PUNP5,0.17373356722051425,-2.9390802030964096
PUNP6,0.0,-36.71971345756492
PUNP7,0.0,-41.917251183836356
RNDR1,0.0,687.1746385358198
RNDR3,0.0,683.239112715498
RNDR4,0.0,693.6191090716063
TMDS,0.018689922705823262,-123.23027607251151
TMDK1,0.0,-208.63420209500487
PPCDC,0.0004814265804364837,-2117.540324518174
FTHFD,0.0,8.11107116124731
EX_glc__D_e,0.0,240.15221242791688
EDD,0.16605688575461564,-2.0
DHQTi,0.27222673132005865,-7.2065936063407605
PUNP1,0.0,47.58521795544261
PUNP2,0.0,-36.71971345756492
PUNP3,0.0,-25.959965762120646
LYSAM,0.0,-9.06683789897636
DHAD1,0.6245452742689958,-23.3665070820515
IPPMIa,0.0,244.67243398973145
EX_alltn_e,0.0,245.36119019904223
G3PD7,0.0,33.767120827755335
NADH9,0.0,2.0944720520987476
NADH10,0.0,2.0944720520987476
MDH,-4.326017322142661e-11,-3.000000000000199
FUM,0.744848348171369,-3.6335029752924015
PYDXNK,0.0,187.56309545532753
PYAM5PO,0.0,-136.9998184433163
OHPBAT,0.0,1147.5833329175534
EX_dgsn_e,0.0,2499.8592860027734
EX_arab__L_e,0.0,117.27670351423512
EX_fru_e,0.0,183.66593457672786
EX_gal_e,0.0,202.4065041716333
EX_xyl__D_e,0.0,890.8321183799369
EX_duri_e,0.0,831.3638256283293
EX_for_e,0.0,118.22134631655831
EX_gly_e,0.0,189.36919178315338
EX_h2_e,0.0,63.0117028316117
EX_lys__L_e,0.0,1263.1381692980415
EX_ser__L_e,0.0,311.5196402008422
EX_thm_e,0.0,32249.13065291969
EX_trp__L_e,0.0,3624.103694802652
GLUTRR,0.0025485608887249635,-5.509712147560549
GLCS1,0.0,-3.317460004675695
GLCP,0.0,114.80662985012555
EX_din_e,0.0,2145.876748083082
EX_fmn_e,0.0,110481.50700875951
EX_gthox_e,0.0,3868.309518266458
HEMEOS,0.0,-2.0
ADMDC,0.0,-52.563602659210574
AGMT,0.0,142.21148550786614
ARGDC,0.0,3058.40873700607
ARGSS,0.21127912623254888,-1.9999999999999432
AGPR,0.0,2.0000000000002274
SPMS,0.0,-72.48303265852508
G1SAT,0.0025485608887249635,-1349.8043761535896
KDOCT2,0.027794170768516195,-16.29644121265642
OAADC,0.0,155.93379742753206
MNNH,0.0,-124.92735968769306
ALTRH,0.0,-2.0
GUI1,0.0,-8.026565507500333
PGAMT,0.0,702.8445593737779
UAGDP,0.06749114945455278,-10.705086812110949
