,fluxes,kcat,MW,kcat_MW,source,equ
ALATA_D2,0.0,4681.349381,90.6332,51.6515954528804,,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,0.00022465557033111763,,,,,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,0.00022465557033111763,2750.764651,68.6453,40.072148435508325,,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.2493193267115945,1168424.727,97.545,11978.314900815007,,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,159865.3806,36.7745,4347.180263497804,,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,55.82170541001399,,,,,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,,,,,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,,,,,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,375752.201,139.3682,2696.111458711528,,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,101953.3495,143.4143,710.9008620479269,,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5,0.0,,,,,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,,,,,acgam_e --> 
EX_cellb_e,0.0,,,,,cellb_e --> 
EX_chol_e,-0.0,,,,,chol_e --> 
LEUTAi,0.45387577917869404,65684.65039,87.0756,754.3404856239865,,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.38394845878486644,344888.0336,29.4136,11725.461473604048,,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.22269613049123413,,,,,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2,0.0,4681.349381,90.6332,51.6515954528804,,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,61907781.6,42.85,1444755.6966161027,,man6p_c --> f6p_c
APRAUR,0.00044931114066225136,,,,,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0008986222813245027,,,,,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,0.0002246555703311337,7219.500001,34.7343,207.8493017276871,,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN,0.0,146713.8461,27.122,5409.403661234422,,fmn_c + h2o_c --> pi_c + ribflv_c
