,fluxes,reduced_costs,equ
ALATA_D2,0.0,290.2917366729576,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,0.00016527624182561924,-882.0955309868441,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,0.00016527624182561924,-824.4355431922086,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.019392906473583646,-42.608011483576774,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,-12.25770599168257,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.0,-15.040100935855452,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,-27.930993927464534,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,-14.643723579345533,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,-9.19725300470882,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,37.411974225353816,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5,0.0,38.99856893676907,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,529.5345907154194,acgam_e --> 
EX_cellb_e,0.0,29.28456816070654,cellb_e --> 
EX_chol_e,-0.0,-2.0,chol_e --> 
LEUTAi,0.33391063007147115,-19.355768190813592,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.282465991068781,-8.879187151087976,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.16383470689131058,-40.19358292810527,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2,0.0,211.97023442871387,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,29.123544148847508,man6p_c --> f6p_c
APRAUR,0.0003305524836512263,-757.142096216669,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0006611049673024526,-413.465283818369,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,0.00016527624182560707,-1157.971465227005,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN,0.0,2356.127767047662,fmn_c + h2o_c --> pi_c + ribflv_c
