,fluxes,reduced_costs
ALATA_D2,0.0,638.1364902833864
SHCHD2,0.00011370661935457164,-2029.5939474597108
CPPPGO,0.00011370661935457164,-1896.7549110748369
GTHOr,0.01334191660103911,-95.55411475633082
DHORD5,0.0,60.35204887500514
GLYCTO2,0.0,9.199158969959456
GLYCTO3,0.0,62.87711442259463
GLYCTO4,0.0,-31.129039405634103
PFK_3,0.0,-18.581275687562083
TRPS2,0.0,98.29888730601846
G3PD5,0.0,59.23856839198953
EX_acgam_e,0.0,1168.0073586503033
EX_cellb_e,-0.0,-2.0
EX_chol_e,-0.0,-2.0
LEUTAi,0.22972357365217272,-41.98480766940179
SHK3Dr,0.19433073121881156,-17.84850478146322
G5SD,0.112714873279932,-89.99167232447506
ALATA_L2,0.0,460.30442369176313
MAN6PI,0.0,64.48814135914998
APRAUR,0.00022741323870918598,-1741.7219845488744
DB4PS,0.00045482647741837195,-949.9476825935928
RBFK,0.00011370661935461435,-2665.1662857127376
ACP1_FMN,0.0,5436.630346480328
RBFSb,0.00022741323870918598,-16180.215921067633
EX_pi_e,0.0,2.0
EX_h_e,6.099317544471993,-2.0
DMATT,0.00014175085282767228,-1851.3181627815422
GRTT,0.00014175085282767228,-1851.3181627815393
UPP3S,0.00022741323870914329,-193.820152080938
UPPDC1,0.00011370661935457164,-336.3611892384215
TMDPP,0.0,463.9295934568662
EX_ade_e,0.0,4080.8302356288973
EX_4abut_e,0.0,263.96551031219235
EX_ac_e,-8.978862401851084e-11,-2.0
EX_akg_e,0.0,299.4303800026157
EX_ala__L_e,0.0,174.4260133110785
EX_arg__L_e,0.0,2554.9118362383897
EX_asp__L_e,0.0,322.9702822181781
EX_cytd_e,0.0,1978.6330034120158
EX_dcyt_e,0.0,1963.4481248897057
EX_fum_e,0.0,205.78405221097637
EX_glu__L_e,0.0,379.3604248890525
EX_gua_e,0.0,4488.613380002922
HCO3E,0.26801313045573216,-38.04084448856488
IMPC,0.0,163.68990065922327
IMPD,0.0,-188.005845622641
ECOAH4,0.18146148742558277,-48.00363996444503
GLUTRS,0.0018193059096731463,-4128.185294709415
TMPPP,0.00011370661935457164,-7942.884646301449
URIK1,0.0,242.02088037368367
URIK2,0.0,330.15878779921707
CYTDK1,0.0,-62.61012526457898
CYTDK2,0.0,-4.777467509614205
XPPT,0.12402077853082402,-163.52714444295975
HXPRT,0.0,654.3316886765156
NDPK5,0.0,17.170917415868658
DHORTS,0.0,211.37130877715063
OMPDC,0.16867076748607857,-17.152550379617423
CS,3.958177723204223,-23.032823923509568
ICDHyr,2.448774360577997,-4.397645353521511
ACALD,0.0,16.032990268047943
ACS,0.0,129.40166526261078
PPA,1.9097939432926139,-4.202977051561481
PPCK,0.0,129.99076042275695
ME1,0.0,253.16221658261102
ALAR,0.021253449811377827,-18.93415461135376
ALATA_L,0.0,130.3560719695825
XYLK,0.0,-107.40791672349997
RBK,0.12402077853082402,-29.030889840391865
GLYK,0.0,147.38310715545862
PPM,0.0,76.92622180301626
ASPTA,0.0,214.60383866659762
FBP,0.0,87.50027132463941
GLGC,0.0,-258.9870767089925
PYK,0.0,50.09228517684582
A5PISO,0.019841040234641664,-62.87616953283057
EX_met__L_e,0.0,8079.402510548514
EX_metsox_S__L_e,0.0,7632.052241987172
IPPMIb,0.0,108.4822794649556
ACHBS,0.1481393292128446,-55.003814417640115
ACLS,0.4458354961668109,-16.738923206956812
PSCVT,0.19433073121881156,-17.146919056908246
ANS,0.02898397024202653,-326.1891099828892
ANPRT,0.02898397024202653,-158.97304411967048
CHORM,0.1648919344993668,-18.96882665945418
CHORS,0.19433073121881156,-27.72085904762656
IGPS,0.02898397024202653,-70.30458784897792
EX_crn_e,0.0,2.0
EX_fe3_e,0.0,2.0
EX_glcn_e,1.41397000768666,-2.0
EX_gln__L_e,0.0,666.256182148213
EX_glyc_e,0.0,178.43097745908753
EX_man_e,0.0,71.82523852122716
