,fluxes,equ,kcat,MW,kcat_MW,source
ALATA_D2,0.0,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,,,,
SHCHD2,0.00016681842250128456,dscl_c + nad_c --> h_c + nadh_c + scl_c,,,,
CPPPGO,0.00016681842250128456,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,2750.764651,68.6453,40.072148435508325,
GTHOr,0.18513254187203107,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,1168424.727,97.545,11978.314900815007,
DHORD5,0.0,dhor__S_c + mqn8_c --> mql8_c + orot_c,,,,
GLYCTO2,0.00033363684500259394,glyclt_c + q8_c --> glx_c + q8h2_c,,,,
GLYCTO3,0.0,glyclt_c + mqn8_c --> glx_c + mql8_c,,,,
GLYCTO4,0.0,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,,,,
PFK_3,0.0,atp_c + s7p_c --> adp_c + h_c + s17bp_c,380121.9599,139.3682,2727.465518676427,
TRPS2,0.0,indole_c + ser__L_c --> h2o_c + trp__L_c,104461.65,143.4143,728.3907532233536,
G3PD5,0.0,glyc3p_c + q8_c --> dhap_c + q8h2_c,,,,
EX_acgam_e,0.0,acgam_e --> ,,,,
EX_cellb_e,0.0,cellb_e --> ,,,,
EX_chol_e,0.0,chol_e --> ,,,,
LEUTAi,0.33702632604451227,4mop_c + glu__L_c --> akg_c + leu__L_c,66782.00002,87.0756,766.9427488297526,
SHK3Dr,0.28510166083079397,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c,353525.8909,29.4136,12019.130296869474,
G5SD,0.1653634367086164,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,,,,
ALATA_L2,0.0,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,,,,
MAN6PI,0.0,man6p_c --> f6p_c,61907781.6,42.85,1444755.6966161027,
APRAUR,0.00033363684500249826,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,,,,
DB4PS,0.0006672736900049965,ru5p__D_c --> db4p_c + for_c + h_c,,,,
RBFK,0.0001668184225012137,atp_c + ribflv_c --> adp_c + fmn_c + h_c,7219.500001,34.7343,207.8493017276871,
ACP1_FMN,0.0,fmn_c + h2o_c --> pi_c + ribflv_c,146713.8461,27.122,5409.403661234422,
RBFSb,0.00033363684500249826,2.0 dmlz_c --> 4r5au_c + ribflv_c,2112.797999,70.3347,30.039198276242022,
EX_pi_e,0.0,pi_e --> ,,,,
EX_h_e,6.873516710728161,h_e --> ,,,,
DMATT,0.00020796197962036356,dmpp_c + ipdp_c --> grdp_c + ppi_c,2158.457144,32.1596,67.11703951541686,
GRTT,0.00020796197962036356,grdp_c + ipdp_c --> frdp_c + ppi_c,28417.54286,32.1596,883.6410546151072,
UPP3S,0.0003336368450025691,hmbil_c --> h2o_c + uppg3_c,1029909.6,27.7979,37049.90664762446,
UPPDC1,0.00016681842250128456,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,1199329.2,39.2481,30557.63718498475,
TMDPP,0.0,pi_c + thymd_c --> 2dr1p_c + thym_c,518695.9999,94.4142,5493.8346128018875,
EX_ade_e,0.0,ade_e --> ,,,,
EX_4abut_e,0.0,4abut_e --> ,,,,
EX_ac_e,0.0,ac_e --> ,,,,
EX_akg_e,0.0,akg_e --> ,,,,
EX_ala__L_e,0.0,ala__L_e --> ,,,,
EX_arg__L_e,0.0,arg__L_e --> ,,,,
EX_asp__L_e,0.0,asp__L_e --> ,,,,
EX_cytd_e,0.0,cytd_e --> ,,,,
EX_dcyt_e,0.0,dcyt_e --> ,,,,
EX_fum_e,0.0,fum_e --> ,,,,
EX_glu__L_e,0.0,glu__L_e --> ,,,,
EX_gua_e,0.0,gua_e --> ,,,,
HCO3E,0.584148743330956,co2_c + h2o_c --> h_c + hco3_c,12149915296.0,47.5285,255634309.85619155,
IMPC,0.0,h2o_c + imp_c --> fprica_c,30960.0,57.3292,540.0389330393587,
IMPD,0.0,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,31659.0,208.0898,152.14104679806508,
ECOAH4,0.26622125650115314,3hdcoa_c --> dc2coa_c + h2o_c,4002840.0,77.0722,51936.23641209152,
GLUTRS,0.002669094760020553,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,3652.155,53.8157,67.86411772029352,
TMPPP,0.00016681842250128456,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,3596400.0,23.0153,156261.26967712786,
URIK1,0.0,atp_c + uri_c --> adp_c + h_c + ump_c,526466.952,24.3531,21618.06718651835,
URIK2,0.0,gtp_c + uri_c --> gdp_c + h_c + ump_c,5767.38,24.3531,236.82323810931663,
CYTDK1,0.0,atp_c + cytd_c --> adp_c + cmp_c + h_c,526466.952,24.3531,21618.06718651835,
CYTDK2,0.0,cytd_c + gtp_c --> cmp_c + gdp_c + h_c,526466.952,24.3531,21618.06718651835,
XPPT,0.1819502747450333,prpp_c + xan_c --> ppi_c + xmp_c,52075.78877,67.8824,767.1471363711363,
HXPRT,0.0,hxan_c + prpp_c --> imp_c + ppi_c,29510.152000000002,67.8824,434.7246414387234,
NDPK5,0.0,atp_c + dgdp_c --> adp_c + dgtp_c,701471.8001,23.586,29741.024340710585,
DHORTS,0.0,dhor__S_c + h2o_c --> cbasp_c + h_c,234949.0909,77.6548,3025.557865064362,
OMPDC,0.24745605413144584,h_c + orot5p_c --> co2_c + ump_c,248163.1579,52.7005,4708.933651483382,
CS,9.408096948653107,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,703800.0,288.0899,2442.987414692428,median
ICDHyr,9.408096948653107,icit_c + nadp_c --> akg_c + co2_c + nadph_c,1584000000.0,91.5134,17308940.548597254,BRENDA and SABIO-RK
