,fluxes,reduced_costs,equ
ALATA_D2,0.0,98.20561566101355,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,9.346887415131251e-05,-2631.974343195441,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,9.346887415131251e-05,-2459.6699930542673,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.010967293995709608,-123.34822251652804,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,42.68694918357678,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.0,22.202356408167446,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,59.020598154306526,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,-39.78302178042941,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,-23.507427406938632,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,-13.635822010092397,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5,0.0,-2.8676438032105693,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,1863.468241108224,acgam_e --> 
EX_cellb_e,0.0,463.07073575344646,cellb_e --> 
EX_chol_e,-0.0,-2.0,chol_e --> 
LEUTAi,0.18883688493392367,-53.863943675643895,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.15974333563979398,-22.55695668527534,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.09265364114582238,-116.13322717704432,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2,0.0,-131.86461725043546,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,83.05282062733744,man6p_c --> f6p_c
APRAUR,0.00018693774830260486,-2258.5781424770757,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0003738754966052097,-1231.5746330452848,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,9.346887415129235e-05,-3456.3696541716345,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN,0.0,7138.722273655028,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,0.00018693774830260486,-20986.622115482576,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,2.0,pi_e --> 
EX_h_e,18.49524170925379,-2.0,h_e --> 
DMATT,0.00011652173548907293,-2400.734384966009,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,0.00011652173548907293,-2400.73438496601,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,0.00018693774830262503,-250.8082385098678,hmbil_c --> h2o_c + uppg3_c
UPPDC1,9.346887415131251e-05,-435.69696884282166,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,-101.81409280610865,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,5951.501424296852,ade_e --> 
EX_4abut_e,0.0,1443.1165305592754,4abut_e --> 
EX_ac_e,0.24401914774876227,-2.0,ac_e --> 
EX_akg_e,0.0,1050.1979903193264,akg_e --> 
EX_ala__L_e,0.0,222.6370251620183,ala__L_e --> 
EX_arg__L_e,0.0,4401.345349940006,arg__L_e --> 
EX_asp__L_e,0.0,577.0132436186981,asp__L_e --> 
EX_cytd_e,0.0,3188.4216450314607,cytd_e --> 
EX_dcyt_e,0.0,3554.7537203977763,dcyt_e --> 
EX_fum_e,0.0,419.33775504685036,fum_e --> 
EX_glu__L_e,0.0,1160.788675869901,glu__L_e --> 
EX_gua_e,0.0,6685.217732241258,gua_e --> 
HCO3E,0.22031158523283206,-48.74826359132328,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,211.72655339611998,h2o_c + imp_c --> fprica_c
IMPD,0.0,-501.63988584219715,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4,0.1491645871433592,-61.67091830767458,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.0014955019864210002,-5354.03879156935,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,9.346887415131251e-05,-10302.051895603538,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,400.839851044934,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,514.5685760145028,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,-80.61686240650329,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,-6.196811245900122,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.10194729740841,-211.51544373409615,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT,0.0,1107.695415808202,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5,0.0,-79.04000141060351,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,273.5736900748831,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.13865038665867008,-21.654240328688957,h_c + orot5p_c --> co2_c + ump_c
CS,0.45065912886321957,-90.91659088548704,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,0.45065912886321957,-76.46372781609227,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD,0.0,20.20206871770762,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
ACS,0.0,314.42411323098304,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA,1.5698847679564314,-4.857462230795058,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,366.74642523895204,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,285.21655533454486,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR,0.017470715750560577,-23.96514356701499,ala__L_c --> ala__D_c
ALATA_L,0.0,168.48953627833924,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK,0.0,-138.7236851835121,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.10194729740841,-37.0615303636298,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,47.6588371467291,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,99.18614578691947,r1p_c --> r5p_c
ASPTA,0.0,277.7665762706172,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP,0.0,200.4125229778512,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,-335.3356854434219,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK,5.636002023901017,-17.29660965048741,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO,0.016309689825003915,-80.96194609573553,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,11637.433943851984,met__L_e --> 
EX_metsox_S__L_e,0.0,10939.540207228512,metsox_S__L_e --> 
IPPMIb,0.0,140.11723168174052,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS,0.12177317730182365,-70.75078325447112,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS,0.36648474926036234,-21.11772814728863,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.15974333563979398,-21.646935989345252,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.023825341764049584,-422.502853969615,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.023825341764049584,-205.60836010840558,anth_c + prpp_c --> ppi_c + pran_c
CHORM,0.1355441183791392,-24.01011637680483,chor_c --> pphn_c
CHORS,0.15974333563979398,-35.36230090100196,3psme_c --> chor_c + pi_c
IGPS,0.023825341764049584,-90.59728240479626,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,0.0,2.0,crn_e --> 
EX_fe3_e,0.0,2.0,fe3_e --> 
EX_glcn_e,0.0,115.76344047738849,glcn_e --> 
EX_gln__L_e,0.0,1551.9739995832833,gln__L_e --> 
EX_glyc_e,0.0,180.29913367980043,glyc_e --> 
EX_man_e,0.0,334.4596145101052,man_e --> 
EX_mn2_e,0.0,2.0,mn2_e --> 
EX_rib__D_e,-0.0,-2.0,rib__D_e --> 
EX_sbt__D_e,0.0,703.9322603263862,sbt__D_e --> 
ECOAH6,0.11654520749335137,-69.86461236991454,3htdcoa_c --> h2o_c + td2coa_c
ENO,17.22420208061878,-36.05331484499307,2pg_c --> h2o_c + pep_c
FBA,8.565137984913628,-69.37237886081903,fdp_c --> dhap_c + g3p_c
MGSA,0.0,-326.1221114383418,dhap_c --> mthgxl_c + pi_c
PPS,0.0,254.14809734802566,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,6.789745437589892,-17.513491989340025,g6p_c --> f6p_c
PGK,0.0,35.75961485807088,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,0.0,111.06425474732092,2ddg6p_c --> g3p_c + pyr_c
PGL,3.2102545624101078,-3.7661699344274098,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,1.814996524816153,-5.985180003285478,ru5p__D_c --> xu5p__D_c
TALA,0.9873699302279735,-25.008765519791524,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1,0.9873699302279735,-14.86792706389744,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,1656.6993308290962,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x,0.0,-71.73791549448651,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y,0.0,412.728495872085,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,-176.3668756075514,rmn_c --> rml_c
EX_ura_e,0.0,2269.54001511848,ura_e --> 
EX_val__L_e,0.0,2164.072058359319,val__L_e --> 
EX_xan_e,0.0,5737.582163358129,xan_e --> 
FMNAT,9.346887415129235e-05,-3456.3696541716345,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP,0.0,756.5180858345924,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT,0.0,-86.9221460910885,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1,0.0,-126.80988858404453,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6,0.010967293995709608,-79.112995163905,atp_c + dudp_c --> adp_c + dutp_c
NDPK8,0.0,157.5158776131858,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,-118.7541629294858,pi_c + uri_c --> r1p_c + ura_c
DURIPP,0.0,615.1134603401978,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,-90.59034261850468,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS,0.0,1008.5867531679714,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,1042.25393427187,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3,0.0,229.32605692866395,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,250.67836891474263,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,264.4714505800484,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,3.1506071698417806,-2.0,co2_e --> 
PMDPHT,0.00018693774830260486,-94.26833733997591,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,898.8279201744842,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,963.7715567614484,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,299.388317769767,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0003738754966052097,-867665.9876178176,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.12177317730182365,-10.43953277373248,23dhmp_c --> 3mop_c + h2o_c
G1PP,0.0,231.30127275554756,g1p_c + h2o_c --> glc__D_c + pi_c
PFL,2.0675092815677862,-57.50159844360314,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,84.33710237450478,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,142.38035982170084,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,0.0,529.7619719103511,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr,-8.377654125979461e-11,-6.242804218440824,accoa_c + pi_c --> actp_c + coa_c
ACKr,0.0,25.431265583994872,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,5874.304094918504,hxan_e --> 
EX_ile__L_e,0.0,7741.445704665059,ile__L_e --> 
EX_lac__L_e,0.0,126.73246054910123,lac__L_e --> 
EX_leu__L_e,0.0,2252.026105259985,leu__L_e --> 
EX_no3_e,0.0,168.3889977814856,no3_e --> 
EX_orn_e,0.0,1957.926666179545,orn_e --> 
EX_pro__L_e,0.0,1947.9585050696146,pro__L_e --> 
EX_pyr_e,12.377902989111146,-2.0,pyr_e --> 
EX_succ_e,0.0,556.5892045828732,succ_e --> 
EX_thymd_e,0.0,3609.615699007092,thymd_e --> 
EX_tyr__L_e,0.0,1459.794834340325,tyr__L_e --> 
MOAT,0.008154844912501957,-9.174310562902974,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,2.3052861337767572e-05,-3639.036742965749,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.008154844912501957,-44.324073082249015,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.008154844912501957,-16.590342225950735,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.008154844912501957,-44.654935359394585,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,495708413.8727575,btn_e --> 
EX_ptrc_e,0.0,1234.2572523148694,ptrc_e --> 
EX_spmd_e,-0.0,-2.0,spmd_e --> 
EX_thym_e,0.0,3124.4759176532966,thym_e --> 
EX_xtsn_e,0.0,5841.138154346418,xtsn_e --> 
NTPP1,0.0,257.2779372474979,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2,0.0,529.541250410146,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,1964.9817410525166,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,502.5973208208238,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD,0.18883688493392367,-75.6414405015712,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,579.9380982861467,5aizc_c --> 5caiz_c
ADSL2r,0.18768969072522376,-125.02390493157964,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,2.0,fe2_e --> 
PUNP5,0.0,-145.97436571102088,ins_c + pi_c --> hxan_c + r1p_c
PUNP6,0.0,1318.0353952955406,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,-58.023608199927764,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1,0.0,617.1925404621228,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3,0.0,503.04421494662324,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4,0.0,561.1866725093342,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.010967293995709608,-75.73297076113522,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,-77.70738298282208,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,0.0002825023371215707,-31105.83881437074,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,740.4000631438341,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,249.36832638391706,glc__D_e --> 
EDD,0.0,-45.096698716183596,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.15974333563979398,-10.33367281465388,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,-118.4979975265095,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,1327.6196932885193,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3,0.0,679.3636458628584,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,-49.43635479553495,lys__L_c --> 36dahx_c
DHAD1,0.36648474926036234,-4.793083465592531,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,240.67476555977015,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,242.5049302738198,alltn_e --> 
