,fluxes,kcat,MW,kcat_MW,equ
ALATA_D2_num1,0.0,4681.349382315276,90.6321,51.65222236178215,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,4.038833168679212e-05,,,,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,4.038833168679212e-05,59.688,68.6444,0.8695246808188286,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.04482235471977819,888000.0011999998,97.5439,9103.593368729362,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.05989372252837263,159865.3806390936,36.7741,4347.227549799822,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.0,,,,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.00012116499506036049,,,,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,,,,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,219600.0,139.3667,1575.6992165273339,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,12276.0,143.4127,85.59911360709337,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5_num1,0.0,,,,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,,,,acgam_e --> 
EX_cellb_e,0.0,,,,cellb_e --> 
EX_chol_e,0.0,,,,chol_e --> 
LEUTAi_num1,0.0,49500.0,204.5595,241.9833838076452,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.06902583221586782,180000.0,29.4133,6119.680552675151,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.04003606574450149,,,,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2_num1,0.0,4681.349382315276,145.9772,32.06904490780256,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,4123800.0,42.8494,96239.38724929637,man6p_c --> f6p_c
APRAUR,8.077666337358425e-05,,,,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0001615533267471685,,,,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,4.0388331686792134e-05,1697.4,34.7338,48.868825178932326,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN_num1,0.0,86400.0,30.3706,2844.8565388895836,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,8.077666337358425e-05,529.2,70.3339,7.524109995322314,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,,,,pi_e --> 
EX_h_e,15.316198519338535,,,,h_e --> 
DMATT,5.0349579412234014e-05,1440.0,32.1593,44.777094028787936,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,5.0349579412234014e-05,10709.999999999998,32.1593,333.02963683911025,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,8.077666337358424e-05,108000.0,27.7976,3885.2275016548188,hmbil_c --> h2o_c + uppg3_c
UPPDC1,4.038833168679212e-05,1141.2,39.2477,29.076863102806026,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,39060.0,94.4132,413.71333669444533,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,,,,ade_e --> 
EX_4abut_e,0.0,,,,4abut_e --> 
EX_ac_e,13.650518175671785,,,,ac_e --> 
EX_akg_e,0.0,,,,akg_e --> 
EX_ala__L_e,0.0,,,,ala__L_e --> 
EX_arg__L_e,0.0,,,,arg__L_e --> 
EX_asp__L_e,0.0,,,,asp__L_e --> 
EX_cytd_e,0.0,,,,cytd_e --> 
EX_dcyt_e,0.0,,,,dcyt_e --> 
EX_fum_e,0.0,,,,fum_e --> 
EX_glu__L_e,0.0,,,,glu__L_e --> 
EX_gua_e,0.0,,,,gua_e --> 
HCO3E_num1,0.0,1476000000.0,100.3859,14703260.119200004,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,24617.813649907985,57.3286,429.41592241757144,h2o_c + imp_c --> fprica_c
IMPD,0.04405189748661467,18360.0,208.0874,88.23215629586414,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4_num1,0.0,689400.0,77.0713,8944.963948966737,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.0006462133069886739,2880.0,53.8151,53.51657806080449,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,4.038833168679212e-05,3596400.0,23.015,156263.30653921355,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,799200.0,24.3528,32817.5815511974,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,5767.380000000001,24.3528,236.82615551394505,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,799200.0,24.3528,32817.5815511974,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,799200.0,24.3528,32817.5815511974,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.0,4680.0,67.8815,68.94367390231507,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT_num1,0.0,9000.0,67.8815,132.5839882736828,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5_num1,0.0,198000.0,23.5857,8394.917259186708,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,52932.51666043254,77.6539,681.6465967637498,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.05991147166068341,62280.0,52.6999,1181.7859236924546,h_c + orot5p_c --> co2_c + ump_c
CS,0.19473188844388062,158400.0,288.0868,549.8342860554528,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,0.19473188844388062,289800.0,91.5124,3166.783954961295,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD_num1,0.3011841206137738,48780.0,33.4421,1458.6404561914471,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
