,fluxes,reduced_costs
ALATA_D2,0.0,-0.037950319098980945
SHCHD2,0.0001577515793204347,0.008076665304074027
CPPPGO,0.0001577515793204347,0.005529202992807569
GTHOr,0.03762198315246044,0.002483194865025018
DHORD5,0.0,0.0015186473406798215
GLYCTO2,0.0,-0.018090271065653335
GLYCTO3,0.0,-0.019548148089598955
GLYCTO4,0.0,-0.045294909903552075
PFK_3,0.0,0.002158035557964677
TRPS2,0.0,-0.7301757350890612
G3PD5,0.0,-0.013442071559139668
EX_acgam_e,0.0,-0.09680477807941608
EX_cellb_e,0.0,-0.13674400495071806
EX_chol_e,0.0,-0.0037869679563781126
LEUTAi,0.3187084160664339,0.005109611201053035
SHK3Dr,0.26960593793284643,0.0001191479105990545
G5SD,0.15637567429003899,0.009699013777085043
ALATA_L2,0.0,-0.030793499040607252
MAN6PI,0.0,-0.0018249958697206911
APRAUR,0.0003155031586406148,0.008045480558516394
DB4PS,0.0006310063172812296,0.002570145084361937
RBFK,0.00015775157932018013,0.004702341872555693
ACP1_FMN,0.0,-0.020500661508973755
RBFSb,0.0003155031586406148,0.00692363429545817
EX_pi_e,0.0,0.0
EX_h_e,12.980211956626587,0.0
DMATT,0.0001966589195115735,0.004401377488864129
GRTT,0.0001966589195115735,0.0037939762651461595
UPP3S,0.0003155031586408694,5.337385589321286e-05
UPPDC1,0.0001577515793204347,0.0015895923080231356
TMDPP,0.0,-0.008875749259371315
EX_ade_e,0.0,-0.49991503139107973
EX_4abut_e,0.0,-0.08943445834634153
EX_ac_e,6.479966167924268,0.0
EX_akg_e,0.0,-0.050072385658501695
EX_ala__L_e,0.0,-0.03833434158070862
EX_arg__L_e,0.0,-0.2032520521061026
EX_asp__L_e,0.0,-0.04512117336931595
EX_cytd_e,0.0,-0.26747750968126627
EX_dcyt_e,0.0,-0.20226833288124527
EX_fum_e,0.0,-0.04410128755800399
EX_glu__L_e,0.0,-0.06036717668657339
EX_gua_e,0.0,-0.39071370925983157
HCO3E,0.3718296687386253,0.002179872008563089
IMPC,0.0,-0.010524004668839848
IMPD,0.17206099163654998,0.015767429081147588
ECOAH4,0.25175171322222556,0.004080071880669944
GLUTRS,0.002524025269126955,0.0344432662972807
TMPPP,0.0001577515793204347,0.0008533096358904757
URIK1,0.0,0.0019160036296049232
URIK2,0.0,-0.0019327973720930963
CYTDK1,0.0,0.0009393083013699566
CYTDK2,0.0,-0.004081238206634383
XPPT,0.0,-0.006318325979292403
HXPRT,0.0,-0.02616528954357765
NDPK5,0.0,-0.0006437464284287542
DHORTS,0.0,-0.04163990064158227
OMPDC,0.23400642906413993,0.010118853915306342
CS,2.172486765095336,0.006285820154749449
ICDHyr,0.7605974711780126,0.000825714018468704
ACALD,0.0,0.0020449640524365376
ACS,0.0,-0.019635605355885315
PPA,2.4775034087572694,6.621871146148006e-05
PPCK,0.0,-0.09519727973373744
ME1,0.0,-0.018046422413433676
ALAR,0.029486104615400712,0.00269578451331845
ALATA_L,0.0,-0.011623287761633157
XYLK,0.0,0.009686649883691945
RBK,0.0,0.002333146069477654
GLYK,0.0,0.016561779142470236
PPM,0.0,-0.004428405768599248
ASPTA,0.0,-5.229012935564569
FBP,0.0,-0.011633184810657067
GLGC,0.0,0.0005054205151330537
PYK,14.350530451753523,0.0005021701682070834
A5PISO,0.027526589482137917,0.004241926974761945
EX_met__L_e,0.0,-0.4834674536989074
EX_metsox_S__L_e,0.0,-0.4522936834898989
IPPMIb,0.0,-0.01370869891766855
ACHBS,0.20552201160711467,0.0019348429727953226
ACLS,0.6185326240164598,0.0019348429727953191
PSCVT,0.26960593793284643,0.000442535332975183
ANS,0.04021108979063439,0.05934795001491915
ANPRT,0.04021108979063439,0.008998066517189318
CHORM,0.2287638418249303,0.0023615380544503295
CHORS,0.26960593793284643,0.00523605721946116
IGPS,0.04021108979063439,0.0009542528136851358
EX_crn_e,0.0,-0.008766497239154788
EX_fe3_e,0.0,0.0
EX_glcn_e,0.0,-0.061630042712539496
EX_gln__L_e,0.0,-0.06509351571029683
EX_glyc_e,0.0,-0.020561826671580574
EX_man_e,0.0,-0.07255006347785696
EX_mn2_e,0.0,0.0
EX_rib__D_e,0.0,-0.04554121825353297
EX_sbt__D_e,0.0,-0.0907308177865217
ECOAH6,0.1966985342579497,0.004186477521319842
ENO,15.619117086308833,2.422697575078618e-05
FBA,7.922485388494224,9.166509595664313e-05
MGSA,0.0,0.00048007136490354
PPS,0.0,-0.01576178254076705
PGI,5.6144081191353,1.2782861323848427e-05
PGK,0.0,-0.0011187471004752494
EDA,0.0,0.0020201235548030563
PGL,4.3855918808647,0.0002819631717837362
RPE,2.3749186649949303,0.00011786432899461158
TALA,1.3222623014638883,2.633358375632444e-05
TKT1,1.3222623014638883,0.0012053099924112104
G6PDA,0.0,-0.026279021247548794
ALCD2x,0.0,-0.023144064657479216
ALDD2y,0.0,-0.0076555751436940475
RMI,0.0,0.01191194731441245
EX_ura_e,0.0,-0.06857300011064651
EX_val__L_e,0.0,-0.09564421159828901
EX_xan_e,0.0,-0.3541844906752234
FMNAT,0.00015775157932018013,0.0043278670819646425
NADDP,0.0,-0.02000679459483177
NMNAT,0.0,0.0011307283147505842
HMPK1,0.0,0.13774210000082573
NDPK6,0.018509990244387865,0.0024830301930675036
NDPK8,0.0,-0.005254871920866981
PYNP2r,0.0,-0.0170292346191895
DURIPP,0.0,-0.11607539139716086
PTRCTA,0.0,-0.1088046143076401
CYSDS,0.0,-0.06599062298238607
TRPAS2,0.0,0.0506643040537304
NDP3,0.0,-0.009955827501670353
CDPPH,0.0,-0.01094313840436334
NDP7,0.0,-0.01088348381873742
EX_co2_e,18.001131476223662,0.0
PMDPHT,0.0003155031586406148,0.0006686218363727292
ILETA,0.0,-0.04164727463174482
VALTA,0.0,-0.03819276480614806
ORPT,0.0,-0.007302520936978736
RBFSa,0.0006310063172812296,0.07141965551760376
DHAD2,0.20552201160711467,0.006418482192032546
G1PP,0.0,-0.004200983355106181
PFL,0.07701035954955124,0.008560787804746006
FRD2,0.0,-0.01671195862473878
FRD3,0.0,0.009771366687768582
POX,0.0,-0.020711110739585405
PTAr,6.0681241905330285,0.0005770884122696662
ACKr,0.0,-3.4769097816667925e-05
EX_hxan_e,0.0,-0.3540572902128102
EX_ile__L_e,0.0,-0.22420908069676865
EX_lac__L_e,0.0,-0.02183431792936785
EX_leu__L_e,0.0,-0.10960285174932649
EX_no3_e,0.0,-0.011980839526592343
EX_orn_e,0.0,-0.13710239966506926
EX_pro__L_e,0.0,-0.1456524750704919
EX_pyr_e,0.0,-0.017666132655082985
EX_succ_e,0.0,-0.04504407424098744
EX_thymd_e,0.0,-0.6725641664629433
EX_tyr__L_e,0.0,-0.6056456684327108
MOAT,0.013763294741068959,0.002642432788142246
UDCPDPS,3.8907340191138604e-05,0.00852431773923601
USHD,0.013763294741068959,0.0006835391837742844
LPADSS,0.013763294741068959,0.006633977213064579
TDSK,0.013763294741068959,0.003893993443248922
EX_btn_e,0.0,-29.46996083987772
