,fluxes,reduced_costs
ALATA_D2,0.0,104.66066248397857
SHCHD2,0.0001577515793204347,-22.30478487139044
CPPPGO,0.0001577515793204347,-15.900449387516346
GTHOr,0.03762198315246044,-8.242766739712806
DHORD5,0.0,-5.817888495696984
GLYCTO2,0.0,52.73238296882127
GLYCTO3,0.0,56.39749452485118
GLYCTO4,0.0,125.12500768593722
PFK_3,0.0,-7.425314297371358
TRPS2,0.0,1851.1594976613185
G3PD5,0.0,41.046781614085404
EX_acgam_e,0.0,265.12779096608455
EX_cellb_e,0.0,334.89524614962744
EX_chol_e,-0.0,-2.0
LEUTAi,0.3187084160664339,-14.845593113964895
SHK3Dr,0.2696059379328465,-2.2995385597276368
G5SD,0.15637567429003899,-26.383378633876795
ALATA_L2,0.0,84.66837406078412
MAN6PI,0.0,6.5880505296111815
APRAUR,0.0003155031586408434,-22.226386234576466
DB4PS,0.0006310063172816869,-8.46136011107194
RBFK,0.00015775157932040873,-13.821715586728033
ACP1_FMN,0.0,64.49878562367533
RBFSb,0.0003155031586408434,-19.406058020817454
EX_pi_e,0.0,2.0
EX_h_e,12.980211956625839,-2.0
DMATT,0.00019665891951156644,-13.06508932641719
GRTT,0.00019665891951156644,-11.538079017844666
UPP3S,0.0003155031586408694,-2.134182192881781
UPPDC1,0.0001577515793204347,-5.996244567833855
TMDPP,0.0,24.313686713376857
EX_ade_e,0.0,1512.0560449820691
EX_4abut_e,0.0,270.3987630840053
EX_ac_e,6.4799661679233225,-2.0
EX_akg_e,0.0,142.4689436356216
EX_ala__L_e,0.0,117.22609729941487
EX_arg__L_e,0.0,676.7768744039344
EX_asp__L_e,0.0,143.72823299995616
EX_cytd_e,0.0,819.7067254707615
EX_dcyt_e,0.0,672.9837983901859
EX_fum_e,0.0,126.6309006382568
EX_glu__L_e,0.0,189.56344317445007
EX_gua_e,0.0,1231.5099348073313
HCO3E,0.3718296687386414,-7.480211264753778
IMPC,0.0,28.457410669039355
