GO,ec,kcat
GO:0004022,1.1.1.1,4808.0
GO:0004316,1.1.1.100,344.7
GO:0102131,1.1.1.100,344.7
GO:0102132,1.1.1.100,344.7
GO:0008743,1.1.1.103,551.7
GO:0008831,1.1.1.133,53.0
GO:0009040,1.1.1.154,62.0
GO:0008677,1.1.1.169,40.0
GO:0008926,1.1.1.17,132.0
GO:0003938,1.1.1.205,999.0
GO:0004032,1.1.1.21,266.0
GO:0008873,1.1.1.215,48.2
GO:0003979,1.1.1.22,105.0
GO:0004399,1.1.1.23,35.0
GO:0030266,1.1.1.24,223.1
GO:0004764,1.1.1.25,999.0
GO:0047964,1.1.1.26,13.0
GO:0030604,1.1.1.267,9833.333333333334
GO:0050577,1.1.1.271,0.75
GO:0031132,1.1.1.276,999.0
GO:0008720,1.1.1.28,29000.0
GO:0004764,1.1.1.282,142000.0
GO:0030266,1.1.1.282,142000.0
GO:0052733,1.1.1.282,142000.0
GO:0052734,1.1.1.282,142000.0
GO:0043892,1.1.1.283,4.0
GO:0051903,1.1.1.284,72000.0
GO:0106321,1.1.1.284,72000.0
GO:0106322,1.1.1.284,72000.0
GO:0033711,1.1.1.290,1.4
GO:0035527,1.1.1.298,115.0
GO:0004412,1.1.1.3,245.0
GO:0099618,1.1.1.305,0.32
GO:0089714,1.1.1.336,0.4
GO:0003857,1.1.1.35,45500.0
GO:0030060,1.1.1.37,121600.0
GO:0004471,1.1.1.38,207.9
GO:0008948,1.1.1.38,207.9
GO:0004471,1.1.1.39,770.0
GO:0004473,1.1.1.40,4670.0
GO:0008948,1.1.1.40,4670.0
GO:0004450,1.1.1.42,440000.0
GO:0004616,1.1.1.44,325.0
GO:0004345,1.1.1.49,8000.0
GO:0008888,1.1.1.6,98.44
GO:0008679,1.1.1.60,243.0
GO:0047577,1.1.1.61,1329.0
GO:0018455,1.1.1.71,280.0
GO:0047956,1.1.1.72,57.2
GO:0030267,1.1.1.79,760000.0
GO:0016618,1.1.1.81,72.5
GO:0003862,1.1.1.85,999.0
GO:0004455,1.1.1.86,78.3
GO:0004617,1.1.1.95,3850.0
GO:0004460,1.1.2.3,473.0
GO:0016692,1.11.1.1,999.0
GO:0052750,1.11.1.16,54500.0
GO:0004096,1.11.1.6,2830000.0
GO:0004602,1.11.1.9,118000.0
GO:0047070,1.13.11.16,50.0
GO:0050113,1.13.99.1,7.22
GO:0000908,1.14.11.17,999.0
GO:0008941,1.14.12.17,670.0
GO:0008726,1.14.14.5,0.88
GO:0004784,1.15.1.1,107000.0
GO:0004322,1.16.3.1,2548.0
GO:0051745,1.17.1.2,3.7
GO:0004854,1.17.1.4,1097.0
GO:0004748,1.17.4.1,12.9
GO:0008774,1.2.1.10,17.2
GO:0004073,1.2.1.11,680.0
GO:0004365,1.2.1.12,999.0
GO:0009013,1.2.1.16,176.0
GO:0019145,1.2.1.19,14.4
GO:0033737,1.2.1.19,14.4
GO:0008911,1.2.1.22,761.5
GO:0004777,1.2.1.24,69.0
GO:0004029,1.2.1.3,999.0
GO:0043878,1.2.1.3,999.0
GO:0008957,1.2.1.39,96.8
GO:0033721,1.2.1.4,63.0
GO:0004030,1.2.1.5,999.0
GO:0043891,1.2.1.59,8.0
GO:0008883,1.2.1.70,999.0
GO:0048001,1.2.1.72,200.0
GO:0036243,1.2.1.79,136.3
GO:0008802,1.2.1.8,276.0
GO:0003842,1.2.1.88,25.0
GO:0004739,1.2.4.1,486.0
GO:0004591,1.2.4.2,999.0
GO:0008794,1.20.4.1,0.3
GO:0004159,1.3.1.1,0.65
GO:0004319,1.3.1.10,130.2
GO:0008977,1.3.1.12,356.1
GO:0008667,1.3.1.28,92.5
GO:0043957,1.3.1.84,80.0
GO:0004318,1.3.1.9,91.13
GO:0016631,1.3.1.9,91.13
GO:0008762,1.3.1.98,62.0
GO:0004109,1.3.3.3,16.0
GO:0004729,1.3.3.4,14.1
GO:0003997,1.3.3.6,999.0
GO:0004085,1.3.8.1,40.7
GO:0004466,1.3.8.8,11.9
GO:1990663,1.3.98.1,999.0
GO:0051989,1.3.98.3,900.0
GO:0004355,1.4.1.13,41.9
GO:0004353,1.4.1.3,714.0
GO:0004354,1.4.1.4,28650.0
GO:0008734,1.4.3.16,10.6
GO:0044318,1.4.3.16,10.6
GO:0008131,1.4.3.21,198.0
GO:0052593,1.4.3.21,198.0
GO:0052594,1.4.3.21,198.0
GO:0052595,1.4.3.21,198.0
GO:0052596,1.4.3.21,198.0
GO:0004733,1.4.3.5,33.0
GO:0004375,1.4.4.2,6.08
GO:0016041,1.4.7.1,137.0
GO:0030059,1.4.9.2,91.0
GO:0004735,1.5.1.2,4170.0
GO:0004489,1.5.1.20,999.0
GO:0004146,1.5.1.3,284.0
GO:0042602,1.5.1.30,70.0
GO:0004155,1.5.1.34,510.0
GO:0036382,1.5.1.36,178.0
GO:0052873,1.5.1.38,34.0
GO:0052873,1.5.1.39,28.0
GO:0052874,1.5.1.39,28.0
GO:0042602,1.5.1.41,0.603
GO:0052875,1.5.1.41,0.603
GO:0004486,1.5.1.5,1700.0
GO:0004488,1.5.1.5,1700.0
GO:0008115,1.5.3.1,101.0
GO:0003957,1.6.1.1,333.0
