,fluxes,reduced_costs
ALATA_D2_num1,0.0,0.0
SHCHD2,0.0001939592991731387,-2.0
CPPPGO,0.0001939592991731387,-2.0
GTHOr,0.0,0.0
DHORD5,0.0010263317155992067,-2.0000000000001137
GLYCTO2,0.0,-2.0
GLYCTO3,0.00038791860034449255,-2.0
GLYCTO4,0.0,-2.0
PFK_3,0.980435741537678,-2.0000000000000853
TRPS2,0.0,25.688888888888073
G3PD5_num1,0.0,17.111111111110404
EX_acgam_e,0.0,321.777777777751
EX_cellb_e,0.0,458.13333333329285
EX_chol_e,0.0,15.733333333330862
LEUTAi_num1,0.3918595381873244,-2.0
SHK3Dr_forward,0.33148687955859824,-2.0
G5SD,0.1922675913843864,-1.9999999999999956
ALATA_L2_num1,0.0,-2.0
MAN6PI,0.0,-2.0
APRAUR,0.0003879185983462774,-2.0
DB4PS,0.0007758371966925547,-2.0
RBFK,0.0001939592991731387,-2.0
ACP1_FMN_num1,0.0,22.311111111110222
RBFSb,0.0003879185983462774,-2.0
EX_pi_e,0.0,2.0
EX_h_e,7.991818074274214,-2.0
DMATT,0.00024179679448490046,-1.9999999999999964
GRTT,0.00024179679448490046,-2.0
UPP3S,0.0003879185983462774,-2.0
UPPDC1,0.0001939592991731387,-2.0
TMDPP,0.0,-2.0
EX_ade_e,0.0,471.799999999983
EX_4abut_e,0.0,196.68888888887446
EX_ac_e,0.0,49.82222222221684
EX_akg_e,0.0,177.77777777776384
EX_ala__L_e,0.0,133.59999999999047
EX_arg__L_e,0.0,436.5555555555323
EX_asp__L_e,0.0,155.06666666665592
EX_cytd_e,0.0,509.53333333330227
EX_dcyt_e,0.0,530.5777777777449
EX_fum_e,0.0,141.68888888887813
EX_glu__L_e,0.0,218.19999999998447
EX_gua_e,0.0,460.26666666665017
HCO3E_num1,2.488537817932863,-2.0
IMPC,0.0,2.0
IMPD,0.21155306017616204,-1.9999999999998863
ECOAH4_num1,0.0,-2.0
GLUTRS,0.003103348786770219,-2.0
TMPPP,0.0001939592991731387,-2.0
URIK1,0.0,8.311111111110307
URIK2,0.0,10.31111111111045
CYTDK1,0.0,-2.0
CYTDK2,0.0,1.1368683772161603e-13
XPPT,0.0,44.62222222222067
HXPRT_num1,0.0,44.622222222220444
NDPK5_num1,0.0,2.0
DHORTS,0.0,2.0
OMPDC,0.2877164411209794,-2.0
CS,6.647063646577329,-1.9999999999997726
ICDHyr,6.647063646577329,-2.0
ACALD_num1,0.0,1.9999999999993108
ACS,0.0,20.31111111111027
PPA_num1,0.0,-1.9999999999999991
PPCK,0.0,22.311111111110222
ME1,0.0,20.311111111110307
ALAR_num1,0.03625386326517832,-2.0
ALATA_L_num1,0.0,2.0
XYLK_num1,0.0,-2.000000000000057
RBK,0.0,-2.0
GLYK,0.0,20.933333333332484
PPM,0.0,2.0
ASPTA_num1,0.0,2.0
FBP_num1,0.0,22.311111111110336
GLGC,0.0,26.311111111110222
PYK_num1,0.0,1.1368683772161603e-13
A5PISO_num1,0.03384459304674965,-2.0
EX_met__L_e,0.0,574.9555555555247
EX_metsox_S__L_e,0.0,546.5333333333041
IPPMIb,0.0,2.0
ACHBS_num1,0.2526941759169184,-2.0
ACLS_num1,0.0,-2.0
PSCVT,0.33148687955859824,-2.0
ANS,0.049440486291025654,-2.0000000000000284
ANPRT,0.049440486291025654,-2.0
CHORM_num1,0.0,-2.0
CHORS,0.33148687955859824,-2.0
IGPS,0.049440486291025654,-2.0
EX_crn_e,-0.0,-2.0
EX_fe3_e,-0.0,-2.0
EX_glcn_e,0.0,223.75555555553615
EX_gln__L_e,0.0,228.77777777776203
EX_glyc_e,0.0,165.8888888888764
EX_man_e,0.0,225.06666666664637
EX_mn2_e,0.0,2.0
EX_rib__D_e,0.0,165.91111111109518
EX_sbt__D_e,0.0,248.11111111108926
ECOAH6_num1,0.0,-2.0
ENO,15.261404963705838,-2.0
FBA_num1,6.381665635245341,-2.0
MGSA,0.0,5.06666666666618
PPS,0.0,22.311111111110108
PGI,6.543762147899434,-2.0
PGK,0.0,2.0
EDA,0.0,-2.0
PGL,3.4562378521005663,-2.0
RPE,1.6293846035147594,-2.0
TALA_num1,0.0,-5.684341886080802e-14
TKT1_num1,0.0,-2.0
G6PDA,0.0,24.311111111110222
ALCD2x_num1,0.0,2.0
ALDD2y_num1,0.0,22.933333333331795
RMI,0.0,-2.0
EX_ura_e,0.0,228.11111111109892
EX_val__L_e,0.0,253.19999999998095
EX_xan_e,0.0,411.3777777777622
FMNAT,0.0001939592991731387,-2.0
NADDP_num1,0.0,46.622222222220444
NMNAT_num1,0.0,-2.0
HMPK1_num1,0.0,-1.9999999999999432
NDPK6_num1,0.0,2.0
NDPK8_num1,0.0,2.0
PYNP2r,0.0,-2.0
DURIPP_num1,0.0,2.0
PTRCTA,0.0,78.93333333333075
CYSDS_num1,0.0,55.999999999998295
TRPAS2,0.0,2.0
NDP3_num1,0.0,22.311111111110222
CDPPH,0.0,22.311111111110222
NDP7,0.0,22.311111111110165
EX_co2_e,24.299828780103798,-2.0
PMDPHT_num1,0.0,-2.0
ILETA,0.0,2.0
VALTA,0.0,2.0
ORPT,0.0,2.0
RBFSa,0.0007758371966925547,-2.0
DHAD2,0.2526941759169184,-2.0
G1PP_num1,0.0,20.311111111110222
PFL_num1,0.0,5.866666666665651
FRD2,0.0,2.000000000000014
FRD3,0.0,1.9999999999999432
POX,0.0,34.04444444444284
PTAr_num1,0.0,2.000000000000007
ACKr_num1,0.0,-2.0
EX_hxan_e,0.0,442.4222222222051
EX_ile__L_e,0.0,422.5555555555286
EX_lac__L_e,0.0,92.48888888887997
EX_leu__L_e,0.0,320.28888888886513
EX_no3_e,0.0,27.177777777776562
EX_orn_e,0.0,319.0888888888687
EX_pro__L_e,0.0,294.7777777777584
EX_pyr_e,0.0,87.17777777776986
EX_succ_e,0.0,148.99999999998832
EX_thymd_e,0.0,594.3333333332956
EX_tyr__L_e,0.0,500.77777777774355
MOAT,0.016922296523374826,-2.0
UDCPDPS,4.783749531176232e-05,-2.0
USHD,0.016922296523374826,-2.0
LPADSS,0.016922296523374826,-2.0
TDSK,0.016922296523374826,-2.0
EX_btn_e,0.0,2689.7777777776305
EX_ptrc_e,0.0,320.51111111109117
EX_spmd_e,-0.0,-2.0
EX_thym_e,0.0,327.5999999999823
EX_xtsn_e,0.0,637.3333333333003
NTPP1_num1,0.0,38.622222222220444
NTPP2_num1,0.0,46.62222222222056
NTPTP1,0.0,14.311111111110225
NTPTP2,0.0,46.62222222222056
IPMD_num1,0.3918595381873244,-2.0
AIRC3,0.0,2.0
ADSL2r,0.3894789704660437,-2.0
EX_fe2_e,0.0,2.0
PUNP5_num1,0.0,2.0
PUNP6_num1,0.0,-1.9999999999999716
PUNP7,0.0,1.9999999999999956
RNDR1_num1,0.0,1.3777777777779647
RNDR3_num1,0.0,-0.622222222222149
RNDR4_num1,0.0,-0.622222222222149
TMDS,0.022758470951409624,-2.0000000000001137
TMDK1,0.0,-2.0
PPCDC,0.0005862267607295024,-2.0
FTHFD,0.0,20.311111111109767
EX_glc__D_e,0.0,225.06666666664637
EDD,0.0,6.9333333333328255
DHQTi,0.33148687955859824,-2.0
PUNP1,0.0,1.9999999999999147
PUNP2,0.0,-2.0
PUNP3_num1,0.0,-1.7053025658242404e-13
LYSAM,0.0,2.0
DHAD1,0.7605004956956041,-2.0
IPPMIa,0.0,2.0
EX_alltn_e,0.0,368.44444444443155
G3PD7,0.0,17.111111111110404
NADH9_num1,0.0,11.733333333332553
NADH10_num1,0.0,11.73333333333278
MDH,6.619270931575757,-2.0000000000000284
FUM_num1,6.618883012975413,-2.0
PYDXNK,0.0,-2.0
PYAM5PO,0.0,17.111111111110386
OHPBAT,1.9984014443252818e-12,-2.0
EX_dgsn_e,0.0,731.5777777777411
EX_arab__L_e,0.0,185.64444444442785
EX_fru_e,0.0,227.06666666664637
EX_gal_e,0.0,216.48888888886893
EX_xyl__D_e,0.0,179.64444444442785
EX_duri_e,0.0,511.9999999999674
