,reaction,name,notes,annotation,gpr,subunit_mw,subunit_num,reaction_mw_not_condider_subunit,reaction_mw_condider_subunit,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_zhaoxin,kcat_GO,kcat_ec_model,kcat_GO_change_type,kcat_zhao_change_type,model_ori_fluxes,ECMpy_fluxes,model_gecko_no_adj_fluxes,model_gecko_adj_fluxes,model_gecko_no_adj_subunit_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_no_adj_fluxes,model_smoment_adj_fluxes,model_smoment_no_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes
TPI,dhap_c --> g3p_c,Triose-phosphate isomerase,"OrderedDict([('reflection', 'TPI_reverse')])","OrderedDict([('bigg.reaction', 'TPI'), ('biocyc', 'META:TRIOSEPISOMERIZATION-RXN'), ('ec-code', '5.3.1.1'), ('kegg.reaction', 'R01015'), ('metanetx.reaction', 'MNXR104918'), ('rhea', ['18585', '18586', '18587', '18588']), ('sbo', 'SBO:0000375')])",b3919,26.97181,2,26.9718,53.9436,12046.6,12046.6,61.64784278,72,61.64784278,61.64784278,4500,,,8.328231697,7.82252465,8.269686374,8.305444768,8.072917805,0,8.305446173,8.305446173,8.065632314,0
TPI_reverse,g3p_c --> dhap_c,,"OrderedDict([('reflection', 'TPI')])",,b3919,26.97181,2,26.9718,53.9436,12046.6,12046.6,44.12222614,36.79402816,44.12222614,44.12222614,4500,,,0,0,0,0,0,0.082519556,0,0,0,0.082497813
HYD2pp,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_p + mql8_c,Hydrogenase (menaquinone8: 2 protons) (periplasm),,"OrderedDict([('bigg.reaction', 'HYD2pp'), ('metanetx.reaction', 'MNXR100754'), ('rhea', ['29051#1', '29052#1', '29053#1', '29054#1']), ('sbo', 'SBO:0000375')])",( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 ),( 27.59731 and 66.25337 and 40.68136 ) or ( 36.003 and 62.49116 and 39.65201 and 43.60204 ) ,( 2 and 4 and 4 ) or ( 1 and 1 and 1 and 1 ) ,134.532,181.7482,,,112.6948784,2002.949016,112.6948784,112.6948784,2002.949016,,,0,0,0,0,0,0,0,0,0,0
ATPS4rpp,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,ATP synthase (four protons for one ATP) (periplasm),"OrderedDict([('reflection', 'ATPS4rpp_reverse')])","OrderedDict([('bigg.reaction', 'ATPS4rpp'), ('biocyc', 'META:ATPSYN-RXN'), ('ec-code', '3.6.3.14'), ('metanetx.reaction', 'MNXR96136'), ('sbo', 'SBO:0000375')])",( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 55.22208 and 31.57742 and 15.06827 and 19.33222 and 50.32542 and 13.63173 and 8.25611 and 30.30326 and 17.26396 ) or ( 50.32542 and 19.33222 and 15.06827 and 31.57742 and 55.22208 and 8.25611 and 30.30326 and 17.26396 ) ,( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 ) or ( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) ,227.3487,530.0127,107.3877778,115.6851933,20,1876.341742,20000,20000,1876.341742,,modify,70.43249366,52.10357482,0,0,0,0,70.54021978,70.54021978,28.39976138,58.51158634
MDH,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,Malate dehydrogenase,"OrderedDict([('reflection', 'MDH_reverse')])","OrderedDict([('bigg.reaction', 'MDH'), ('biocyc', 'META:MALATE-DEH-RXN'), ('ec-code', ['1.1.1.299', '1.1.1.37']), ('kegg.reaction', 'R00342'), ('metanetx.reaction', 'MNXR101439'), ('rhea', ['21432', '21433', '21434', '21435']), ('sbo', 'SBO:0000375')])",b3236,32.3373,2,32.3373,64.6746,518.3470588,489.9698402,931,7.2,931,931,1750,,,6.884588401,3.561456099,5.632323066,6.870045554,0.390373536,0.609008944,6.87004645,6.87004645,0.390002967,0.60871787
PPTHpp,h2o_p + ppt_p --> h2_p + pi_p,Phosphonate hydrogenase (periplasm),,"OrderedDict([('bigg.reaction', 'PPTHpp'), ('metanetx.reaction', 'MNXR103149'), ('rhea', ['29451', '29452', '29453', '29454']), ('sbo', 'SBO:0000375')])",b0383,49.43859,2,49.4386,98.8772,,,747.236867,1711.332852,747.2368669,747.2368669,,,,0,0,0,0,0,0,0,0,0,0
GGGABAH,gg4abut_c + h2o_c --> 4abut_c + glu__L_c,Gamma-glutamyl-gamma-aminobutyric acid hydrolase,,"OrderedDict([('bigg.reaction', 'GGGABAH'), ('biocyc', 'META:RXN0-3942'), ('ec-code', '3.5.1.94'), ('kegg.reaction', 'R07419'), ('metanetx.reaction', 'MNXR100114'), ('rhea', ['19737', '19738', '19739', '19740']), ('sbo', 'SBO:0000375')])",b1298,28.01303,2,28.013,56.0261,,,27.7649221,1615.094328,27.7649221,27.7649221,1615.094328,,,0,0,0,0,0,0,0,0,0,0
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c,Phosphoserine phosphatase (L-serine),,"OrderedDict([('bigg.reaction', 'PSP_L'), ('biocyc', 'META:RXN0-5114'), ('ec-code', '3.1.3.3'), ('kegg.reaction', 'R00582'), ('metanetx.reaction', 'MNXR103260'), ('rhea', ['21208', '21209', '21210', '21211']), ('sbo', 'SBO:0000375')])",b4388,35.04269,1,35.0427,35.0427,166.807695,183.8783807,1.43,1481,7.15,7.15,1481,,modify,1.506536071,1.216754909,1.358965588,1.505450752,0,0.974218525,1.505450819,1.505450819,0,0.974092436
HYD1pp,h2_c + 2.0 h_c + q8_c --> 2.0 h_p + q8h2_c,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),,"OrderedDict([('bigg.reaction', 'HYD1pp'), ('metanetx.reaction', 'MNXR100753'), ('rhea', ['29059#1', '29060#1', '29061#1', '29062#1']), ('sbo', 'SBO:0000375')])",( b2996 and b2994 and b2997 and b2995 ) or ( b0974 and b0973 and b0972 ) or ( b2721 and b2724 and b2722 and b2723 and b2720 and b2719 ),( 36.003 and 62.49116 and 39.65201 and 43.60204 ) or ( 27.59731 and 66.25337 and 40.68136 ) or ( 64.98036 and 21.87324 and 33.02936 and 64.07712 and 20.30935 and 27.99916 ) ,( 1 and 1 and 1 and 1 ) or ( 2 and 4 and 4 ) or ( 1 and 1 and 1 and 1 and 1 and 1 ) ,134.532,181.7482,,,138.6569861,1464.427652,138.6569861,138.6569861,1464.427652,,,0,0,0,0,0,0,0,0,0,0
PGK,3pg_c + atp_c --> 13dpg_c + adp_c,Phosphoglycerate kinase,"OrderedDict([('reflection', 'PGK_reverse')])","OrderedDict([('bigg.reaction', 'PGK'), ('biocyc', 'META:PHOSGLYPHOS-RXN'), ('ec-code', '2.7.2.3'), ('kegg.reaction', 'R01512'), ('metanetx.reaction', 'MNXR102538'), ('rhea', ['14801', '14802', '14803', '14804']), ('sbo', 'SBO:0000375')])",b2926,41.11822,1,41.1182,41.1182,276.1282381,272.9215048,1480,22.67019068,1480,1480,1316.5,,,0,0,0,0,0,0,0,0,0,0
