,biomass,biomass_diff,biomass_diff_ratio
RBFSa,0.0002636763562241249,0.8767335380707456,0.9996993418543565
KARA2,0.000272143578758965,0.8767250708482108,0.9996896870659541
KARA1_reverse,0.0002773067207590907,0.8767199077062107,0.9996837997701734
METS,0.0005407755810797704,0.87645643884589,0.9993833782226628
GLNS,0.0007771635329989694,0.8762200508939708,0.999113835802196
METAT,0.0009139290101991071,0.8760832854167706,0.9989578883545299
ARGSS,0.0010813339612567557,0.875915880465713,0.9987670041096273
GTPCI,0.0010980221455537257,0.875899192281416,0.9987479753327709
MOHMT,0.0011979799440614866,0.8757992344829083,0.9986339980055191
ASAD_reverse,0.0016787364725700195,0.8753184779543998,0.9980858132215769
ASPTA_reverse,0.0018780746381567978,0.875119139788813,0.9978585169858447
CS,0.0021346112194365885,0.8748626032075332,0.9975660000005457
PRASCSi,0.0022005030446739307,0.8747967113822959,0.9974908665518263
SULR,0.002330724045607399,0.8746664903813623,0.9973423814725223
ILETA_reverse,0.0023401863612568705,0.8746570280657129,0.997331592024741
ACONTa,0.002453302825633923,0.8745439116013358,0.9972026104698213
OPMEACPD,0.0024540669701960034,0.8745431474567738,0.9972017391505633
OGMEACPD,0.0024540669701960034,0.8745431474567738,0.9972017391505633
THDPS,0.0024674335290632544,0.8745297808979066,0.997186497871974
ICDHyr,0.0025489235908776452,0.8744482908360921,0.9970935784641652
ADSS,0.0026548048851470635,0.8743424095418227,0.9969728468443521
MTHFR2,0.0030119164281915897,0.8739852979987782,0.9965656488086344
EGMEACPR,0.003068480958370942,0.8739287334685988,0.9965011508498622
EPMEACPR,0.003068480958370942,0.8739287334685988,0.9965011508498622
OPMEACPS,0.0032102653396944144,0.8737869490872754,0.9963394805743004
ACONTb,0.003219950797623927,0.8737772636293458,0.9963284366875351
ASPCT,0.0032247531281590575,0.8737724612988107,0.9963229608086428
KDOPS,0.0034206783706908577,0.8735765360562789,0.9960995561737036
THRS,0.003556930655044316,0.8734402837719254,0.9959441938964784
ADSL1r,0.003694853550588362,0.8733023608763814,0.995786926697364
ADSL2r,0.003704416721747319,0.8732927977052224,0.9957760222486364
3OAR140,0.0037251066595462485,0.8732721077674235,0.995752430454434
OPMEACPR,0.003791035316486896,0.8732061791104828,0.9956772550081998
OGMEACPR,0.003791035316486896,0.8732061791104828,0.9956772550081998
GF6PTA,0.003967906570002723,0.8730293078569671,0.9954755767695393
AIRC3_reverse,0.004653398516702907,0.8723438159102669,0.9946939415084193
PRFGS,0.005038631827816356,0.8719585825991534,0.9942546775007619
DHDPS,0.005405374669790227,0.8715918397571796,0.9938364973333216
DHORTS_reverse,0.006035545352668269,0.8709616690743015,0.9931179423909438
IPMD,0.0061509282493340525,0.8708462861776357,0.9929863765264602
G1SAT,0.006338566767071868,0.8706586476598979,0.9927724208665663
CTPS2,0.006469546412313001,0.8705276680146568,0.9926230707396941
PRAIS,0.006904387183528974,0.8700928272434408,0.9921272416035662
ORPT_reverse,0.007294051249273182,0.8697031631776966,0.9916829254081051
IMPC_reverse,0.007330500140494282,0.8696667142864755,0.9916413643967112
AICART,0.007330500142160912,0.8696667142848089,0.991641364394811
SADT2,0.007469332989937718,0.8695278814370321,0.9914830596185894
DHDPRy,0.007480853505429685,0.86951636092154,0.9914699232992231
RHCCE,0.007863463058094346,0.8691337513688754,0.9910336510438834
CYSTL,0.007916547615156979,0.8690806668118127,0.9909731211400372
ATPPRT,0.007933961037299158,0.8690632533896706,0.9909532654074812
G5SD,0.00808863382820091,0.8689085805987689,0.9907768990651972
HISTD,0.00808991417529386,0.868907300251676,0.9907754391436924
NADS1,0.008167271792217434,0.8688299426347523,0.9906872317746711
HCO3E,0.008305139741992207,0.8686920746849776,0.9905300272277161
ANS,0.008537715465180604,0.8684594989617892,0.9902648317181268
LEUTAi,0.008733682489560118,0.8682635319374097,0.9900413794412487
THRD_L,0.008822475174768274,0.8681747392522015,0.9899401331844219
IPPS,0.008832252223051425,0.8681649622039184,0.989928984861346
OCBT,0.008882367641871175,0.8681148467850985,0.9898718405306738
SHSL1,0.00891312478450582,0.868084089642464,0.9898367695610873
ACCOAC,0.009208020775688502,0.8677891936512813,0.9895005130869144
PPCDC,0.009734501937794817,0.867262712489175,0.9889001905848067
PPNCL2,0.009734502612491775,0.867262711814478,0.9889001898154804
HSTPT,0.010088761008656591,0.8669084534183131,0.9884962450932656
AMPMS2,0.010101496494932619,0.8668957179320371,0.9884817233980236
ACHBS,0.010216931361912656,0.8667802830650571,0.9883500982741565
SDPTA_reverse,0.010306038155127425,0.8666911762718423,0.988248493854269
GLUTRS,0.010686697518072205,0.8663105169088976,0.9878144453114884
PANTS,0.010705825411806877,0.8662913890151629,0.9877926346450233
PPBNGS,0.010762396035313305,0.8662348183916565,0.9877281297383078
HISTP,0.011352640288797192,0.8656445741381725,0.9870551010857942
IGPDH,0.011352640288797192,0.8656445741381725,0.9870551010857942
ICYSDS,0.011440293284964306,0.8655569211420054,0.9869551543644989
OGMEACPS,0.011564936401800983,0.8654322780251688,0.986813029492508
P5CR,0.011726950215048031,0.8652702642119218,0.9866282925166298
ACGK,0.011919969483628346,0.8650772449433414,0.9864082014314984
PHETA1_reverse,0.012173468560309935,0.8648237458666598,0.9861191479744161
ACLS,0.012208366971813843,0.8647888474551559,0.9860793549044614
TYRTA_reverse,0.012692694637451844,0.8643045197895179,0.9855270981154196
GLUPRT,0.013738952255087533,0.8632582621718823,0.984334098182895
3OAS140,0.014533945210336694,0.8624632692166331,0.9834276039065493
ACOTA_reverse,0.015617493079141707,0.861379721347828,0.9821920835981831
CHORS,0.01604985155604068,0.8609473628709291,0.9816990849092632
GLU5K,0.01650520496457643,0.8604920094623933,0.9811798661465978
HSST,0.0165855785374623,0.8604116358895074,0.9810882198202883
ARGSL,0.01685062490470972,0.8601465895222601,0.9807859995134421
MECDPS,0.016944027207866745,0.8600531872191031,0.9806794971191124
PPNDH,0.017127780708473463,0.8598694337184963,0.9804699713673951
ANPRT,0.017632545721619455,0.8593646687053503,0.979894410801361
CYSS,0.01862113250935705,0.8583760819176127,0.9787671702908155
SERAT,0.019902906389685202,0.8570943080372846,0.9773056218853674
PGAMT_reverse,0.02030140608545474,0.856695808341515,0.9768512308232135
IPPMIa_reverse,0.02070015601894047,0.8562970584080293,0.9763965544263833
5DOAN,0.02080429115879217,0.8561929232681776,0.9762778138669623
RBFSb,0.021804774698626836,0.8551924397283429,0.9751370080315773
PRAGSr,0.022155293901604634,0.8548419205253651,0.9747373269411341
TYRL,0.02280824784255733,0.8541889665844125,0.9739927932867378
PPA,0.02289389886198959,0.8541033155649802,0.9738951293283771
ACODA,0.02366276752756374,0.8533344468994061,0.9730184233902899
IPPMIb_reverse,0.023939395058078364,0.8530578193688914,0.9727029976101801
SHK3Dr,0.026047628801488632,0.8509495856254812,0.970299074645855
UAGDP,0.026162516020276746,0.850834698406693,0.9701680739802904
G1PACT,0.026162516020276746,0.850834698406693,0.9701680739802904
PSCVT,0.02725412132032928,0.8497430931066405,0.9689233661498718
CHORM,0.028671257930114855,0.8483259564968549,0.9673074697861513
DAPDC,0.028776558396374104,0.8482206560305957,0.967187400458077
DDPA,0.030185149332913937,0.8468120650940558,0.9655812483365332
UMPK,0.030566383590425378,0.8464308308365444,0.9651465442676491
UAGAAT,0.030750628668647955,0.8462465857583218,0.9649364579923547
AHCYSNS,0.0313457511879123,0.8456514632390575,0.9642578668754455
OMPDC,0.03138863403441892,0.8456085803925508,0.9642089695177329
HSDy_reverse,0.03259599495797799,0.8444012194689918,0.962832270819382
MCOATA,0.03509507821472751,0.8419021362122423,0.9599826799476683
ASPK,0.038534214302886984,0.8384630001240828,0.9560611896263944
IGPS,0.04052193951629698,0.8364752749106728,0.9537946770529094
PRAIi,0.04052193951629698,0.8364752749106728,0.9537946770529094
IG3PS,0.043048643617762866,0.8339485708092069,0.9509135913893514
PPND,0.04319023568583985,0.83380697874113,0.9507521403998298
ADSK,0.04540089670687586,0.8315963177200939,0.9482314242736326
HSK,0.05046307464943411,0.8265341397775356,0.9424592532116459
AGPR_reverse,0.051455926428095614,0.8255412879988742,0.9413271495261055
SHKK,0.053159039507650274,0.8238381749193195,0.9393851672124359
ACGS,0.059540083087888274,0.8174571313390815,0.932109153702624
QULNS,0.06019799045508346,0.8167992239718863,0.9313589718817786
UAGCVT,0.06041473856609736,0.8165824758608724,0.9311118238778302
DHQTi,0.06425257973713873,0.812744634689831,0.9267357083008281
DXPS,0.06541673978611019,0.8115804746408596,0.9254082695931326
A5PISO,0.06641806496449605,0.8105791494624737,0.9242665040756216
PSD160,0.06661672588011541,0.8103804885468544,0.924039980077197
MPTG,0.06662926653336955,0.8103679478936002,0.9240256805411804
PSD161,0.06664274154259567,0.8103544728843741,0.9240103156015838
NNDPR,0.07026480940038937,0.8067324050265804,0.9198802365110128
KDOPP,0.07325280915732782,0.803744405269642,0.9164731564111168
BPNT,0.07458130443706665,0.8024159099899031,0.9149583337208225
DHAD2,0.08322996691629625,0.7937672475106735,0.9050966576094785
GK1,0.08343781596816957,0.7935593984588002,0.9048596567975556
DHAD1,0.08356221494809266,0.7934349994788771,0.9047178103037736
MCTP1App,0.08522608700026396,0.7917711274267059,0.902820572747257
DAPE,0.08545550656847252,0.7915417078584972,0.9025589760575132
TMPPP,0.08884711688865032,0.7881500975383194,0.8986916772059498
KDOCT2,0.08911790587519557,0.7878793085517742,0.89838290885174
PRMICI,0.09244705685222995,0.7845501575747398,0.8945868295458214
AIRC2,0.0993523432963998,0.7776448711305699,0.8867130457634159
PSSA160,0.10149891745830994,0.7754982969686598,0.8842654049652491
ALAALAr,0.10281765798418394,0.7741795564427858,0.8827617051767205
PSSA161,0.10333797301594794,0.7736592414110218,0.8821684136323409
TMDS,0.10577634246754107,0.7712208719594287,0.8793880519487677
UAMAS,0.1071027440447377,0.769894470382232,0.8778756166121705
DHPS2,0.11131996136850422,0.7656772530584656,0.8730669156785855
DBTS,0.11806326533993934,0.7589339490870304,0.8653778331358989
DHQS,0.12001386525360525,0.7569833491733645,0.8631536528516544
AMAOTr,0.12041676877445304,0.7565804456525167,0.8626942403082393
UAAGDS,0.12305102118569106,0.7539461932412788,0.859690522202978
PNTK,0.12559930486751933,0.7513979095594504,0.8567848303263016
AOXSr2,0.13703817234353302,0.7399590420834368,0.8437416104758397
GTPCII2,0.14046824390874701,0.7365289705182227,0.8398304560174356
UDCPDP,0.15361271961682108,0.7233844948101487,0.8248424087444888
ASP1DC,0.17117275386622116,0.7058244605607487,0.8048195010766762
DHFS,0.17263394297807572,0.7043632714488941,0.8031533736502519
PTPATi,0.17384952362924988,0.7031476907977199,0.8017673023706886
GLUTRR,0.18554623514891377,0.691450979278056,0.7884300746951064
DB4PS,0.1860663619217122,0.6909308525052575,0.7878369978138551
U23GAAT,0.1951040277333294,0.6818931866936404,0.777531758911218
HMBS,0.19631865691968822,0.6806785575072816,0.77614677254367
CDPMEK,0.20059376526031547,0.6764034491666543,0.7712720611189359
DHPPDA2,0.20276938241487263,0.6742278320120971,0.7687913039183799
APRAUR,0.20276938287705285,0.674227831549917,0.7687913033913769
ALAR,0.2228974088935466,0.6540998055334232,0.7458402316144324
DHFR,0.23049659273389886,0.6465006216930709,0.7371752282195042
PRATPP,0.23267043808018156,0.6443267763467881,0.7346964913312655
PRAMPC,0.23267043808049323,0.6443267763464765,0.7346964913309101
TDSK,0.24590353365951986,0.6310936807674499,0.7196073948533652
USHD,0.24782584867566704,0.6291713657513027,0.7174154665501458
FMNAT,0.26491950959050903,0.6120777048364607,0.6979243431649809
RBFK,0.2649195095906092,0.6120777048363606,0.6979243431648666
RPI_reverse,0.27195290403071715,0.6050443103962526,0.689904483666563
UGMDDS,0.2766858509552105,0.6003113634717593,0.6845077197468671
ATPS4rpp,0.2856269091642281,0.5913703052627417,0.674312638095599
NADK,0.2871436569963242,0.5898535574306456,0.6725831595896871
BTS5,0.2949692222903584,0.5820279921366114,0.6636600237287055
HPPK2,0.3016192887770405,0.5753779256499293,0.6560772556454257
GRTT,0.30602764396028,0.5709695704666897,0.6510506089118668
DMATT,0.30602764396028,0.5709695704666897,0.6510506089118668
SDPDS,0.31872084649673205,0.5582763679302377,0.6365771278931777
SHCHD2,0.34796153699961385,0.5290356774273559,0.6032352996389253
SHCHF,0.34796153699961385,0.5290356774273559,0.6032352996389253
UHGADA,0.362372592097397,0.5146246223295727,0.5868030295464833
DXPRIi,0.3629384749244245,0.5140587395025453,0.5861577791195511
UAGPT3,0.3688636155822257,0.5081335988447441,0.5794016109580904
MECDPDH5,0.4244123111361903,0.45258490329077944,0.5160619621654084
OCTDPS,0.43548129153589904,0.4415159228910707,0.5034405077096594
PMPK,0.44633818514947343,0.43065902927749633,0.4910608861612965
THZPSN3,0.462321167651314,0.4146760467756558,0.472836218808979
UAMAGS,0.5065492882116494,0.3704479262153204,0.4224049063341338
DHNPA2r,0.5317478018616271,0.3452494125653427,0.3936721883329228
GLUR_reverse,0.5557854071033387,0.3212118073236311,0.36626320134153556
DTMPK,0.6594798843551116,0.21751733007185814,0.24802510942293474
MEPCT,0.6674658665067233,0.2095313479202464,0.2389190575219264
TMPK,0.6705206344669804,0.20647657995998936,0.2354358446792801
LPADSS,0.718900157966328,0.15809705646064176,0.1802708764177118
DASYN160,0.7497037679180524,0.12729344650891738,0.14514692226484546
DASYN161,0.7517226618799132,0.12527455254705655,0.14284486938639934
GAPD,0.7594969910981401,0.1175002233288297,0.13398015569023713
PGK_reverse,0.7597140271319506,0.11728318729501919,0.13373267938103095
CYTBO3_4pp,0.7778171018283901,0.09918011259857962,0.11309056741233087
FUM,0.8034055638129685,0.0735916506140013,0.08391320907682256
ENO,0.8036149242949477,0.07338229013202202,0.08367448484995478
OPHBDC,0.8091393275992268,0.06785788682774296,0.07737525924991828
PGM_reverse,0.8166804912750155,0.060316723151954243,0.06877641360738553
SUCDi,0.8418659730955815,0.03513124133138823,0.0400585552080037
TPI,0.8424094323770817,0.034587782049888105,0.03943887332924743
GLUDy_reverse,0.8497604308767747,0.0272367835501951,0.031056864380112792
MDH,0.856451945275893,0.020545269151076795,0.023426835129118487
PDH,0.8581972836469409,0.01879993078002884,0.021436705237784272
PSERT,0.8594192780063094,0.01757793642066041,0.02004332069873887
PGCD,0.8594217005445287,0.01757551388244105,0.020040558388688724
AKGDH,0.8633714902544758,0.01362572417249397,0.015536792989014248
SUCOAS_reverse,0.8651217842189567,0.011875430208013071,0.013541012460082305
GHMT2r,0.8656465756002312,0.01135063882673859,0.012942616738133086
MTHFC,0.8678425332657078,0.009154681161261946,0.010438666178938343
MTHFD,0.8678425332667872,0.009154681160182587,0.010438666177707598
PGI,0.8697082227078826,0.007288991719087146,0.008311305439949174
HACD1,0.8698545197351066,0.007142694691863127,0.008144489599696353
HACD2,0.8698550464269375,0.007142168000032312,0.008143889036978305
HACD3,0.8698562017483046,0.007141012678665182,0.00814257167661715
ECOAH1,0.8698635598719172,0.007133654555052549,0.008134181543226088
ECOAH3,0.8698655806129008,0.007131633814069005,0.008131877384272899
ECOAH2,0.8698746333292706,0.007122581097699143,0.008121554983903843
ACACT3r,0.8698955867020146,0.007101627724955151,0.008097662806825853
ACACT2r,0.8699286074821373,0.007068606944832467,0.00806001071445945
ACOAD1fr,0.869931749582264,0.0070654648447057156,0.008056427920722978
ACACT1r,0.8699961907972892,0.0070010236296805806,0.007982948536792163
PSP_L,0.8709346065189816,0.006062607907988182,0.006912915808916785
HACD4,0.8718590763784084,0.005138138048561336,0.005858784912924264
ECOAH4,0.8718637877333978,0.005133426693571974,0.005853412769305267
ACACT4r,0.8719066436197238,0.005090570807245953,0.005804546153059487
ACOAD3f_reverse,0.872065110075307,0.004932104351662803,0.0056238540676385625
ACOAD2f_reverse,0.8720651100753486,0.004932104351621169,0.00562385406759109
HACD5,0.872699701394557,0.00429751303241277,0.0049002584748467715
ECOAH5,0.8727071066212488,0.004290107805720922,0.0048918146319587566
ACACT5r,0.8727626305512786,0.0042345838756912,0.004828503222165966
CBMKr,0.87293794045454,0.004059273972429778,0.004628605320123062
GND,0.8734052852004417,0.003591929226528068,0.00409571338134185
G6PDH2r,0.8734947900106107,0.0035024244163590623,0.003993655120840432
ACOAD4f_reverse,0.873500714796814,0.003496499630155747,0.0039868993568472864
HACD6,0.8735259675232698,0.0034712469036999316,0.003958104822451512
ECOAH6,0.8735338285248118,0.0034633859021580005,0.00394914128025022
PGL,0.8735744132494866,0.00342280117748317,0.003902864366245028
ACACT6r,0.8735811012332679,0.0034161131937018308,0.0038952383627967623
TKT1,0.8742620996423071,0.0027351147846627066,0.0031187268781119578
ACOAD5f_reverse,0.8743403698622703,0.002656844564699501,0.003029478909389107
PPC,0.8745650454781914,0.0024321689487784015,0.002773291532479475
RPE,0.8750710889250687,0.001926125501901077,0.0021962732266596857
ACKr,0.8751753685191552,0.0018218459078145344,0.002077367952650715
PTAr_reverse,0.8752194115082343,0.001777802918735416,0.0020271477371761474
IMPD,0.8753968183090857,0.0016003961178840953,0.0018248588382687105
FADRx,0.8754451754830432,0.0015520389439265259,0.001769719354172212
CYTK1,0.8755445232427964,0.0014526911841733492,0.0016564376263413082
TKT2,0.8758481667969804,0.0011490476299893526,0.0013102067042939705
HACD7,0.8758653454891784,0.0011318689377913804,0.0012906186236075379
ECOAH7,0.8758663709956445,0.0011308434313253013,0.0012894492852684768
ACACT7r,0.875875344620905,0.001121869806064768,0.001279217068890918
ACOAD6f_reverse,0.8759942615808995,0.0010029528460702153,0.001143621472874968
GARFT,0.8761653923646691,0.0008318220623007022,0.0009484888305423125
GMPS,0.8762004836691233,0.0007967307578464755,0.0009084758135372865
ASNS2,0.8762249102114471,0.0007723042155226567,0.000880623339296785
AACPS4,0.8763839250990694,0.0006132893279003904,0.0006993059017879707
FACOAE161,0.8764133568199032,0.0005838576070665846,0.0006657462503436541
CTECOAI7_reverse,0.8764143437700602,0.0005828706569095399,0.0006646208760085832
AACPS3,0.8764781627256962,0.0005190517012735318,0.0005918510261320275
FACOAE160,0.8765013932120491,0.0004958212149206442,0.0005653623600670317
ACOAD7f_reverse,0.8766249338047698,0.00037228062219996083,0.00042449464613546016
AACPS7,0.876682811572638,0.0003144028543317079,0.0003584992622093319
G3PD2_reverse,0.8766834230650458,0.0003137913619239985,0.0003578020052538364
FACOAE120,0.8766948460822919,0.00030236834467789464,0.0003447768586989894
TRPAS2_reverse,0.8767654108481509,0.00023180357881891211,0.0002643150685152092
TRPS3,0.8767702915857454,0.00022692284122438622,0.000258749785622361
GLYCL,0.8768649034589249,0.00013231096804489084,0.00015086817365930047
POR5,0.8769081785898725,8.903583709729546e-05,0.00010152351185684381
RNTR2c2,0.8769759305881497,2.1283838820052026e-05,2.4268992500687578e-05
RNTR3c2,0.8769760818815264,2.1132545443336426e-05,2.4096479550558705e-05
CPPPGO,0.8769768959036869,2.031852328288064e-05,2.3168287137783862e-05
RNTR1c2,0.876977265908863,1.994851810671605e-05,2.2746387079177236e-05
PAI2T,0.876982267404145,1.4947022824784995e-05,1.7043409692642393e-05
PUNP1_reverse,0.8769949997277189,2.2146992508798036e-06,2.5253207358553454e-06
ADNK1,0.8769950233097622,2.1911172075617102e-06,2.4984312053868803e-06
PPPGO3,0.8769953710647356,1.8433622341884615e-06,2.101902040125538e-06
I4FE4SR,0.8769955237334498,1.6906935199623163e-06,1.927820855242985e-06
CYTK2,0.8769972144250042,1.965538842796377e-12,2.241214465066073e-12
PRMICI_reverse,0.876997214425405,1.5647483309066956e-12,1.7842112895753068e-12
FACOAE60,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
FACOAE141,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
CFAS160G,0.8769972144254793,1.4904744105592727e-12,1.6995201193804807e-12
