,SOURCE,kcat
3.6.1.13,BRENDA and SABIO-RK,129.1
3.5.1.18,BRENDA and SABIO-RK,370.0
5.4.99.9,BRENDA,100.0
2.5.1.78,BRENDA,0.076
3.6.1.66,BRENDA,1009.0
6.3.4.4,BRENDA and SABIO-RK,999.0
3.2.1.23,BRENDA and SABIO-RK,2700000.0
2.3.1.16,BRENDA,999.0
1.1.1.381,BRENDA,52.8
2.2.1.9,BRENDA and SABIO-RK,0.316666667
1.1.1.79,BRENDA and SABIO-RK,760000.0
4.3.3.6,BRENDA,0.127
3.6.4.13,BRENDA and SABIO-RK,22.2
4.2.1.9,BRENDA,75.8
1.3.98.3,BRENDA,900.0
1.1.1.169,BRENDA and SABIO-RK,40.0
3.5.1.108,BRENDA,3.3
3.2.1.93,BRENDA,46.7
2.4.2.3,BRENDA,150.0
3.6.1.12,BRENDA,9.3
3.1.1.5,BRENDA,1975.0
4.4.1.8,BRENDA,34.1
2.5.1.61,BRENDA,0.25
3.7.1.14,BRENDA,8.0
4.1.1.48,BRENDA and SABIO-RK,15.4
2.3.1.30,BRENDA and SABIO-RK,3300.0
2.7.1.59,BRENDA and SABIO-RK,65.0
1.1.1.284,BRENDA and SABIO-RK,72000.0
3.1.3.10,BRENDA,145.0
1.2.1.59,SABIO-RK,8.0
3.1.4.46,BRENDA,3.3
1.1.1.38,BRENDA and SABIO-RK,207.9
1.1.1.35,BRENDA and SABIO-RK,45500.0
4.1.3.3,BRENDA and SABIO-RK,44.2
1.2.1.8,BRENDA,276.0
5.1.3.1,BRENDA and SABIO-RK,7100.0
1.2.1.39,BRENDA,96.8
6.4.1.2,BRENDA and SABIO-RK,36.8
3.5.1.1,BRENDA and SABIO-RK,5721.0
2.7.1.25,BRENDA,272.0
1.1.1.271,BRENDA,0.75
3.5.5.4,BRENDA,19.4
5.1.3.3,BRENDA and SABIO-RK,22000.0
3.2.1.28,BRENDA and SABIO-RK,999.0
3.1.3.97,SABIO-RK,22.0
3.5.3.11,BRENDA,3.0
4.3.1.1,BRENDA and SABIO-RK,999.0
3.6.5.6,BRENDA,1500.0
3.6.4.5,BRENDA,999.0
3.1.7.2,BRENDA and SABIO-RK,6.0
3.6.4.6,BRENDA,0.85
2.4.2.22,BRENDA,150.0
4.3.1.15,BRENDA and SABIO-RK,375.8
6.1.1.17,BRENDA and SABIO-RK,4.4
1.1.1.85,BRENDA,999.0
5.1.3.14,BRENDA and SABIO-RK,52.0
2.3.1.179,BRENDA,0.047
2.7.1.49,BRENDA,0.43
2.6.1.9,BRENDA and SABIO-RK,3100.0
1.1.2.3,BRENDA and SABIO-RK,473.0
1.1.1.399,BRENDA and SABIO-RK,33.3
3.5.1.78,BRENDA and SABIO-RK,5.1
2.8.1.2,BRENDA and SABIO-RK,5310.0
3.6.1.3,BRENDA and SABIO-RK,999.0
1.2.4.1,BRENDA and SABIO-RK,486.0
2.7.1.74,BRENDA,78300.0
4.2.1.24,BRENDA,999.0
3.1.3.104,BRENDA and SABIO-RK,5.566666666666666
2.7.4.16,BRENDA,0.063
6.3.5.3,BRENDA,999.0
1.3.8.7,BRENDA and SABIO-RK,35.7
1.8.1.7,BRENDA and SABIO-RK,999.0
1.4.3.5,BRENDA,33.0
3.2.1.22,BRENDA and SABIO-RK,7659.0
1.1.1.95,BRENDA and SABIO-RK,3850.0
2.7.1.107,BRENDA and SABIO-RK,999.0
1.7.1.4,BRENDA,130.0
1.2.1.19,BRENDA and SABIO-RK,14.4
4.99.1.1,BRENDA,6.7
2.3.1.57,BRENDA,9.0
3.1.3.45,BRENDA,1.5
1.3.1.84,BRENDA and SABIO-RK,80.0
4.2.1.51,BRENDA and SABIO-RK,1932.0
3.5.4.10,BRENDA and SABIO-RK,8.6
3.4.11.23,BRENDA and SABIO-RK,999.0
6.3.2.8,BRENDA,999.0
2.5.1.3,BRENDA,999.0
1.3.8.1,BRENDA and SABIO-RK,40.7
2.1.2.1,BRENDA and SABIO-RK,999.0
2.4.2.10,BRENDA and SABIO-RK,3534.0
4.1.2.40,BRENDA and SABIO-RK,24.3
2.7.4.7,BRENDA,0.0867
2.3.1.47,BRENDA and SABIO-RK,7000.0
2.7.4.25,BRENDA,109.0
1.2.1.3,BRENDA and SABIO-RK,999.0
5.4.2.12,BRENDA and SABIO-RK,999.0
3.6.1.9,BRENDA and SABIO-RK,960000.0
4.1.3.39,BRENDA and SABIO-RK,358.4
2.4.2.17,BRENDA,2.7
5.3.1.14,BRENDA,3150.0
2.7.1.11,BRENDA and SABIO-RK,999.0
2.4.1.1,BRENDA and SABIO-RK,312.0
3.1.1.85,BRENDA,18.5
2.3.1.191,BRENDA,999.0
3.6.5.5,BRENDA,999.0
3.1.3.15,BRENDA,2140.0
1.1.1.133,BRENDA and SABIO-RK,53.0
1.1.99.5,BRENDA,33.3
1.1.1.26,BRENDA,13.0
5.3.1.8,BRENDA and SABIO-RK,106000.0
1.5.1.37,BRENDA and SABIO-RK,283.0
4.2.1.19,BRENDA,1000.0
1.8.4.11,BRENDA and SABIO-RK,999.0
3.1.1.4,BRENDA,187.0
3.1.3.89,BRENDA,3.48
4.1.2.13,BRENDA and SABIO-RK,87.0
5.4.99.18,BRENDA,15.6
3.1.2.12,BRENDA and SABIO-RK,116.0
2.6.1.81,BRENDA,4.7
2.7.7.41,BRENDA,8.92
2.4.2.19,BRENDA,999.0
2.7.7.64,BRENDA,999.0
2.1.1.79,BRENDA and SABIO-RK,100.0
2.7.7.38,BRENDA,21.9
2.4.2.4,BRENDA,1770.0
3.6.1.6,BRENDA,238.0
3.1.3.18,BRENDA and SABIO-RK,292.0
4.6.1.1,BRENDA and SABIO-RK,4600.0
3.2.2.2,BRENDA,48.9
1.1.1.305,BRENDA,0.32
6.3.2.1,BRENDA and SABIO-RK,6.08
5.4.3.2,BRENDA,83.0
2.5.1.48,BRENDA and SABIO-RK,166.0
3.5.4.4,BRENDA and SABIO-RK,250.0
3.4.17.13,BRENDA,160.0
6.3.4.3,BRENDA and SABIO-RK,2100.0
4.1.3.40,BRENDA,1.7
1.3.1.1,BRENDA,0.65
1.4.99.1,BRENDA,5700.0
4.2.1.40,BRENDA and SABIO-RK,44.0
2.5.1.1,BRENDA,1.4
4.1.1.50,BRENDA and SABIO-RK,999.0
4.1.2.25,BRENDA and SABIO-RK,1.8
6.3.4.13,BRENDA,999.0
2.7.7.63,BRENDA,0.258
1.5.1.30,BRENDA and SABIO-RK,70.0
3.3.2.1,BRENDA and SABIO-RK,217.0
1.1.1.49,BRENDA and SABIO-RK,8000.0
3.4.13.18,BRENDA and SABIO-RK,33300.0
4.1.1.36,BRENDA and SABIO-RK,2.9
4.3.2.2,BRENDA and SABIO-RK,999.0
1.8.4.13,SABIO-RK,0.05333333333333334
3.6.5.4,BRENDA and SABIO-RK,999.0
3.6.1.25,BRENDA,7900.0
4.2.1.42,BRENDA,22.0
2.7.1.23,BRENDA and SABIO-RK,999.0
3.6.3.43,BRENDA,25.0
2.4.2.2,BRENDA,679.0
2.6.1.52,BRENDA and SABIO-RK,2.49
1.6.1.2,BRENDA,1.44
6.3.1.9,BRENDA and SABIO-RK,999.0
2.7.1.16,BRENDA,109.0
1.2.1.11,BRENDA and SABIO-RK,680.0
3.6.1.15,BRENDA and SABIO-RK,5096.0
2.3.1.1,BRENDA and SABIO-RK,3.3333333333333335
4.2.99.20,BRENDA,167.0
1.6.1.1,BRENDA,333.0
2.5.1.7,BRENDA,8.9
5.3.1.5,BRENDA and SABIO-RK,230.0
6.3.5.1,BRENDA,999.0
4.1.1.12,BRENDA,442.0
4.2.1.99,SABIO-RK,3.0
5.1.1.1,BRENDA and SABIO-RK,7504.0
2.3.1.39,BRENDA and SABIO-RK,1580.0
2.7.6.1,BRENDA,311.0
2.3.1.37,BRENDA,0.658
1.2.1.72,BRENDA and SABIO-RK,200.0
1.1.1.44,BRENDA and SABIO-RK,325.0
1.1.1.363,BRENDA,1125.0
1.4.7.1,BRENDA,137.0
3.5.4.1,BRENDA,186.0
3.5.4.25,BRENDA,432.0
5.3.3.8,BRENDA and SABIO-RK,999.0
5.1.1.7,BRENDA,128.0
5.1.1.20,BRENDA,17.0
6.3.5.5,BRENDA and SABIO-RK,2660.0
3.1.4.17,BRENDA and SABIO-RK,999.0
1.5.1.42,BRENDA,999.0
3.5.4.3,BRENDA and SABIO-RK,649.0
3.5.1.25,BRENDA,2610.0
4.1.2.20,BRENDA,447.0
1.15.1.1,BRENDA,107000.0
1.3.1.12,BRENDA and SABIO-RK,356.1
6.3.2.2,BRENDA and SABIO-RK,7920.0
3.6.1.5,BRENDA and SABIO-RK,3019.0
4.2.1.10,BRENDA and SABIO-RK,310.0
1.1.1.154,BRENDA,62.0
1.5.1.2,BRENDA and SABIO-RK,4170.0
2.5.1.54,BRENDA and SABIO-RK,122.0
4.2.1.1,BRENDA and SABIO-RK,33000000.0
3.6.1.67,BRENDA,11.6
1.3.98.1,BRENDA and SABIO-RK,999.0
4.2.1.2,BRENDA and SABIO-RK,3100.0
2.7.1.24,BRENDA and SABIO-RK,14.2
1.3.1.28,BRENDA,92.5
3.1.3.12,BRENDA,24.0
2.7.8.7,BRENDA and SABIO-RK,2.8
3.5.1.42,BRENDA,4.1
2.6.1.57,BRENDA,1200.0
4.2.3.4,BRENDA,25000.0
6.3.1.11,BRENDA,5.94
6.3.4.2,BRENDA and SABIO-RK,999.0
3.1.4.35,BRENDA and SABIO-RK,4400.0
2.7.7.1,BRENDA and SABIO-RK,53.9
1.6.4.5,BRENDA,1600.0
2.3.1.157,BRENDA and SABIO-RK,1500.0
2.5.1.19,BRENDA and SABIO-RK,100.0
4.1.1.31,BRENDA and SABIO-RK,999.0
4.2.1.75,BRENDA,890.0
2.3.1.4,BRENDA and SABIO-RK,38.0
1.1.1.100,BRENDA and SABIO-RK,344.7
4.1.3.27,BRENDA and SABIO-RK,383.0
2.3.3.13,BRENDA and SABIO-RK,450.0
3.6.1.42,BRENDA,3830.0
1.2.1.22,BRENDA and SABIO-RK,761.5
3.4.11.2,BRENDA and SABIO-RK,7600.0
2.1.1.45,BRENDA and SABIO-RK,48.0
3.6.1.45,BRENDA,1492.0
3.6.3.54,BRENDA,5.9
3.1.3.21,BRENDA,833.0
1.1.1.71,BRENDA,280.0
4.1.2.48,BRENDA,43.0
3.5.1.16,BRENDA,3800.0
2.6.1.1,BRENDA and SABIO-RK,670.0
3.5.4.19,BRENDA,9.9
2.6.1.62,BRENDA and SABIO-RK,999.0
2.7.4.6,BRENDA and SABIO-RK,2085.0
2.7.4.3,BRENDA and SABIO-RK,1100.0
3.2.2.5,BRENDA,8390.0
3.1.1.32,BRENDA,5158.0
4.1.2.21,BRENDA,0.94
3.4.13.22,BRENDA,788.0
5.3.1.28,BRENDA,33.1
1.5.1.38,BRENDA,34.0
3.6.1.65,BRENDA and SABIO-RK,51.7
1.11.1.16,BRENDA and SABIO-RK,54500.0
1.1.1.86,BRENDA and SABIO-RK,78.3
2.7.1.71,BRENDA and SABIO-RK,60.0
4.3.1.17,BRENDA and SABIO-RK,585.0
1.1.1.103,BRENDA and SABIO-RK,551.7
3.6.1.22,BRENDA and SABIO-RK,1492.0
2.3.1.12,BRENDA,2.4
2.7.7.27,BRENDA and SABIO-RK,999.0
2.7.7.23,BRENDA and SABIO-RK,350.0
1.1.1.298,BRENDA,115.0
1.8.1.9,BRENDA and SABIO-RK,1600.0
3.6.1.8,SABIO-RK,1.9166666666666667
1.5.3.1,BRENDA,101.0
2.4.2.21,BRENDA,149.0
5.3.3.2,BRENDA and SABIO-RK,29900.0
4.1.99.1,BRENDA and SABIO-RK,44.0
3.2.2.9,BRENDA,7.1
1.8.4.2,SABIO-RK,293.0
1.1.1.39,BRENDA and SABIO-RK,770.0
6.3.2.10,BRENDA and SABIO-RK,999.0
3.6.3.49,BRENDA,999.0
5.3.3.7,BRENDA and SABIO-RK,18000.0
3.1.3.27,BRENDA,24.0
6.2.1.30,BRENDA and SABIO-RK,60.5
6.3.1.8,BRENDA and SABIO-RK,999.0
2.8.3.1,BRENDA,14.2
1.1.1.60,BRENDA,243.0
3.5.2.5,BRENDA and SABIO-RK,3423.0
2.7.1.20,BRENDA and SABIO-RK,999.0
2.4.1.15,BRENDA,999.0
1.14.11.17,BRENDA and SABIO-RK,999.0
1.13.99.1,BRENDA and SABIO-RK,7.22
1.1.1.23,BRENDA and SABIO-RK,35.0
2.7.7.2,BRENDA and SABIO-RK,0.33
2.7.2.2,BRENDA and SABIO-RK,730.0
1.6.5.3,BRENDA,1500.0
2.5.1.6,BRENDA,7.5
1.7.1.7,BRENDA,0.519
1.4.1.13,BRENDA and SABIO-RK,41.9
4.6.1.12,BRENDA and SABIO-RK,2.7
4.1.1.19,BRENDA and SABIO-RK,999.0
1.1.1.61,BRENDA,1329.0
4.1.2.4,BRENDA and SABIO-RK,521.0
2.6.1.59,BRENDA,0.38
3.4.11.1,BRENDA and SABIO-RK,34500.0
1.2.1.4,BRENDA and SABIO-RK,63.0
1.2.1.5,BRENDA and SABIO-RK,999.0
1.2.4.2,BRENDA and SABIO-RK,999.0
1.4.1.3,BRENDA and SABIO-RK,714.0
1.7.1.14,BRENDA and SABIO-RK,1200.0
2.5.1.15,BRENDA and SABIO-RK,999.0
4.1.2.55,BRENDA and SABIO-RK,61.9
3.5.4.13,BRENDA,999.0
3.1.3.102,BRENDA,9.4
5.1.3.4,BRENDA and SABIO-RK,36.5
3.6.3.9,BRENDA,999.0
2.6.1.85,BRENDA and SABIO-RK,2.2
5.4.99.5,BRENDA and SABIO-RK,366000.0
2.6.1.11,BRENDA and SABIO-RK,1.55
1.18.99.1,BRENDA,483.0
3.6.3.5,BRENDA,300.0
3.5.4.9,BRENDA and SABIO-RK,8700.0
2.4.1.25,BRENDA and SABIO-RK,999.0
2.4.2.8,BRENDA and SABIO-RK,90.0
3.6.5.2,BRENDA and SABIO-RK,0.00333333333
3.6.3.8,BRENDA,999.0
4.1.2.19,BRENDA,38.3
2.4.1.18,BRENDA,1000.0
4.1.1.20,BRENDA,58.0
4.1.1.11,BRENDA,7.03
1.5.1.3,BRENDA and SABIO-RK,284.0
6.3.1.2,BRENDA and SABIO-RK,999.0
2.3.1.38,BRENDA and SABIO-RK,40.0666667
5.3.1.3,BRENDA,0.1823
2.4.1.227,BRENDA,14.0
4.1.2.17,BRENDA and SABIO-RK,19.3
3.1.5.1,BRENDA and SABIO-RK,4000.0
1.2.1.16,BRENDA,176.0
4.1.1.18,BRENDA and SABIO-RK,636.0
3.1.3.3,BRENDA and SABIO-RK,1506.0
1.1.1.81,BRENDA and SABIO-RK,72.5
1.17.1.2,BRENDA,3.7
2.7.7.9,BRENDA,999.0
3.6.4.9,BRENDA,2.21
2.3.1.85,BRENDA and SABIO-RK,73.0
2.6.1.16,BRENDA,35.5
2.2.1.2,BRENDA,999.0
2.7.1.130,BRENDA,2.4
3.1.3.25,BRENDA and SABIO-RK,999.0
4.2.1.140,BRENDA,10.4
3.6.1.23,BRENDA and SABIO-RK,65.0
4.1.3.1,BRENDA and SABIO-RK,800.0
3.1.3.2,BRENDA and SABIO-RK,40850.0
2.4.2.7,BRENDA,17.9
3.2.2.8,BRENDA,344.0
2.7.1.15,BRENDA,47.81
6.2.1.26,BRENDA,121.7
1.1.1.283,BRENDA,4.0
1.1.1.37,BRENDA and SABIO-RK,121600.0
4.2.1.150,BRENDA,19.0
2.7.8.13,BRENDA and SABIO-RK,999.0
3.1.3.1,BRENDA and SABIO-RK,28300.0
2.6.1.2,BRENDA and SABIO-RK,500.0
1.8.1.2,BRENDA,999.0
6.3.2.17,BRENDA,999.0
2.7.1.55,SABIO-RK,47.0
2.3.1.8,BRENDA and SABIO-RK,5252.0
6.3.1.5,BRENDA,0.2
2.7.6.5,BRENDA and SABIO-RK,127.0
3.6.1.41,BRENDA,250.0
3.2.2.7,BRENDA,0.06
3.6.3.33,BRENDA,1.39
1.1.1.299,BRENDA,139.0
2.3.3.9,BRENDA,999.0
4.2.1.20,BRENDA and SABIO-RK,999.0
1.17.1.4,BRENDA and SABIO-RK,1097.0
1.5.1.5,BRENDA and SABIO-RK,1700.0
2.7.1.1,BRENDA and SABIO-RK,1899.46667
4.2.1.33,SABIO-RK,4.5
2.7.2.3,BRENDA and SABIO-RK,2633.0
5.3.1.4,BRENDA and SABIO-RK,3657.0
4.4.1.15,BRENDA,13800.0
1.8.1.4,BRENDA and SABIO-RK,999.0
2.7.1.33,BRENDA and SABIO-RK,329.0
2.1.3.2,BRENDA and SABIO-RK,417.0
2.1.1.13,BRENDA and SABIO-RK,999.0
3.1.2.2,BRENDA and SABIO-RK,183.0
4.3.1.19,BRENDA and SABIO-RK,1414.0
1.1.1.17,BRENDA and SABIO-RK,132.0
6.3.2.5,BRENDA and SABIO-RK,2.9
1.3.1.9,BRENDA and SABIO-RK,91.13
3.6.3.44,BRENDA,999.0
3.2.1.20,BRENDA and SABIO-RK,1278.0
2.7.1.60,SABIO-RK,83.0
3.2.2.6,BRENDA,57.9
1.2.1.10,BRENDA and SABIO-RK,17.2
2.1.2.2,BRENDA,40.0
4.2.3.1,BRENDA,4080.0
3.6.3.51,BRENDA,0.00068
2.5.1.9,BRENDA,2.0
2.7.1.40,BRENDA and SABIO-RK,95000.0
4.4.1.5,BRENDA and SABIO-RK,6700.0
4.4.1.28,BRENDA,39.6
1.3.99.22,BRENDA,900.0
2.7.1.26,BRENDA and SABIO-RK,6.8
1.1.1.336,BRENDA and SABIO-RK,0.4
4.2.1.80,BRENDA and SABIO-RK,450.0
4.2.1.81,BRENDA and SABIO-RK,19.8
2.5.1.31,BRENDA and SABIO-RK,11.2
1.1.1.383,BRENDA and SABIO-RK,4.5
1.1.1.21,BRENDA and SABIO-RK,266.0
1.2.1.12,BRENDA and SABIO-RK,999.0
1.2.1.88,BRENDA and SABIO-RK,25.0
1.4.99.4,BRENDA,91.0
2.7.1.121,SABIO-RK,4.833333333333333
4.1.2.5,BRENDA,18.3
1.1.1.276,BRENDA,999.0
1.5.1.41,BRENDA,0.603
1.16.3.1,BRENDA and SABIO-RK,2548.0
3.1.3.5,BRENDA and SABIO-RK,757.0
2.7.4.22,BRENDA and SABIO-RK,545.2
3.5.1.2,BRENDA and SABIO-RK,6249.0
2.7.4.8,BRENDA and SABIO-RK,1500.0
6.3.5.4,BRENDA,9.19
6.2.1.5,BRENDA,999.0
2.3.3.5,BRENDA and SABIO-RK,29.9
2.4.2.9,BRENDA and SABIO-RK,6.1
1.11.1.21,BRENDA and SABIO-RK,339000.0
2.3.3.16,BRENDA and SABIO-RK,2100.0
3.6.4.1,BRENDA,20.0
2.7.2.1,BRENDA and SABIO-RK,3600.0
5.4.2.8,BRENDA and SABIO-RK,134.9
1.3.3.4,BRENDA and SABIO-RK,14.1
3.1.2.14,BRENDA,35.6
2.7.7.75,BRENDA,0.0012
4.2.1.11,BRENDA and SABIO-RK,230.0
3.6.4.3,BRENDA,13.0
2.6.1.17,BRENDA,24.0
1.1.1.6,BRENDA and SABIO-RK,98.44
1.7.3.3,BRENDA and SABIO-RK,21800.0
1.2.1.79,BRENDA,136.3
6.2.1.13,BRENDA and SABIO-RK,411.0
2.7.8.26,BRENDA,0.67
4.2.1.126,BRENDA,5.7
2.7.7.62,BRENDA and SABIO-RK,4.7
1.3.3.6,BRENDA,999.0
5.1.3.2,BRENDA and SABIO-RK,38295.0
4.1.1.8,BRENDA and SABIO-RK,88.0
1.5.1.34,BRENDA and SABIO-RK,510.0
4.2.1.3,BRENDA,999.0
5.4.2.10,BRENDA and SABIO-RK,7.9
2.1.1.10,BRENDA and SABIO-RK,999.0
3.1.1.31,SABIO-RK,14.3
2.5.1.16,BRENDA and SABIO-RK,999.0
6.2.1.20,BRENDA,0.016
4.2.1.91,BRENDA and SABIO-RK,6.1
2.7.7.3,BRENDA and SABIO-RK,26.5
2.8.3.8,BRENDA,290.0
1.3.8.8,BRENDA and SABIO-RK,11.9
2.7.1.156,BRENDA,0.251
6.3.4.18,BRENDA,24.83
1.1.1.267,BRENDA and SABIO-RK,9833.333333333334
1.1.1.40,BRENDA and SABIO-RK,4670.0
1.1.1.290,BRENDA,1.4
4.1.1.15,BRENDA and SABIO-RK,100.7
4.1.1.37,BRENDA,999.0
3.1.3.74,BRENDA and SABIO-RK,19.4
2.1.2.11,BRENDA,0.783
2.7.4.4,BRENDA,500.0
2.5.1.90,BRENDA,2.0
1.4.4.2,BRENDA,6.08
1.1.1.205,BRENDA and SABIO-RK,999.0
2.7.1.17,BRENDA and SABIO-RK,6600.0
3.2.2.1,BRENDA and SABIO-RK,62.0
4.1.1.9,BRENDA and SABIO-RK,135.0
1.4.3.16,BRENDA,10.6
2.5.1.55,BRENDA and SABIO-RK,100.0
3.5.1.14,BRENDA,21300.0
2.7.1.31,BRENDA and SABIO-RK,350.0
6.2.1.1,BRENDA and SABIO-RK,9400.0
2.7.1.4,BRENDA and SABIO-RK,8897.0
2.4.1.21,BRENDA,412.0
6.3.5.2,BRENDA,999.0
1.17.4.1,BRENDA,12.9
2.7.7.4,BRENDA and SABIO-RK,260.0
3.2.1.122,BRENDA and SABIO-RK,128.0
3.1.3.6,BRENDA and SABIO-RK,176.0
2.7.7.60,BRENDA and SABIO-RK,999.0
1.1.1.215,BRENDA and SABIO-RK,48.2
3.6.5.1,BRENDA and SABIO-RK,21.0
4.1.1.85,BRENDA and SABIO-RK,64.0
4.1.3.30,BRENDA and SABIO-RK,105.0
2.7.1.213,BRENDA,280.0
2.7.2.8,BRENDA,187.5
1.1.1.25,BRENDA and SABIO-RK,999.0
5.3.1.13,BRENDA and SABIO-RK,255.0
3.6.4.4,BRENDA,999.0
3.2.2.16,BRENDA,20.0
3.1.4.53,BRENDA,6.7
2.6.1.42,BRENDA and SABIO-RK,1236.0
6.1.1.24,BRENDA and SABIO-RK,0.1
3.1.4.2,BRENDA,220.0
1.1.1.351,BRENDA,325.0
2.7.7.12,BRENDA and SABIO-RK,999.0
4.2.3.5,BRENDA,0.87
