,pfba_flux,sub_flux
EX_acgam_e,0.7524705747017365,-10.986211338041894
EX_ac_e,0.2677924660662049,-13.352932559543516
EX_akg_e,0.40620183584808284,-8.831547817865719
EX_ala__L_e,0.5506026363472589,-23.109961174071202
EX_fru_e,0.7814132483272719,-11.650795186659504
EX_fum_e,0.6992775521584851,-27.89135187223423
EX_g6p_e,0.7856154114355012,-10.962642439434342
EX_gal_e,0.6436131416026758,-10.950443289229524
EX_gam_e,0.7806563012469886,-11.633407594183058
EX_glcn_e,0.7199822513752963,-11.547683585899737
EX_glc__D_e,0.763784758465079,-11.667188584456495
EX_glyc_e,0.41928389841496705,-9.901888160677629
EX_gsn_e,0.3674194879569269,-5.578057638486393
EX_lac__L_e,0.571464561716018,-30.287587073394555
EX_malt_e,0.6835510900893094,-5.379348214383772
EX_mal__L_e,0.7043478413304214,-28.083637156137588
EX_man_e,0.7625443293087256,-11.384520501306168
EX_mnl_e,0.8032753955138182,-10.317835865103401
EX_pyr_e,0.6267204159743294,-45.053540081647505
EX_rib__D_e,0.6710703557627506,-13.595381910947086
EX_sbt__D_e,0.7665422449636803,-9.870613474544836
EX_succ_e,0.5959660996915469,-19.104269844920342
EX_tre_e,0.7602679479140121,-5.808202926616745
EX_xyl__D_e,0.3874131452255585,-7.185641154961692
