,reaction,ECMpy_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes,model_ori_fluxes
ALATA_D2,ALATA_D2,0.0,0.0,0.0,
SHCHD2,SHCHD2,0.00013453419432956723,0.00012117550427954609,0.00012117571835290715,
CPPPGO,CPPPGO,0.00013453419432956723,0.00012117550427954609,0.00012117571835290714,
GTHOr,GTHOr,0.1493039976729596,0.13447872713054076,0.1344789647058932,
DHORD5,DHORD5,0.0,0.0,0.0,
GLYCTO2,GLYCTO2,7.3174533966005315,0.00024235100855907188,0.00024235143670581216,
GLYCTO3,GLYCTO3,0.0,0.0,0.0,
GLYCTO4,GLYCTO4,0.0,0.0,0.0,
PFK_3,PFK_3,0.0,0.0,0.0,
TRPS2,TRPS2,0.0,0.0,0.0,
G3PD5,G3PD5,0.0,0.0,0.0,
EX_acgam_e,EX_acgam_e,0.0,0.0,0.0,
EX_cellb_e,EX_cellb_e,0.0,0.0,0.0,
EX_chol_e,EX_chol_e,0.0,-0.0,0.0,
LEUTAi,LEUTAi,0.2718019063026648,0.2448130991864044,0.24481353168275163,
SHK3Dr,SHK3Dr,0.2299261776174454,0.20709545746868302,0.20709582333157678,
G5SD,G5SD,0.13336079070637885,0.12011861479154735,0.12011882699776633,
ALATA_L2,ALATA_L2,0.0,0.0,0.0,
MAN6PI,MAN6PI,0.0,0.0,0.0,
APRAUR,APRAUR,0.0002690683886591345,0.00024235100855909215,0.00024235143670581433,
DB4PS,DB4PS,0.000538136777318269,0.0004847020171181843,0.00048470287341162866,
RBFK,RBFK,0.00013453419432956726,0.00012117550427954606,0.00012117571835290717,
ACP1_FMN,ACP1_FMN,0.0,0.0,0.0,
RBFSb,RBFSb,0.0002690683886591345,0.00024235100855909215,0.00024235143670581433,
EX_pi_e,EX_pi_e,0.0,-0.5241552398254392,-0.5241561658185261,
EX_h_e,EX_h_e,6.989747328610708,7.28865299054852,7.28864820057744,
DMATT,DMATT,0.00016771527364853325,0.00015106183941575633,0.00015106210628748206,
GRTT,GRTT,0.00016771527364853325,0.00015106183941575633,0.00015106210628748206,
UPP3S,UPP3S,0.00026906838865913446,0.00024235100855909218,0.00024235143670581428,
UPPDC1,UPPDC1,0.00013453419432956723,0.00012117550427954609,0.00012117571835290714,
TMDPP,TMDPP,0.0,0.0,0.0,
EX_ade_e,EX_ade_e,0.0,0.0,0.0,
EX_4abut_e,EX_4abut_e,0.0,0.0,0.0,
EX_ac_e,EX_ac_e,1.4464564916439482,0.22165614233378106,1.8627055453634966e-10,
EX_akg_e,EX_akg_e,0.0,0.0,0.0,
EX_ala__L_e,EX_ala__L_e,0.0,0.0,0.0,
EX_arg__L_e,EX_arg__L_e,0.0,0.0,0.0,
EX_asp__L_e,EX_asp__L_e,0.0,0.0,0.0,
EX_cytd_e,EX_cytd_e,0.0,0.0,0.0,
EX_dcyt_e,EX_dcyt_e,0.0,0.0,0.0,
EX_fum_e,EX_fum_e,0.0,0.0,0.0,
EX_glu__L_e,EX_glu__L_e,0.0,0.0,0.0,
EX_gua_e,EX_gua_e,0.0,0.0,0.0,
HCO3E,HCO3E,1.726101464696508,1.5547067157504897,1.5547094623559077,
IMPC,IMPC,0.0,0.2948053304385048,0.29480585125311115,
IMPD,IMPD,0.0,0.0,0.0,
ECOAH4,ECOAH4,0.0,0.0,0.0,
GLUTRS,GLUTRS,0.002152547109273076,0.0019388080684727374,0.0019388114936465142,
TMPPP,TMPPP,0.00013453419432956723,0.00012117550427954609,0.00012117571835290715,
URIK1,URIK1,0.0,0.0,0.0,
URIK2,URIK2,0.0,0.0,0.0,
CYTDK1,CYTDK1,0.0,0.0,0.0,
CYTDK2,CYTDK2,0.0,0.0,0.0,
XPPT,XPPT,0.14673759201072634,0.13216715495473297,0.13216738844637174,
HXPRT,HXPRT,0.0,0.0,0.0,
NDPK5,NDPK5,0.0,0.0,0.0,
DHORTS,DHORTS,0.0,0.17975000420696163,0.17975032176031355,
OMPDC,OMPDC,0.19956609333295602,0.17975000420696163,0.17975032176031355,
CS,CS,0.6486551097291295,0.5842463354140526,0.584247367566363,7.65
ICDHyr,ICDHyr,0.6486551097291295,0.5842463354140526,0.584247367566363,5.12
ACALD,ACALD,0.0,0.0,0.0,
ACS,ACS,0.0,0.0,0.0,
PPA,PPA,0.0,1.8414932707780087,1.8414965240317198,
PPCK,PPCK,0.0,0.0,0.0,
ME1,ME1,0.0,0.0,0.0,
ALAR,ALAR,0.0,0.022649494929955334,0.02264953494343442,
ALATA_L,ALATA_L,0.0,0.5461081114527779,0.5461090762286179,
XYLK,XYLK,0.0,0.0,0.0,
RBK,RBK,0.0,0.0,0.0,
GLYK,GLYK,0.0,0.0,0.0,
PPM,PPM,0.0,0.50716784693401,0.507168742916503,
ASPTA,ASPTA,0.0,1.5909436254091702,1.5909464360321637,
FBP,FBP,0.0,0.0,0.0,
GLGC,GLGC,0.0,0.0,0.0,
PYK,PYK,0.0,0.0,0.0,12.85
A5PISO,A5PISO,0.023475311971982604,0.021144310414913443,0.021144347769274995,
EX_met__L_e,EX_met__L_e,0.0,0.0,0.0,
EX_metsox_S__L_e,EX_metsox_S__L_e,0.0,0.0,0.0,
IPPMIb,IPPMIb,0.0,0.2448130991864044,0.24481353168275163,
ACHBS,ACHBS,0.0,0.15786994655978584,0.1578702254589765,
ACLS,ACLS,0.5274989232886133,0.47512045807351505,0.47512129743980447,
PSCVT,PSCVT,0.2299261776174454,0.20709545746868302,0.20709582333157678,
ANS,ANS,0.03429294712231207,0.030887799057229767,0.030887853624817493,
ANPRT,ANPRT,0.03429294712231207,0.030887799057229767,0.030887853624817493,
CHORM,CHORM,0.19509509371781514,0.1757229563943351,0.17572326683334766,
CHORS,CHORS,0.2299261776174454,0.20709545746868302,0.20709582333157678,
IGPS,IGPS,0.03429294712231207,0.030887799057229767,0.030887853624817493,
EX_crn_e,EX_crn_e,0.0,-0.0,-0.0,
EX_fe3_e,EX_fe3_e,0.0,0.0,0.0,
EX_glcn_e,EX_glcn_e,0.0,0.0,0.0,
EX_gln__L_e,EX_gln__L_e,0.0,0.0,0.0,
EX_glyc_e,EX_glyc_e,0.0,0.0,0.0,
EX_man_e,EX_man_e,0.0,0.0,0.0,
EX_mn2_e,EX_mn2_e,0.0,-0.0003754810468931226,-0.0003754817102325508,
EX_rib__D_e,EX_rib__D_e,0.0,0.0,0.0,
EX_sbt__D_e,EX_sbt__D_e,0.0,0.0,0.0,
ECOAH6,ECOAH6,0.0,0.0,0.0,
ENO,ENO,8.070197476195037,8.261818899296685,8.261815828558237,16.6
FBA,FBA,0.0,0.0,0.0,8.45
MGSA,MGSA,0.0,0.0,0.0,
PPS,PPS,0.0,0.2448130991864044,0.0,
PGI,PGI,0.0,16.271092899264264,16.381979184484187,7.51
PGK,PGK,0.0,9.165570806057453,9.16556933192233,
EDA,EDA,0.0,0.0,0.0,
PGL,PGL,28.42487666925117,26.271092899264264,26.381979184484187,2.37
RPE,RPE,18.481880556936428,17.092498874109253,17.16642231950614,0.98
TALA,TALA,9.355903367276936,8.649797165788968,8.686759071418857,0.04
TKT1,TKT1,9.355903367276936,8.649797165788968,8.686759071418857,0.06
G6PDA,G6PDA,0.0,0.0,0.0,
ALCD2x,ALCD2x,0.0,0.0,0.0,
ALDD2y,ALDD2y,0.0,0.0,0.0,
RMI,RMI,0.0,0.0,0.0,
EX_ura_e,EX_ura_e,0.0,0.0,0.0,
EX_val__L_e,EX_val__L_e,0.0,0.0,0.0,
EX_xan_e,EX_xan_e,0.0,0.0,0.0,
FMNAT,FMNAT,0.00013453419432956726,0.00012117550427954606,0.00012117571835290717,
NADDP,NADDP,0.0,0.0,0.0,
NMNAT,NMNAT,0.0,0.0,0.0,
HMPK1,HMPK1,0.0,0.0,0.0,
NDPK6,NDPK6,0.0,0.0,0.0,
NDPK8,NDPK8,0.0,0.0,0.0,
PYNP2r,PYNP2r,0.0,0.0,0.0,
DURIPP,DURIPP,0.0,0.0,0.0,
PTRCTA,PTRCTA,0.0,0.0,0.0,
CYSDS,CYSDS,0.0,0.0005944663752548145,0.0,
TRPAS2,TRPAS2,0.0,0.030887799057229767,0.030887853624817493,
NDP3,NDP3,0.0,0.0,0.0,
CDPPH,CDPPH,0.0,0.0,0.0,
NDP7,NDP7,0.0,0.0,0.0,
EX_co2_e,EX_co2_e,32.344707522810786,28.720527541114933,28.60976161986745,
PMDPHT,PMDPHT,0.0002690683886591345,0.00024235100855909215,0.00024235143670581433,
ILETA,ILETA,0.0,0.15786994655978584,0.1578702254589765,
VALTA,VALTA,0.0,0.0,0.0,
ORPT,ORPT,0.0,0.17975000420696163,0.17975032176031355,
RBFSa,RBFSa,0.000538136777318269,0.0004847020171181843,0.00048470287341162866,
DHAD2,DHAD2,0.17527392351737595,0.15786994655978584,0.1578702254589765,
G1PP,G1PP,0.0,0.0,0.0,
PFL,PFL,0.0,0.059154838216951076,0.059154942722228314,2.88
FRD2,FRD2,0.0,0.0,0.0,
FRD3,FRD3,0.0,0.0,0.0,
POX,POX,3.9398040534325673,2.4674245854389127,2.245772410753282,
PTAr,PTAr,0.0,2.5621212777889513,2.562125804132059,3.31
ACKr,ACKr,0.0,2.5621212777889513,2.562125804132059,
EX_hxan_e,EX_hxan_e,0.0,0.0,0.0,
EX_ile__L_e,EX_ile__L_e,0.0,0.0,0.0,
EX_lac__L_e,EX_lac__L_e,0.0,0.0,0.0,
EX_leu__L_e,EX_leu__L_e,0.0,0.0,0.0,
