,fluxes,kcat,MW,kcat_MW,equ
ALATA_D2_num1,0.0,4681.349381,90.6332,51.6515954528804,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,0.00014433365711583117,,,,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,0.00014433365711583117,2750.764651,68.6453,40.072148435508325,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.16017929206430465,1168424.727,97.545,11978.314900815007,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,159865.3806,36.7745,4347.180263497804,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.00028866731423163317,,,,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,,,,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,,,,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,375752.201,139.3682,2696.111458711528,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,101953.3495,143.4143,710.9008620479269,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5_num1,0.0,,,,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,,,,acgam_e --> 
EX_cellb_e,0.0,,,,cellb_e --> 
EX_chol_e,0.0,,,,chol_e --> 
LEUTAi_num1,0.0,65684.65039,204.5619,321.0991410912784,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr_num1,0.24667398684452221,344888.0336,29.4136,11725.461473604048,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.14307478284188369,,,,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2_num1,0.0,4681.349381,145.9788,32.06869340616583,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,61907781.6,42.85,1444755.6966161027,man6p_c --> f6p_c
APRAUR,0.0002886673142316894,,,,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0005773346284633788,,,,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,0.00014433365711585822,7219.500001,34.7343,207.8493017276871,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN_num1,0.0,146713.8461,30.3709,4830.73751847986,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,0.0002886673142316894,2112.797999,70.3347,30.039198276242022,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,,,,pi_e --> 
EX_h_e,6.770485586206618,,,,h_e --> 
DMATT,0.00017993164429686015,2158.457144,32.1596,67.11703951541686,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,0.00017993164429686015,28417.54286,32.1596,883.6410546151072,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,0.00028866731423166233,1029909.6,27.7979,37049.90664762446,hmbil_c --> h2o_c + uppg3_c
UPPDC1,0.00014433365711583117,1199329.2,39.2481,30557.63718498475,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,518695.9999,94.4142,5493.8346128018875,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,,,,ade_e --> 
EX_4abut_e,0.0,,,,4abut_e --> 
EX_ac_e,0.8234217713660299,,,,ac_e --> 
EX_akg_e,0.0,,,,akg_e --> 
EX_ala__L_e,0.0,,,,ala__L_e --> 
EX_arg__L_e,0.0,,,,arg__L_e --> 
EX_asp__L_e,0.0,,,,asp__L_e --> 
EX_cytd_e,0.0,,,,cytd_e --> 
EX_dcyt_e,0.0,,,,dcyt_e --> 
EX_fum_e,0.0,,,,fum_e --> 
EX_glu__L_e,0.0,,,,glu__L_e --> 
EX_gua_e,0.0,,,,gua_e --> 
HCO3E_num1,0.0,12149915296.0,100.3871,121030643.33963227,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,24617.81365,57.3292,429.41142820761496,h2o_c + imp_c --> fprica_c
IMPD,0.0,29421.28236,208.0898,141.38743158001978,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4_num1,0.23033839414521073,4002840.0,77.0722,51936.23641209152,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.0023093385138532986,3869.752313,53.8157,71.90749749608386,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,0.00014433365711583117,3596400.0,23.0153,156261.26967712786,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,526466.952,24.3531,21618.06718651835,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,5767.38,24.3531,236.82323810931663,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,526466.952,24.3531,21618.06718651835,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,526466.952,24.3531,21618.06718651835,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.1574259495648852,52075.78877,67.8824,767.1471363711361,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT_num1,0.0,29510.152,67.8824,434.7246414387234,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5_num1,0.0,664696.5401,23.586,28181.825663529213,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,220052.0861,77.6548,2833.721625707619,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.2141024758100061,238272.5318,52.7005,4521.257517480859,h_c + orot5p_c --> co2_c + ump_c
CS,0.6959031096936523,170131.6815,288.0899,590.5506631784037,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,0.6959031096936523,474083.1216,91.5134,5180.477630598361,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD_num1,0.0,39708.0,33.4425,1187.351424086118,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
ACS,0.0,2071300.0,72.0936,28730.705638225863,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA_num1,0.0,370525.8463,116.2719,3186.7187712594355,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,96962.89655,59.6435,1625.707689018921,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,472238.3999,252.7893,1868.110714733575,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR_num1,0.02697809639417971,152416.8,77.6892,1961.878871194452,ala__L_c --> ala__D_c
ALATA_L_num1,0.0,161428.4527,91.0347,1773.2628624030176,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK_num1,0.0,2569370.4,122.1788,21029.592695295745,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.0,60150.85715,64.581,931.4017613539586,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,11826000.0,224.9231,52577.96998174042,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,292975.7143,44.37,6603.013619562767,r1p_c --> r5p_c
ASPTA_num1,0.0,553694.2355,87.1467,6353.588093410306,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP_num1,0.0,600801.2399,68.6469,8752.052021285741,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,273324.5143,194.7906,1403.170965642079,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
