,fluxes,reduced_costs
EX_acgam_e,0.0,24163.949903478475
EX_cellb_e,0.0,8346.819379610719
EX_chol_e,-0.0,-2.0
EX_pi_e,-0.5241552398254392,2.0
EX_h_e,7.28865299054852,-2.0
EX_ade_e,0.0,201790.27935552853
EX_4abut_e,0.0,39526.40494754866
EX_ac_e,0.22165614233378106,-2.0
EX_akg_e,0.0,23795.682658961712
EX_ala__L_e,0.0,5135.76669762918
EX_arg__L_e,0.0,139517.0816205799
EX_asp__L_e,0.0,15302.042093189408
EX_cytd_e,0.0,104785.46395633215
EX_dcyt_e,0.0,47769.21277382242
EX_fum_e,0.0,13296.247192072291
EX_glu__L_e,0.0,26853.372135758917
EX_gua_e,0.0,188841.0100441615
EX_met__L_e,0.0,301226.17051558493
EX_metsox_S__L_e,0.0,296312.5112013076
EX_crn_e,-0.0,-2.0
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,2485.9564223312072
EX_gln__L_e,0.0,31910.40020307683
EX_glyc_e,0.0,5957.069038013232
EX_man_e,0.0,1037.1275854138883
EX_mn2_e,-0.0003754810468931226,2.0
EX_rib__D_e,0.0,3195.3442507680284
EX_sbt__D_e,0.0,3470.4247049503506
EX_ura_e,0.0,31404.427969887194
EX_val__L_e,0.0,135538.0983128167
EX_xan_e,0.0,163881.27414215304
EX_co2_e,28.720527541114933,-2.0
EX_hxan_e,0.0,164903.7843918691
EX_ile__L_e,0.0,130709.24476875585
EX_lac__L_e,0.0,680.7877360062873
EX_leu__L_e,0.0,203492.52392579464
EX_no3_e,0.0,74.39817972206045
EX_orn_e,0.0,112995.55743609877
EX_pro__L_e,0.0,38749.75803424703
EX_pyr_e,2.0741319049561167,-2.0
EX_succ_e,0.0,12475.928851280274
EX_thymd_e,0.0,57805.44848578291
EX_tyr__L_e,0.0,54161.99892992195
EX_btn_e,0.0,1738936.7210099776
EX_ptrc_e,0.0,29695.75485132019
EX_spmd_e,-0.0,-2.0
EX_thym_e,-0.0,-2.0
EX_xtsn_e,0.0,171348.51119135792
EX_fe2_e,-0.008727353247685156,2.0
EX_glc__D_e,-10.0,3604.021975343414
EX_alltn_e,0.0,160297.46798936327
EX_dgsn_e,0.0,204271.1274333944
EX_arab__L_e,-0.0,-2.0
EX_fru_e,0.0,2319.0818051898946
EX_gal_e,0.0,2341.8158031949747
EX_xyl__D_e,0.0,40643.68634427594
EX_duri_e,0.0,45714.209459340906
EX_for_e,0.0,4719.988354959687
EX_gly_e,0.0,42184.31291197305
EX_h2_e,0.0,1869.7204341883353
EX_lys__L_e,0.0,63724.684382253865
EX_ser__L_e,0.0,50891.75386671777
EX_thm_e,0.0,1962931.621685736
EX_trp__L_e,0.0,199861.1673977752
EX_din_e,0.0,181772.1099362329
EX_fmn_e,0.0,6066918.669728969
EX_gthox_e,0.0,586333.3371346787
EX_acald_e,0.0,5556.131568340859
EX_melib_e,0.0,7463.468507311178
EX_sucr_e,0.0,74.39817972206045
EX_tre_e,0.0,7654.003531499518
EX_zn2_e,-0.0001852952778445077,2.0
DNMPPA,0.00036352651283861796,-1.9999999999888587
HEX4,0.0,5102.534737912001
CMPN,0.0,4004.129729578939
ALDD4,0.0,-2.0
URIC,0.0,-1.999999999998181
EX_tmao_e,-0.0,-2.0
EX_26dap__M_e,0.0,53827.43650179132
EX_acnam_e,0.0,14484.24618166661
EX_amp_e,0.0,213155.14824240824
EX_dha_e,0.7700623378568032,-2.0
EX_fuc__L_e,0.0,3044234.656800874
EX_glyald_e,0.0,10561.2868677181
EX_rmn_e,0.0,74.39817972206045
EX_ttdca_e,0.0,210665.798851828
EX_glyclt_e,0.0,5778.424475071359
EX_g6p_e,0.0,10713.50089183625
EX_2ddglcn_e,0.0,16386.86254823375
EX_galct__D_e,-0.0,-2.0
EX_idon__L_e,0.0,1600.8947960445234
EX_indole_e,0.0,183066.4210985852
EX_3hcinnm_e,0.0,818.318340792017
EX_acmana_e,0.0,22273.209191617058
EX_galur_e,0.0,14464.887210102213
EX_but_e,0.0,9705.57484885092
EX_cbl1_e,-0.0,-2.0
EX_gbbtn_e,0.0,74.39817972206045
EX_tma_e,-0.0,-2.0
EX_malttr_e,0.0,10504.524298079374
EX_hdcea_e,0.0,501764.39523118176
AOBUTDs,0.0,-2.0
NADN,0.0,-1.999999999992724
EX_nmn_e,0.0,119811.50763332227
EX_urea_e,-0.0,-2.0
EX_f6p_e,0.0,10499.365991005792
EX_lac__D_e,0.0,467.60344717515767
EX_ttdcea_e,0.0,203963.187478177
EX_h2s_e,0.0,176265.20764586556
EX_gthrd_e,0.0,292486.6720010091
EX_met__D_e,0.0,-2.0
EX_tartr__L_e,0.0,9436.391066440225
EX_taur_e,0.0,149638.7083169905
EX_maltpt_e,0.0,24268.634736538603
EX_glcur_e,0.0,20.623861326317723
EX_mmet_e,0.0,312269.9854163554
DM_amob_c,1.0867758231349425e-06,-2.0
EX_mg2_e,-0.004713890132847814,2.0
G5SADs,0.12011861479154735,-2.0
H2SO,0.0,176779.8662159557
EX_acac_e,0.0,5794.6848137513225
EX_adn_e,0.0,213361.97430862082
EX_ins_e,0.0,175541.0070925813
EX_glyc3p_e,0.0,29496.106943994833
EX_lcts_e,0.0,9173.099778182714
EX_nac_e,0.0,107627.58482762775
EX_ocdca_e,-0.0,-2.0
FTHFLi,0.0,2671.352535605256
EX_dad_2_e,0.0,214929.15994998603
EX_ser__D_e,0.0,49729.162515074575
EX_gam6p_e,0.0,31522.53095766428
EX_15dap_e,-0.0,-2.0
EX_ocdcea_e,-0.0,-2.0
EX_cynt_e,0.0,986.8110959828326
EX_galctn__D_e,-0.0,-2.0
EX_glyb_e,-0.0,-2.0
NMNt7pp,0.0,-2.0
PYRt2rpp,-2.0741319049561167,2.0
XANtpp,0.0,2.0
EX_ca2_e,-0.002828334079708688,2.0
EX_so3_e,0.0,393315.9091800882
EX_ascb__L_e,-0.0,-2.0
EX_ala_B_e,0.0,14201.560789970583
EX_agm_e,0.0,211674.40445718143
EX_minohp_e,-0.0,-2.0
EX_ppt_e,0.0,1244.4835462820156
EX_hxa_e,0.0,29058.472167521853
EX_lyx__L_e,-0.0,-2.0
EX_acmum_e,0.0,17912.959269874453
EX_dca_e,0.0,182795.87484753013
EX_all__D_e,-0.0,-2.0
EX_octa_e,0.0,115580.96052395944
EX_xylu__L_e,0.0,972.27705538836
EX_gdp_e,0.0,74.39817972206045
EX_gtp_e,0.0,-2.0
EX_fruur_e,0.0,777.2956175978313
EX_ch4_e,-0.0,-2.0
DAPabcpp,0.0,-2.000000000007276
DHAtpp,-0.7700623378568032,2.0
EX_fad_e,0.0,6914696.548417498
EX_fe3dcit_e,0.0,47699.64725643713
EX_fe3hox_e,0.0,2.0
EX_fecrm_e,-0.0,-2.0
EX_feenter_e,0.0,2.0
EX_feoxam_e,-0.0,-2.0
EX_cbi_e,-0.0,-2.0
EX_arbtn_fe3_e,0.0,2.0
EX_cpgn_e,0.0,2.0
EX_adocbl_e,-0.0,-2.0
NACtpp,0.0,-2.0
EX_ppa_e,-0.0,-2.0
EX_ni2_e,-0.0001755142954362932,2.0
EX_no_e,0.0,1160.8192282386826
EX_meoh_e,1.0867758231349425e-06,-2.0
EX_cu2_e,-0.0003852620293013371,2.0
EX_pheme_e,-0.0,-2.0
EX_mal__D_e,0.0,518.4831402852402
EX_cobalt2_e,-1.3584697789186781e-05,2.0
DATPHs,0.0,-1.9999999999970441
EX_mso3_e,-0.0,-2.0
EX_23camp_e,0.0,205769.91758155767
EX_23cgmp_e,0.0,192396.03954903202
EX_23cump_e,0.0,36208.23382223826
EX_3amp_e,0.0,211701.64978100525
EX_3gmp_e,0.0,198174.9753890355
EX_3ump_e,0.0,41987.16966224176
EX_glyc__R_e,0.0,4605.661437363634
EX_eca4colipa_e,-0.0,-2.0
EX_sel_e,0.0,2.0
EX_hg2_e,0.0,74.39817972206045
DHBSH,0.0,-2.0
FEOXAMUtex,0.0,-2.0
ARBTNtpp,0.0,-2.0
ARBTNtex,0.0,10247.526513509714
FE3HOXUtpp,0.0,11394.202070307401
FEOXAMUtpp,0.0,11505.230976243582
FECRMUtpp,0.0,-2.0
FE3HOXR2,0.0,146.3010016631888
METSOX1abcpp,0.0,-2.0
FE3HOXR3,0.0,-1.9999999990686774
FEENTERR1,0.0,367.3752727974206
FEENTERR3,0.0,367.3752727982719
EX_sulfac_e,0.0,163896.1186253052
EX_butso3_e,0.0,4508.626350086923
EX_ethso3_e,0.0,163025.00863312703
PACALDt2rpp,0.0,-2.0
LIPOt2pp,0.0,-2.0
PHEMEtiex,0.0,-2.0
METSOX2abcpp,0.0,-2.0
EX_tym_e,-0.0,-2.0
EX_imp_e,0.0,175334.18102636875
FEENTERR2,0.0,515.6762744606604
FE3HOXR1,0.0,-2.0
FEENTERexs,0.0,-2.0
FE3HOXexs,0.0,-2.0
FECRMR3,0.0,-1.9999999991996447
GUR1PPpp,0.0,-1.999999999999993
ACGAL1PPpp,0.0,20.62386132631773
FECRMR1,0.0,-2.0000000001309672
FECRMR2,0.0,146.3010016631888
FECRMexs,0.0,2.0
ARBTNR1,0.0,-1.999999999818101
ARBTNR2,0.0,146.30100166286866
ARBTNR3,0.0,-1.9999999993524398
ARBTNexs,0.0,-2.0
FEOXAMexs,0.0,2.0
CPGNR1,0.0,-2.000000000167347
CPGNR2,0.0,146.30100166315242
CPGNR3,0.0,-1.9999999992360245
CPGNUtpp,0.0,-2.0
CPGNUtex,0.0,11386.947268319742
CPGNexs,0.0,-2.0
GUACYC,0.0,-1.9999999999972715
ATPHs,0.0,62802.309328186355
GTPHs,0.0,-2.0
EX_cd2_e,0.0,1001.4839395697442
R1PK,0.6389693018242584,-2.0
EX_fe3hox_un_e,-0.0,-2.0
EX_23dappa_e,0.0,1637.4261954755611
ARBTNtonex,0.0,-2.0
EX_enter_e,-0.0,-2.0
EX_fecrm_un_e,-0.0,-2.0
EX_cgly_e,0.0,269582.55497894215
EX_chtbs_e,0.0,-2.0
EX_gmp_e,0.0,199781.2702098826
EX_h2o2_e,-0.0,-2.0
EX_ump_e,0.0,43593.464483088836
EX_pydam_e,0.0,150742.0978285298
EX_etha_e,0.0,34926.38507764829
EX_frulys_e,0.0,71188.82627914147
METOX1s,0.0,-2.000000000029104
METOX2s,0.0,960.251853129972
O16GLCT2,0.0,-1.999999999992724
EX_enlipa_e,0.0,2238353.6568810986
EX_hacolipa_e,-0.0,-2.0
EX_h2o_e,45.14403172299224,-2.0
EX_ala__D_e,0.0,5692.727860405753
EX_hdca_e,0.0,37313.22636440558
EX_glcr_e,0.0,4754.323296397274
HYPOE,0.0,-2.0
ATPM,6.86,6088.308189545244
NADPPPS,0.0,16913.793015175277
EX_mnl_e,0.0,3838.518041843521
EX_asn__L_e,0.0,59424.793169424716
EX_mal__L_e,0.0,12343.803613575421
NMNN,0.0,206.24801787089382
EX_no2_e,-0.0,-2.0
OMCDC,0.2448130991864044,-2.0
EX_nh4_e,-5.868543256956111,2.0
EX_ddca_e,0.0,206662.59751033733
EX_r5p_e,0.0,2568.1073628617087
EX_glyc2p_e,0.0,5177.035790662791
EX_malt_e,-0.0,-2.0
EX_pnto__R_e,0.0,489956.2496550079
EX_cit_e,0.0,23847.823628218564
EX_gam_e,0.0,21903.448334793975
EX_inost_e,-0.0,-2.0
EX_mobd_e,-3.8037153809722985e-06,2.0
EX_so4_e,-0.13683594389092046,2.0
EX_phe__L_e,0.0,55352.216181820004
EX_thr__L_e,0.0,40265.11482234868
EX_uri_e,0.0,43800.290549301404
H2St1pp,0.0,-2.0
EX_halipa_e,-0.0,-2.0
EX_cmp_e,0.0,104396.42036474253
EX_malthx_e,0.0,33033.62275543441
EX_csn_e,0.0,95971.27026343398
EX_etoh_e,0.0,6053.9592965521315
EX_his__L_e,0.0,165906.12868774403
EX_k_e,-0.10606551662258942,2.0
EX_na1_e,0.0,2.0
EX_dmso_e,0.0,74.39817972206045
EX_12ppd__S_e,0.0,2368.8513880751025
EX_pppn_e,0.0,1399.9760232676174
EX_acgam1p_e,0.0,24446.918761040404
EX_galt_e,0.0,17584.526341859986
FECRMUtex,0.0,11390.202070307401
EX_glcur1p_e,-0.0,-2.0
EX_thrp_e,0.0,39637.87793444236
EX_pydxn_e,0.0,95132.08715396051
EX_cys__L_e,0.0,227420.556392889
EX_gsn_e,0.0,200323.11016091632
EX_orot_e,0.0,25343.038944563927
EX_o2_e,-28.59799255085577,2.0
EX_gal_bD_e,0.0,2181.1015228984884
EX_dump_e,0.0,45557.067082245696
EX_o2s_e,0.0,153.6525434108279
EX_gal1p_e,0.0,1621.1681014124674
EX_dcmp_e,0.0,47459.27403728309
EX_23ccmp_e,0.0,97011.18970389196
EX_3cmp_e,0.0,102790.12554389545
EX_skm_e,0.0,20719.176012529835
EX_ag_e,0.0,6563.851392617236
EX_cys__D_e,0.0,172377.8345116357
EX_acser_e,-0.0,-2.0
EX_cu_e,0.0,78.18720534869445
EX_arbtn_e,-0.0,-2.0
EX_dopa_e,0.0,-2.0
EX_hom__L_e,-0.0,-2.0
EX_LalaDgluMdapDala_e,0.0,118429.34708071958
EX_LalaDgluMdap_e,0.0,111322.55747125663
EX_anhgm_e,0.0,43954.71684925896
EX_fald_e,0.0,2509.4570422396228
EX_g3pe_e,0.0,71599.28881680871
EX_pacald_e,0.0,31391.666173800113
CYSDabcpp,0.0,-2.0
EX_acgal_e,-0.0,-2.0
EX_so2_e,-0.0,-2.0
EX_dms_e,0.0,74.39817972206045
EX_acgal1p_e,-0.0,-2.0
EX_cyan_e,-0.0,-2.0
EX_tyrp_e,0.0,53647.25695672903
EX_uacgam_e,0.0,67715.75099285862
EX_udpacgal_e,0.0,43419.62859126234
EX_udpg_e,0.0,46279.40659670818
EX_udpgal_e,0.0,45042.796692674805
EX_udpglcur_e,0.0,43098.15307038065
EX_14glucan_e,0.0,31323.85954144546
EX_pser__L_e,0.0,50532.7654897372
EX_aso3_e,0.0,-2.0
EX_tcynt_e,0.0,74.39817972206045
EX_fe3dhbzs_e,0.0,76.39817972206045
EX_feoxam_un_e,-0.0,-2.0
EX_g3pc_e,0.0,22443.478058929853
EX_g3pg_e,0.0,3049.030893740024
EX_g3pi_e,0.0,28614.212097498363
EX_g3ps_e,0.0,47449.9505864026
EX_peamn_e,0.0,27080.68821901158
EX_34dhpac_e,-0.0,-2.0
EX_xmp_e,0.0,170959.4675997683
EX_damp_e,0.0,214619.2212134467
EX_dimp_e,0.0,181588.39124241294
EX_isetac_e,-0.0,-2.0
LALDO3,0.0,1492.5958097856565
12DGR141tipp,0.0,-2.0
CLPNH141pp,0.0,-1.9999999999708962
CLPNH160pp,0.0,-2.0
CLPNH161pp,0.0,404.3661148970714
CLPNH181pp,0.0,-2.0
FE3HOXUtex,0.0,-2.0
ACGAM1PPpp,0.0,-2.0
EX_dgmp_e,0.0,203778.971171478
EX_4hoxpacd_e,-0.0,-2.0
EX_manglyc_e,0.0,8022.85554748788
