,fluxes,reduced_costs
ALATA_D2,0.0,65542.5345534531
SHCHD2,0.0001306067973279868,-2.0000000001164153
CPPPGO,0.0001306067973279868,-2.0
DHORD5,0.0,-1.9999999999951683
GLYCTO2,0.000261213594655918,-2.0
GLYCTO3,0.0,-2.0
GLYCTO4,0.0,724.6848954306452
PFK_3,0.0,-1.999999999989086
TRPS2,0.0,35018.89904936777
G3PD5,0.0,952.2103556375675
EX_acgam_e,0.0,93944.11824781893
EX_cellb_e,0.0,7316.949936375411
EX_chol_e,-0.0,-2.0
LEUTAi,0.2638673139326243,-2.0
G5SD,0.12946764835577634,-1.9999999999895977
ALATA_L2,0.0,64220.971118177215
APRAUR,0.0002612135946560013,-1.999999999985448
DB4PS,0.0005224271893120026,-2.0
RBFK,0.0001306067973280145,-2.0000000009313226
ACP1_FMN,0.0,18260.593481348864
RBFSb,0.0002612135946560013,-1.9999999995779945
EX_pi_e,-0.564951122615958,2.0
EX_h_e,7.077624298287712,-2.0
DMATT,0.00016281923613085947,-2.0000000000022737
GRTT,0.00016281923613085947,-2.0
UPP3S,0.0002612135946559736,-2.0
UPPDC1,0.0001306067973279868,-2.0
EX_ade_e,0.0,176519.08561341604
EX_4abut_e,0.0,33870.68601999004
EX_ac_e,0.15002987153466796,-2.0
EX_akg_e,0.0,20984.64355177163
EX_ala__L_e,0.0,4124.453708064166
EX_arg__L_e,0.0,121538.06095945335
EX_asp__L_e,0.0,12942.22160449064
EX_cytd_e,0.0,91668.31885681904
EX_dcyt_e,0.0,45815.063625130664
EX_fum_e,0.0,11637.189378947533
EX_glu__L_e,0.0,23656.61569578784
EX_gua_e,0.0,165181.0010601048
IMPD,0.0,3156.372392686906
GLUTRS,0.002089708757247789,-2.0
TMPPP,0.0001306067973279868,-2.0000000001164153
URIK1,0.0,-2.000000000007276
URIK2,0.0,10903.570931307939
CYTDK1,0.0,-2.000000000007276
CYTDK2,0.0,91.86141941086584
XPPT,0.14245394663897565,-2.0
HXPRT,0.0,17219.23705966838
OMPDC,0.193740248978078,-2.0
