,MW
ALATA_D2_num1,90.6321
ALATA_D2_num2,145.9772
SHCHD2,99.9016
CPPPGO,68.6444
GTHOr,97.5439
DHORD5,36.7741
GLYCTO2,137.2813
GLYCTO3,137.2813
GLYCTO4,137.2813
PFK_3,139.3667
TRPS2,143.4127
G3PD5_num1,148.4219
G3PD5_num2,113.4997
LEUTAi_num1,204.5595
LEUTAi_num2,87.0746
SHK3Dr,29.4133
SHK3Dr_reverse,62.4549
G5SD,178.5182
ALATA_L2_num1,145.9772
ALATA_L2_num2,90.6321
MAN6PI,42.8494
APRAUR,80.6757
DB4PS,46.7065
RBFK,34.7338
ACP1_FMN_num1,30.3706
ACP1_FMN_num2,27.1215
ACP1_FMN_num3,30.1958
RBFSb,70.3339
DMATT,32.1593
GRTT,32.1593
UPP3S,27.7976
UPPDC1,39.2477
TMDPP,94.4132
HCO3E_num1,100.3859
HCO3E_num2,47.528
IMPC,57.3286
IMPD,208.0874
ECOAH4_num1,77.0713
ECOAH4_num2,159.1859
GLUTRS,53.8151
TMPPP,23.015
URIK1,24.3528
URIK2,24.3528
CYTDK1,24.3528
CYTDK2,24.3528
XPPT,67.8815
HXPRT_num1,67.8815
HXPRT_num2,80.4601
NDPK5_num1,23.5857
NDPK5_num2,61.853
DHORTS,77.6539
OMPDC,52.6999
CS,288.0868
ICDHyr,91.5124
ACALD_num1,33.4421
ACALD_num2,3845.0436
ACS,72.0927
PPA_num1,116.2706
PPA_num2,26.9001
PPA_num3,118.2199
PPCK,59.6427
ME1,252.7864
ALAR_num1,77.6884
ALAR_num2,78.305
ALATA_L_num1,91.0337
ALATA_L_num2,92.4313
XYLK_num1,122.1774
XYLK_num2,105.2353
RBK,64.5802
GLYK,224.9204
PPM,44.3694
ASPTA_num1,87.1457
ASPTA_num2,87.0746
FBP_num1,68.6461
FBP_num2,147.334
FBP_num3,71.7038
FBP_num4,29.7208
GLGC,194.7884
PYK_num1,205.4264
PYK_num2,202.9155
A5PISO_num1,140.7829
A5PISO_num2,136.1243
IPPMIb,72.3685
ACHBS_num1,143.0911
ACHBS_num2,161.9203
ACLS_num1,161.9203
ACLS_num2,143.0911
PSCVT,46.0953
ANS,228.7262
ANPRT,113.7385
CHORM_num1,86.2217
CHORM_num2,84.084
CHORS,156.548
IGPS,49.4917
ECOAH6_num1,77.0713
ECOAH6_num2,159.1859
ENO,91.3088
FBA_num1,78.2936
FBA_num2,381.0875
MGSA,101.5103
PPS,174.8682
PGI,123.058
PGK,41.1177
EDA,66.8513
PGL,36.3072
RPE,24.554
TALA_num1,70.4376
TALA_num2,35.6584
TKT1_num1,144.4218
TKT1_num2,73.0418
G6PDA,178.6432
ALCD2x_num1,3845.0436
ALCD2x_num2,141.5167
ALDD2y_num1,29.4098
ALDD2y_num2,84.193
ALDD2y_num3,225.2228
ALDD2y_num4,31.4876
ALDD2y_num5,36.5014
RMI,188.7955
FMNAT,34.7338
NADDP_num1,59.3772
NADDP_num2,73.6052
NMNAT_num1,189.381
NMNAT_num2,24.5276
HMPK1_num1,114.5331
HMPK1_num2,61.694
NDPK6_num1,23.5857
NDPK6_num2,61.853
NDPK8_num1,23.5857
NDPK8_num2,61.853
PYNP2r,162.9527
DURIPP_num1,94.4132
DURIPP_num2,155.6978
PTRCTA,99.3216
CYSDS_num1,172.8475
CYSDS_num2,211.0914
TRPAS2,211.0914
NDP3_num1,17.4327
NDP3_num2,35.3523
CDPPH,35.3523
NDP7,35.3523
PMDPHT_num1,30.1958
PMDPHT_num2,27.1215
ILETA,204.5595
VALTA,204.5595
ORPT,47.1334
RBFSa,969.3782
DHAD2,131.0617
G1PP_num1,22.7315
G1PP_num2,23.0072
G1PP_num3,29.7208
