,kcat_ori,kcat_change,MW,kcat_mw_new,norm_biomass,new_biomass
CS,170131.6815,170131.6815,288.0899,590.5506631784037,0.8769972144269698,0.8769972144269698
ACONTa,629173.8173,629173.8173,186.9962,3364.63424016103,0.8769972144269698,0.8769972144269698
ACONTb,629173.8173,629173.8173,186.9962,3364.63424016103,0.8769972144269698,0.8769972144269698
ICDHyr,474083.1216,474083.1216,91.5134,5180.4776305983605,0.8769972144269698,0.8769972144269698
MALS,504108.0,504108.0,60.2736,8363.66170263598,0.8769972144269698,0.8769972144269698
MDH,1763891.425,1763891.425,64.6746,27273.325617785034,0.8769972144269698,0.8769972144269698
ICL,347321.4546,347321.4546,190.0863,1827.1777324299542,0.8769972144269698,0.8769972144269698
SUCOAS_reverse,257454.3883,257454.3883,142.3403,1808.7245024775132,0.8769972144269698,0.8769972144269698
SUCDi,424713.7397,424713.7397,355.0752,1196.123355559611,0.8769972144269698,0.8769972144269698
AKGDH,995584.1454,995584.1454,2418.391,411.6721181148954,0.8769972144269698,0.8769972144269698
