,biomass,biomass_diff,biomass_diff_ratio
CHORS,0.3020696704628551,0.5749275439641146,0.6555637059118511
KARA1_reverse,0.3046998020311406,0.5722974123958291,0.652564686616215
ATPS4rpp,0.3564263413705955,0.5205708730563743,0.5935832685586299
PDH,0.8613463646768198,0.015650849750149964,0.01784595149526927
PSERT,0.8660102767181238,0.010986937708845956,0.012527904910193842
AKGDH,0.8762577626611239,0.0007394517658458888,0.0008431631864749385
AACPS3,0.8765057667574192,0.0004914476695505599,0.0005603754053787639
CS,0.8767797256049567,0.00021748882201311215,0.0002479926029813212
ACKr,0.8769972144265696,4.001243780749064e-13,4.562436134262386e-13
HMBS,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
MEPCT,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
PSP_Lpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GPDDA4pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ZNabcpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ARABDI,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
TDP,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
CBLAT,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
MG2uabcpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
HCYSMT2,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ACGK,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GLBRAN2,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ASR,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
FALDH2,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
CBIAT,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
PPA2,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
3NTD7pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
PAPSR2,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
3NTD2pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
3NTD9pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
23PDE7pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
HSTPT,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GNK,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
3NTD4pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
PPGPPDP,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
GRXR,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
FACOAE140,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ALLK,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ALLPI,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
ARGDCpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
PEAMNOpp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD9pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD7pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD6pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD5pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
NTD4pp,0.8769972144266818,2.879918525877656e-13,3.2838399923076105e-13
