,biomass,biomass_diff,biomass_diff_ratio
KARA1_reverse,0.310947331590225,0.5660498828367448,0.6454409130667559
ATPS4rpp,0.3619503461278482,0.5150468682991216,0.5872844974036244
PDH,0.861491441177269,0.015505773249700816,0.0176805273661357
PSERT,0.8685165077631123,0.008480706663857474,0.009670163740940466
AKGDH,0.8759800635066133,0.00101715092035648,0.001159810890643577
CS,0.8760667783163701,0.0009304361105996195,0.0010609339406027268
AACPS3,0.8765057667574375,0.0004914476695322412,0.0005603754053578758
ATPS4rpp_reverse,0.8769972144265891,3.806954751439662e-13,4.340897198775172e-13
DTMPK_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
DDPGALA_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
UMPK_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
PGMT_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
NDPK1_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
NDPK2_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
DGK1_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
NDPK4_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
NDPK3_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
DAPE_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
GLYAT_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
MCOATA_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
GK1_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
SDPTA_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
M1PD_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
FCI_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
NDPK7_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
UAGAAT_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
PRPPS_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
PRMICI_reverse,0.8769972144266888,2.809974475326271e-13,3.2040859755322135e-13
