,MW,kcat,kcat_MW,source
ALATA_D2_num1,90.6321,4681.349382315276,51.65222236178215,
ALATA_D2_num2,145.9772,4681.349382315276,32.06904490780256,
CPPPGO,68.6444,2750.76465,40.07267380878847,
GTHOr,97.5439,1168424.7273818182,11978.449983872062,
DHORD5,36.7741,159865.3806390936,4347.227549799822,
GLYCTO2,137.2813,387265.32,2820.9619227090657,
GLYCTO3,137.2813,387265.32,2820.9619227090657,
GLYCTO4,137.2813,387265.32,2820.9619227090657,
PFK_3,139.3667,375752.2009318254,2696.1404763966243,
TRPS2,143.4127,101953.3495178584,710.9087934182844,
G3PD5_num1,148.4219,387265.32,2609.219528923966,
G3PD5_num2,113.4997,387265.32,3412.038269704677,
LEUTAi_num1,204.5595,65684.65039626334,321.1029084264644,
LEUTAi_num2,87.0746,65684.65039626334,754.3491488478081,
SHK3Dr,29.4133,353525.89090909093,12019.252885908447,
SHK3Dr_reverse,62.4549,387265.32,6200.719559233943,
ALATA_L2_num1,145.9772,4681.349382315276,32.06904490780256,
ALATA_L2_num2,90.6321,4681.349382315276,51.65222236178215,
MAN6PI,42.8494,61907781.6,1444775.9268507843,
RBFK,34.7338,7219.5,207.85229373117824,
ACP1_FMN_num1,30.3706,146713.84615384616,4830.78523815289,
ACP1_FMN_num2,27.1215,146713.84615384616,5409.503388597465,
ACP1_FMN_num3,30.1958,146713.84615384616,4858.75009616722,
RBFSb,70.3339,2112.798,30.03953996579175,
DMATT,32.1593,2158.457142857143,67.11766558529392,
GRTT,32.1593,28417.542857999997,883.649297652623,
UPP3S,27.7976,1029909.6,37050.30650128069,
UPPDC1,39.2477,1199329.2,30557.948618645165,
TMDPP,94.4132,518696.0,5493.892803124986,
HCO3E_num1,100.3859,12149915294.11765,121032090.1054595,
HCO3E_num2,47.528,12149915294.11765,255636999.11878568,
IMPC,57.3286,24617.813649907985,429.41592241757144,
IMPD,208.0874,29421.282357244232,141.3890622750067,
ECOAH4_num1,77.0713,4002840.0000000005,51936.84289742097,
ECOAH4_num2,159.1859,4002840.0000000005,25145.694436504746,
GLUTRS,53.8151,3869.7523122403272,71.90829919930144,
TMPPP,23.015,3596400.0,156263.30653921355,
URIK1,24.3528,526466.952,21618.333497585496,
URIK2,24.3528,5767.380000000001,236.82615551394505,
CYTDK1,24.3528,526466.952,21618.333497585496,
CYTDK2,24.3528,526466.952,21618.333497585496,
XPPT,67.8815,52075.78875,767.1573072191983,
HXPRT_num1,67.8815,29510.152,434.7304051913997,
HXPRT_num2,80.4601,29510.152,366.7675282531342,
NDPK5_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK5_num2,61.853,664696.5400810477,10746.391283867357,
DHORTS,77.6539,220052.08611007212,2833.754468353452,
OMPDC,52.6999,238272.53185245665,4521.308993991574,
CS,288.0868,176931.2310722343,614.1594514994589,
ICDHyr,91.5124,474083.12155742594,5180.534239703317,
ACALD_num1,33.4421,39708.0,1187.3656259624845,
ACALD_num2,3845.0436,39708.0,10.327061050751157,
ACS,72.0927,2071300.0,28731.064310256104,
PPA_num1,116.2706,370525.8461538462,3186.7544001135816,
PPA_num2,26.9001,370525.8461538462,13774.14381931094,
PPA_num3,118.2199,370525.8461538462,3134.2087597252757,
PPCK,59.6427,96962.89655172412,1625.7294950048224,
ME1,252.7864,472238.4,1868.1321463496454,
ALAR_num1,77.6884,152416.80000000002,1961.8990737355898,
ALAR_num2,78.305,152416.80000000002,1946.4504182363833,
ALATA_L_num1,91.0337,161428.45274364616,1773.2823420738268,
ALATA_L_num2,92.4313,161428.45274364616,1746.4695697631228,
XYLK_num1,122.1774,2569370.4000000004,21029.833668092462,
XYLK_num2,105.2353,2569370.4000000004,24415.48035687645,
RBK,64.5802,60150.857142857145,931.4132991668829,
GLYK,224.9204,11826000.0,52578.60114067022,
PPM,44.3694,292975.71428571426,6603.102910693277,
ASPTA_num1,87.1457,553694.2353617613,6353.6609994728515,
ASPTA_num2,87.0746,553694.2353617613,6358.849025568436,
FBP_num1,68.6461,600801.2397011027,8752.154014592274,
FBP_num2,147.334,600801.2397011027,4077.818016894286,
FBP_num3,71.7038,600801.2397011027,8378.931656357163,
FBP_num4,29.7208,600801.2397011027,20214.84077484801,
GLGC,194.7884,273324.5142857143,1403.1868134124738,
PYK_num1,205.4264,9171089.865414573,44644.163872874036,
PYK_num2,202.9155,9171089.865414573,45196.59594961732,
A5PISO_num1,140.7829,424938.4615384615,3018.3954268484417,
A5PISO_num2,136.1243,424938.4615384615,3121.694374468493,
IPPMIb,72.3685,9598.568463020709,132.63461952397398,
ACHBS_num1,143.0911,131391.25714285712,918.235006529806,
ACHBS_num2,161.9203,131391.25714285712,811.4563593499835,
ACLS_num1,161.9203,140584.43076923073,868.2322770476014,
ACLS_num2,143.0911,140584.43076923073,982.4820046056723,
PSCVT,46.0953,66641.84391986982,1445.7405401390124,
ANS,228.7262,30093.410930921582,131.56958376837278,
ANPRT,113.7385,4895.8860803576235,43.04510856357014,
CHORM_num1,86.2217,504308305.0477136,5848971.953089694,
CHORM_num2,84.084,504308305.0477136,5997672.6255615065,
CHORS,156.548,35853.47542559928,229.02544539437923,
IGPS,49.4917,13523.158490745029,273.2409371822958,
ECOAH6_num1,77.0713,4002840.0000000005,51936.84289742097,
ECOAH6_num2,159.1859,4002840.0000000005,25145.694436504746,
ENO,91.3088,230620.3980150204,2525.7192955664773,
FBA_num1,78.2936,37029.58591645844,472.9580184901249,
FBA_num2,381.0875,37029.58591645844,97.16819868523224,
MGSA,101.5103,877072.5,8640.231582410848,
PPS,174.8682,1416119.76,8098.212024827842,
PGI,123.058,4689890.599298852,38111.22071948878,
PGK,41.1177,982517.4172139612,23895.242613618007,
EDA,66.8513,259742.268,3885.3734781522576,
PGL,36.3072,184850.97777079215,5091.3035918713695,
RPE,24.554,4676669.010104302,190464.64975581586,
TALA_num1,70.4376,551472.9063417434,7829.240438938059,
TALA_num2,35.6584,551472.9063417434,15465.441700742136,
TKT1_num1,144.4218,43499085.21245018,301194.73107557296,
TKT1_num2,73.0418,43499085.21245018,595536.8735771871,
