,kcat,MW,kcat_MW,source
HCO3E,12149915296.0,47.5285,255634309.85619155,
HCO3E_reverse,10142154781.0,47.5285,213391013.4130048,
ACACT1r_reverse,1638647607.0,46.5305,35216634.401091754,
ACACT1r,1200988584.0,46.5305,25810781.83127196,
ACACT5r,1200988584.0,46.5305,25810781.83127196,
ACACT2r_reverse,1200988584.0,46.5305,25810781.83127196,
ACACT2r,1200988584.0,46.5305,25810781.83127196,
ACACT4r,1200988584.0,46.5305,25810781.83127196,
ACACT6r,1200988584.0,46.5305,25810781.83127196,
ACACT3r_reverse,1200988584.0,46.5305,25810781.83127196,
ACACT7r,1200988584.0,46.5305,25810781.83127196,
ACACT5r_reverse,1200988584.0,46.5305,25810781.83127196,
ACACT3r,1200988584.0,46.5305,25810781.83127196,
ACACT4r_reverse,1200988584.0,46.5305,25810781.83127196,
ACACT6r_reverse,1200988584.0,46.5305,25810781.83127196,
ACACT7r_reverse,1200988584.0,46.5305,25810781.83127196,
LALDO2x,764378496.0,309.6976,2468144.7192357965,
CHORM,530847524.9,84.085,6313225.009216864,
GLYCLTDx,431185812.1,35.3434,12199896.221076636,
GLYCLTDy,339299496.0,35.3434,9600080.80716626,
SPODM,181871280.0,42.5316,4276144.795869424,
SPODMpp,181871280.0,17.680999999999994,10286255.302301906,
QUINDH,81180237.31,62.4556,1299807.1799806585,
HPYRRy,69938682.34,35.3434,1978832.889308895,
MAN6PI_reverse,61907781.6,42.85,1444755.6966161027,
MAN6PI,61907781.6,42.85,1444755.6966161027,
GTHPi,55713829.86,20.4696,2721784.0045726346,
TKT2,44816115.1,73.0427,613560.494067169,
TKT1,44816115.1,73.0427,613560.494067169,
TKT2_reverse,44816115.1,73.0427,613560.494067169,
TKT1_reverse,44816115.1,73.0427,613560.494067169,
TPI,43367760.0,53.9436,803946.3439592463,
TPI_reverse,43367760.0,53.9436,803946.3439592463,
LALGP,23962536.0,105.8308,226423.08288324386,
RPI_reverse,21427852.32,32.1466,666566.6764136797,
RPI,21427852.32,32.1466,666566.6764136797,
ALLPI,21427852.32,32.1466,666566.6764136797,
ALLPI_reverse,21427852.32,32.1466,666566.6764136797,
GLUR_reverse,21087435.6,31.002,680195.9744532611,
GALM2pp,19093275.0,38.1905,499948.28556840046,
CAT,16882933.33,320.0953,52743.45899486809,
NTPTP1,14400000.0,356.2976,40415.65253316329,
GLYK,11826000.0,224.9231,52577.96998174042,
MTHFC,10664400.0,62.0875,171764.0426816992,
MTHFC_reverse,10664400.0,62.0875,171764.0426816992,
CYSDDS,10198224.0,70.3066,145053.57960703547,
PYK,9246683.099,202.9177,45568.63742788333,
HACD1,8698746.686,77.0722,112864.90700927186,
IPDDI_reverse,7745920.456,20.5083,377696.8571749,
IPDDI,7745920.456,20.5083,377696.8571749,
ACKr_reverse,7147440.0,42.4337,168437.8218255773,
DHQS,6943569.232000003,38.881,178585.15038193465,
FALDH2,6786759.139,78.718,86216.1022764806,
FALDH2_reverse,6786759.139,78.718,86216.1022764806,
PTAr_reverse,6554477.6460000025,72.1335,90865.93116929027,
PGI_reverse,6432480.0,123.0595,52271.29965585753,
SERAT,6335188.062999999,175.8998,36015.89122329871,
DXPRIi,6249426.001,86.77600000000002,72017.90818890018,
PPA2,5993539.2,26.9004,222804.83561582727,
PLIPA1A160pp,5803020.0,66.3263,87491.99035676647,
PLIPA1A180pp,5803020.0,66.3263,87491.99035676647,
PLIPA1E180pp,5803020.0,66.3263,87491.99035676647,
PLIPA1E160pp,5803020.0,66.3263,87491.99035676647,
PLIPA1A141pp,5803020.0,66.3263,87491.99035676647,
PLIPA1A140pp,5803020.0,66.3263,87491.99035676647,
PLIPA1A120pp,5803020.0,66.3263,87491.99035676647,
GLUDy_reverse,5621226.353999998,291.4882,19284.576027434385,
PTAr,5578598.999,72.1335,77337.14569513472,
G6PDH2r_reverse,5155319.999,55.7044,92547.80590043156,
RPE,5061641.4,24.5542,206141.57252119802,
RPE_reverse,5032284.368,24.5542,204945.97127986245,
HACD1_reverse,4965491.502,77.0722,64426.492327973,
HACD5,4965491.502,77.0722,64426.492327973,
HACD2_reverse,4965491.502,77.0722,64426.492327973,
HACD3,4965491.502,77.0722,64426.492327973,
HACD2,4965491.502,77.0722,64426.492327973,
HACD4,4965491.502,77.0722,64426.492327973,
