,kcat,MW,kcat_MW,source
ALATA_D2_num1,9300.506998,90.6332,102.61699904670697,
ALATA_D2_num2,9300.506998,145.9788,63.71135396372625,
SHCHD2,1224.0,99.9028,12.251908855407455,
CPPPGO,900.0,68.6453,13.110875762798035,
GTHOr,25901.61614,97.545,265.53504679891336,
DHORD5,38657.17404,36.7745,1051.1950955145549,
GLYCTO2,50485.46818,137.2828,367.7479493425251,
GLYCTO3,57086.12156,137.2828,415.82865122214866,
GLYCTO4,117077.842,137.2828,852.8223637629767,
PFK_3,208800.0,139.3682,1498.1896874609847,
TRPS2,9309.205094,143.4143,64.91127519361736,
G3PD5_num1,60326.17992,148.4235,406.446283236819,
G3PD5_num2,60326.17992,113.5011,531.5030419969498,
LEUTAi_num1,54098.62261000001,204.5619,264.4608923264792,
LEUTAi_num2,54098.62261000001,87.0756,621.2833745618751,
SHK3Dr_reverse,29504.42482,62.4556,472.40639462274004,
G5SD,50400.0,178.5202,282.3209922462556,
ALATA_L2_num1,22488.04715,145.9788,154.0500891225301,
ALATA_L2_num2,22488.04715,90.6332,248.1215178323175,
MAN6PI,39462.13397,42.85,920.936615402567,
APRAUR,1152.0,80.6766,14.279233383657715,
DB4PS,1224.0,46.7069,26.20597813171073,
RBFK,324.0,34.7343,9.327955364006183,
ACP1_FMN_num1,23467.23572,30.3709,772.6881890230452,
ACP1_FMN_num2,23467.23572,27.122,865.2472428287,
ACP1_FMN_num3,23467.23572,30.195999999999998,777.163721022652,
RBFSb,108.0,70.3347,1.5355151866717285,
DMATT,432.0,32.1596,13.433002898045995,
GRTT,432.0,32.1596,13.433002898045995,
UPP3S,3600.0,27.7979,129.50618571906514,
UPPDC1,2916.0,39.2481,74.2965901534087,
TMDPP,30479.00062,94.4142,322.82220915921545,
HCO3E_num1,32760.0,100.3871,326.33675043905043,
HCO3E_num2,32760.0,47.5285,689.2706481374333,
IMPC,17248.07481,57.3292,300.86020404959424,
IMPD,6480.0,208.0898,31.14040188418653,
ECOAH4_num1,41618.87183,77.0722,539.9984927120287,
ECOAH4_num2,41618.87183,159.1878,261.4451096754902,
GLUTRS,324.0,53.8157,6.020547907023415,
TMPPP,72.0,23.0153,3.128353747289846,
URIK1,19423.5383,24.3531,797.5797044318792,
URIK2,9433.623334,24.3531,387.36848015242407,
CYTDK1,9981.4541,24.3531,409.86379968053353,
CYTDK2,9559.089353,24.3531,392.52043284017225,
XPPT,10439.90187,67.8824,153.79394172863658,
HXPRT_num1,17665.84585,67.8824,260.24191616678263,
HXPRT_num2,17665.84585,80.461,219.5578708939735,
NDPK5_num1,9864.913493,23.586,418.25292516747226,
NDPK5_num2,9864.913493,61.8538,159.48758997830367,
DHORTS,37265.83384,77.6548,479.89092548045966,
OMPDC,86400.0,52.7005,1639.4531361182533,
CS,104400.0,288.0899,362.3868799288,
ICDHyr,39600.0,91.5134,432.7235137149314,
ACALD_num1,347838.2822,33.4425,10401.084912910219,
ACALD_num2,347838.2822,3845.0896,90.46298484175766,
ACS,32028.81133,72.0936,444.2670546345307,
PPA_num1,303342.6722,116.2719,2608.907846177795,
PPA_num2,303342.6722,26.9004,11276.511583470876,
PPA_num3,303342.6722,118.2214,2565.886313307066,
PPCK,97061.54587,59.6435,1627.361671766412,
ME1,60940.10038,252.7893,241.07072720245674,
ALAR_num1,113967.7232,77.6892,1466.9699675115714,
ALAR_num2,113967.7232,78.3059,1455.4168102275821,
ALATA_L_num1,63159.7104,91.0347,693.7981934361293,
ALATA_L_num2,63159.7104,92.4324,683.3070481779117,
XYLK_num1,24801.49779,122.1788,202.99346359597573,
XYLK_num2,24801.49779,105.2365,235.67391342357448,
RBK,59351.15383,64.581,919.0188109505893,
GLYK,45670.44197,224.9231,203.0491397726601,
PPM,158919.1397,44.37,3581.679957178274,
ASPTA_num1,13921.64902,87.1467,159.74958340361712,
ASPTA_num2,13921.64902,87.0756,159.88002402510003,
FBP_num1,274394.2568,68.6469,3997.1835115642507,
FBP_num2,274394.2568,147.3357,1862.3745419474026,
FBP_num3,274394.2568,71.7046,3826.731573706568,
FBP_num4,274394.2568,29.721,9232.335951011071,
GLGC,18829.61562,194.7906,96.66593572790472,
PYK_num1,854889.5564,205.4286,4161.492393950988,
PYK_num2,427444.7782,202.9177,2106.4933132989386,
A5PISO_num1,55549.16712000001,140.7843,394.5693313814112,
A5PISO_num2,55549.16712000001,136.1257,408.07259114186377,
IPPMIb,23255.09457,72.3693,321.3392221563564,
ACHBS_num1,67064.87156,143.0927,468.6812923370654,
ACHBS_num2,67064.87156,161.9222,414.1795971151578,
ACLS_num1,241177.3205,161.9222,1489.4642025614774,
ACLS_num2,241177.3205,143.0927,1685.4620850679314,
PSCVT,75600.0,46.0958,1640.0626521288275,
ANS,17526.9833,228.7288,76.62779370153649,
ANPRT,18000.0,113.7399,158.25580996642339,
CHORM_num1,123098.1309,86.2227,1427.6765967662811,
CHORM_num2,123098.1309,84.085,1463.9725385027054,
CHORS,151200.0,156.5498,965.8268487088452,
IGPS,18000.0,49.4923,363.69293809340036,
ECOAH6_num1,36593.98049,77.0722,474.8012965764568,
ECOAH6_num2,36593.98049,159.1878,229.87930287371262,
ENO,1656000.0,91.3099,18136.040013185866,BRENDA and SABIO-RK
FBA_num1,37445.93179,78.2945,478.2702717304537,
FBA_num2,37445.93179,381.0919,98.25958460413351,
MGSA,10091.64245,101.5115,99.4137851376445,
PPS,370888.9427,174.8702,2120.938517254512,
PGI,255600.0,123.0595,2077.044031545716,
PGK,81612.68645,41.1182,1984.8312049165568,
EDA,445680.0,66.8521,6666.656694404514,BRENDA and SABIO-RK
PGL,662400.0,36.3076,18244.114179951303,
RPE,198533.1876,24.5542,8085.508287787832,
TALA_num1,49937.71597,70.4385,708.9548467102505,
TALA_num2,49937.71597,35.6588,1400.4317579391345,
TKT1_num1,182904.1236,144.4235,1266.4429514587307,
TKT1_num2,182904.1236,73.0427,2504.071229568458,
G6PDA,151224.2552,178.6452,846.5061205114945,
ALCD2x_num1,65388.1289,3845.0896,17.005619036809964,
ALCD2x_num2,65388.1289,141.5183,462.0471620984706,
ALDD2y_num1,22093.1682,29.41,751.212791567494,
ALDD2y_num2,22093.1682,84.194,262.4078699194717,
ALDD2y_num3,22093.1682,225.2254,98.09359068737362,
ALDD2y_num4,22093.1682,31.488000000000003,701.6377096036584,
ALDD2y_num5,22093.1682,36.501999999999995,605.2591145690646,
RMI,34888.97517,188.7978,184.79545402541763,
FMNAT,324.0,34.7343,9.327955364006183,
NADDP_num1,10638.00544,59.3779,179.15765697338574,
NADDP_num2,10638.00544,73.6061,144.52613900206643,
NMNAT_num1,9306.715666,189.3833,49.14221932979307,
NMNAT_num2,9306.715666,24.528000000000002,379.43230862687545,
HMPK1_num1,15927.76481,114.5344,139.0653359165456,
HMPK1_num2,15927.76481,61.6948,258.1702965241803,
NDPK6_num1,9855.575546,23.586,417.85701458492326,
NDPK6_num2,9855.575546,61.8538,159.3366219375366,
NDPK8_num1,15171.87038,23.586,643.2574569659969,
NDPK8_num2,15171.87038,61.8538,245.2859869563389,
PYNP2r,44972.73011,162.9545,275.98335799256853,
DURIPP_num1,31920.23239,94.4142,338.08719864172974,
DURIPP_num2,31920.23239,155.6995,205.01178481626462,
PTRCTA,36125.7943,99.3227,363.721428233425,
CYSDS_num1,13182.37802,172.8495,76.26506307510292,
CYSDS_num2,13182.37802,211.0938,62.447963985678406,
TRPAS2,23909.43164,211.0938,113.26449019345905,
NDP3_num1,34101.47047,17.4329,1956.1559161126377,
NDP3_num2,34101.47047,35.353,964.5990572228663,
CDPPH,28855.36431,35.353,816.2069501881027,
NDP7,33721.60938,35.353,953.8542522558197,
PMDPHT_num1,9471.620437,30.195999999999998,313.6713616704198,
PMDPHT_num2,9471.620437,27.122,349.2227872944473,
ILETA,22229.68578,204.5619,108.66972676730124,
VALTA,9473.113026,204.5619,46.309273750390474,
ORPT,11843.91592,47.13399999999999,251.28179063945342,
RBFSa,14400.0,969.3906,14.854693247489712,BRENDA
DHAD2,500400.0,131.0631,3818.008272351257,
G1PP_num1,9921.660322,22.732,436.4622700158368,
G1PP_num2,9921.660322,23.006999999999998,431.24528717346885,
G1PP_num3,9921.660322,29.721,333.8265980956226,
PFL_num1,66265.40938,118.3894,559.7241761509054,
PFL_num2,66265.40938,198.9187,333.1281039942449,
PFL_num3,66265.40938,114.1398,580.5635666086678,
PFL_num4,66265.40938,213.2029,310.8091371177409,
FRD2,39705.41401,121.2166,327.55756233057184,
FRD3,40135.54568,121.2166,331.1060174926537,
POX,11451.84521,248.0455,46.1683248033123,
PTAr_num1,547821.7643,463.0325,1183.1173066685385,
PTAr_num2,547821.7643,72.1335,7594.554046316899,
ACKr_num1,168823.2518,42.4337,3978.51829559996,
ACKr_num2,168823.2518,43.2904,3899.7849823517454,
ACKr_num3,168823.2518,43.3841,3891.362314765088,
MOAT,212400.0,47.2911,4491.331349873443,
UDCPDPS,504.0,56.8883,8.85946670932336,
USHD,20475.11943,26.8942,761.3210071316494,
LPADSS,187200.0,84.7649,2208.46128527256,
TDSK,26884.71438,35.5893,755.415655267173,
NTPP1_num1,29218.07367,14.9271,1957.3844665072247,
NTPP1_num2,29218.07367,60.8246,480.36606356638606,
NTPP2_num1,10172.32877,14.9271,681.4671818370615,
NTPP2_num2,10172.32877,60.8246,167.24037264527843,
NTPTP1,28199.90188,356.2976,79.1470441563457,
NTPTP2,58754.90664,356.2976,164.90402023477003,
IPMD_num1,17640.0,79.03399999999998,223.1950805982236,
IPMD_num2,17640.0,40.3149,437.55534554221884,
AIRC3,11996.22974,142.2426,84.33640653362636,
ADSL2r,54000.0,206.1712,261.91825046369235,
PUNP5_num1,18776.87584,179.0077,104.8942354993668,
PUNP5_num2,18776.87584,155.6995,120.59689234711736,
PUNP6_num1,19606.60291,155.6995,125.92592082826212,
PUNP6_num2,19606.60291,179.0077,109.52938287012232,
PUNP7,19138.3919,179.0077,106.91379141791107,
RNDR1_num1,9882.90527,274.1399,36.05059048318032,
RNDR1_num2,9882.90527,270.3917,36.550327802221744,
RNDR3_num1,12566.47479,270.3917,46.47507593613266,
RNDR3_num2,12566.47479,274.1399,45.83964169389425,
RNDR4_num1,10859.48639,270.3917,40.16205523320428,
RNDR4_num2,10859.48639,274.1399,39.61293627815578,
TMDS,26640.0,60.9594,437.0121753166862,
TMDK1,9983.48333,23.4566,425.61510747508163,
PPCDC,540.0,521.2577,1.0359559196919297,
FTHFD,11273.54495,191.6083,58.83641235791977,
EDD,1407600.0,64.639,21776.326985256583,median
DHQTi,212400.0,54.9333,3866.507200550486,
PUNP1,17754.490680000006,155.6995,114.03049258347008,
PUNP2,16381.18715,155.6995,105.21027459946885,
PUNP3_num1,16041.29791,179.0077,89.61233460906988,
PUNP3_num2,16041.29791,155.6995,103.02729238051502,
LYSAM,26321.80499,38.75,679.2723868387097,
DHAD1,1512000.0,131.0631,11536.427873291568,
IPPMIa,11963.94288,72.3693,165.31793011677604,
G3PD7,97058.71559,148.4235,653.9309178802547,
NADH9_num1,10293.42646,40.34,255.16674417451657,
NADH9_num2,10293.42646,47.3587,217.35027481750976,
NADH9_num3,10293.42646,83.384,123.44606231411301,
NADH9_num4,10293.42646,40.751999999999995,252.58702542206512,
NADH10_num1,21675.04155,40.34,537.3089129895885,
NADH10_num2,21675.04155,47.3587,457.6781362241784,
NADH10_num3,21675.04155,40.751999999999995,531.8767557420495,
NADH10_num4,21675.04155,83.384,259.9424535882184,
MDH,25920.0,64.6746,400.7755749552375,
FUM_num1,104334.9147,120.2106,867.9343976321553,
FUM_num2,104334.9147,120.5972,865.152049135469,
FUM_num3,104334.9147,201.9555,516.6232892889769,
PYDXNK,9300.850736,61.6948,150.75582927572503,
PYAM5PO,9300.846143,51.0903,182.04720158229645,
OHPBAT,3.6,79.5666,0.04524511541274857,
GLUTRR,9680.98199,92.6136,104.53088952378485,
GLCS1,12943.08398,52.8224,245.0302140758466,
GLCP_num1,26911.79951,186.3451,144.41914227956624,
GLCP_num2,26911.79951,181.0448,148.64718296244908,
HEMEOS,10296.6826,32.2485,319.29183062778117,
ADMDC,99039.6036,30.3846,3259.5329081179284,
AGMT,34948.09724,67.1141,520.7266020106058,
ARGDC,10396.28729,844.2524,12.31419335023507,
ARGSS,1407600.0,199.5936,7052.3303352412095,median
AGPR,27140.71295,35.9521,754.9131469371747,
SPMS,20729.78166,64.6428,320.68198871336017,
G1SAT,324.0,90.7322,3.570948351301962,
KDOCT2,15120.0,27.6144,547.5404136972014,
OAADC,17454.564169999998,66.8521,261.092234499739,
MNNH,54841.49543,44.838,1223.1030694946248,
ALTRH,69858.52128,54.0931,1291.449764942294,
GUI1,86159.1663,53.9872,1595.9184084375556,
PGAMT,36035.4739,47.5436,757.9458412909413,
UAGDP,57600.0,147.5702,390.3227074300909,
UAGCVT,11880.0,44.8176,265.07443504337584,
GLUR,88419.50993,31.002,2852.058252048255,
UAG2E,57209.15714,84.4892,677.1179883346036,
MACPD,17858.85608,85.2266,209.54556535166247,
DMQMT,22755.67142,53.1109,428.4557674601635,
ICHORS_copy1,50074.22462,42.9316,1166.3721971694506,
HACD5_num1,40209.19967,159.1878,252.58970643478958,
HACD5_num2,40209.19967,77.0722,521.7082121698875,
HPPK2,576.0,18.0788,31.8605217160431,
PTPATi,1980.0,107.0198,18.50124930153112,
HEX7,31530.95853,32.4998,970.1893097803676,
DXPRIi,11880.0,86.77600000000002,136.9042131464921,
OPHBDC,9504.978952,333.6225,28.49022158877174,
OHPHM,24071.53907,53.1109,453.23161667379,
GHMT2r,7192800.0,90.6332,79361.6467254825,BRENDA and SABIO-RK
DHORD2,72000.0,36.7745,1957.8784211885952,
ADK4,9420.738358,23.586,399.42077325532097,
INSK,38426.53993,96.8976,396.5685417389079,
ABTA_num1,33853.97349,91.5493,369.7895395158674,
ABTA_num2,33853.97349,44.7291,756.8668605002111,
SSALx,21752.97002,99.4357,218.76418650444455,
ASPT,20574.12224,209.4245,98.2412384415386,
