id,kcat
TPI,72.0
TPI_reverse,36.79402816
HYD2pp,2002.949016
ATPS4rpp,20000.0
MDH,7.2
PPTHpp,1711.332852
GGGABAH,1615.094328
PSP_L,1481.0
HYD1pp,1464.4276519999999
PGK,22.67019068
RPI_reverse,5952.1812
RPI,19.72288409
PDH,75.07264452
RPE_reverse,30.10193255
RPE,55.14810767
THD2pp,603.1478176
FUM,28.98192075
CYTBO3_4pp,570.1533350999999
MDH_reverse,3.239856488
CFAS180E,447.84208370000005
NO3R2pp,429.97947
SDPDS,428.0
DHAD1,420.0
GMHEPK,417.2452761
ICL,16.24339465
AKGDH,31.30484817
ACOAD3f_reverse,356.0
ACOAD2f_reverse,356.0
ACOAD5f_reverse,356.0
ACOAD4f_reverse,356.0
GHMT2r,3.2
GUI2_reverse,307.4325057
FADRx,303.0
MC6PH,298.7528504
NTRIR3pp,278.8326302
PFK,278.0
ACOAD6f_reverse,278.0
NADH16pp,194.4933436
G6PDH2r,155.0
NADPHXE_reverse,256.3514494
RPNTPH,239.90068670000002
ACGS,228.0
UPLA4FNF,214.51600180000003
NTRIR4pp,208.9581187
MMM,202.3057061
GLUDy_reverse,185.0
PGL,184.0
UDPGALM,181.007276
HSDy_reverse,177.4334488
ASPK,175.3781063
PGK_reverse,922.8375
AMANAPEr_reverse,163.0500171
AGPAT161,160.0
ACONTa,202.78
ACONTb_reverse,16.28213257
ACONTa_reverse,9.51941709
ACONTb,1722.063074
AIRC2,154.0
PTAr,152.1727123
CS,48.22564103
ME2,139.5847681
DHAD2,139.0
AGPAT160,136.0
XTSNH,133.8957154
GND,22.0
FA141ACPHi,129.8651533
ACOAD7f_reverse,128.0
ACOAD1f,120.8313996
PYK,118.7346606
ACOAD2f,118.39824180000001
GAPD,5513.4210920000005
PTAr_reverse,116.8412892
ENO,24.0
MI1PP,112.23363290000002
GARFT,112.0
NO3R1pp,111.5192193
ATPS4rpp_reverse,109.6909466
SUCDi,106.43438959999999
MCTP1Bpp,104.15316949999999
ACOAD3f,104.1349396
PPS,103.02470629999999
SUCOAS_reverse,10.22191712
PGI,71.0
PGI_reverse,89.85074978
GMHEPAT,96.75952178
ACALD,96.62174505
CYANST,92.15883963
TKT2,90.01820152
ACOAD8f_reverse,89.7626029
LPLIPAL1A160pp,87.08311359
PPA,390.0
DAPE,84.0
HSK,81.0
GMHEPPA,78.72973535
DHQS,1928.7692309999998
DASYN161,78.0
FBP,76.22062688
UGCIAMH,71.65079343
GLCP2,71.23313678
PAPPT3,70.0
MTHFC,69.0
MTHFD,69.0
PGM_reverse,67.49064449
ACLS,71.0
X5PL3E,66.94056547
DASYN160,66.0
AADDGT,64.41327046
LALGP,64.17257883
ACOAD5f,61.94543302
GLBRAN2,61.46013901
GLUPRT,61.0
NTPP9,60.96286839
ALLTAMH2,60.56443301
DHQTi,81.78571429
MOAT,59.0
MOAT2,59.0
PGM,45.57991929
PFK_3,58.0
ACOAD6f,57.95580595
PFL,18.40705816
CRNCAR,56.40391108
CTECOAI7_reverse,55.0
MDDEP2pp,54.01913952
NTRIR2x,53.95927949
ICDHyr,138.35555559999997
CAT,52.98340839
G6PDH2r_reverse,7.734476633
LPADSS,52.0
ACOAD4f,51.61029582
GDPTPDP,51.34760026
TKT1,50.806701000000004
GLUDy,50.03275526
ACKr_reverse,49.54372522
DSBGGT,49.14627599
ACONMT,49.12366751
P5CD,49.089296399999995
XYHDL,48.54361202
NO3R1bpp,48.51488265
MAN1PT2,48.3394159
RNDR4b,48.25388296
DDGLK,47.66148076
ACOAD7f,46.90256895
ACKr,46.89534772
4HTHRA,46.84833582
3OAR120_reverse,46.66803357
FHL,46.13723426
PPC,46.0
PHETA1,45.318043200000005
PPM,44.14420548
TDP,43.84486286
UAPGR,43.0
FACOAE161,43.0
MDDCP5pp,42.22524887
G6PDA,42.00673756
GK1,330.7214293
CHORS,42.0
ALLTN,41.73632317
TKT2_reverse,41.61301365
FACOAE100,41.34490438
ALCD19_reverse,40.93159979
PPM2,40.80112227
CITL,40.17608607
DAPDC,40.0
ACALD_reverse,39.63570296
GUAD,39.51990414
DDPA,39.08887745
MDH3,38.74840516
SERAT,1759.774462
GLUSy,37.63934639
GHBDHx_reverse,37.54048157
NADH17pp,37.42068270000001
SERASr_reverse,37.00846706
GAPD_reverse,15.78885703
ASPK_reverse,36.6299615
GDMANE,36.11438499
FACOAE160,36.0
U23GAAT,262.0
FORCT_reverse,35.85113014
CRNBTCT_reverse,35.81703938
CDGUNPD,35.25592426
MCTP2App,34.94344314
PDE1,34.33879151
IPPMIb_reverse,34.23397867
CHORM,147457.6458
G3PD2_reverse,34.0
GLNS,450.0
GLYCTO4,32.52162279
YUMPS_reverse,32.51652271
FBA,10.40164772
P5CR,630.072283
CFAS160G,31.92426023
ALAR,42.338
ECAP2pp,31.43111477
AGDC,31.36568366
ADK1,31.0
PGMT,30.98856986
GDPMNH,30.93002997
ALLULPE_reverse,30.77141975
DAPE_reverse,30.54716354
CFAS180G,29.938231199999997
IPPMIa_reverse,29.60177974
UAMAGS,999.0
ALAR_reverse,28.97017458
SADT2,28.456057300000005
FA140ACPHi,27.84806899
TMAOR1,27.79552849
ADMDC,27.511001
PPCK,26.96154052
G3PD7,26.96075433
ADD,26.91811163
ARMEPNS,26.67170811
GALT1,26.41069628
DMSOR2,26.32459452
NADTRHD,26.27625181
ACODA,3800.0
L_LACD2,25.9861464
SELNPS,25.50218579
UGLYCH,25.39368318
PPGPPDP,25.20023524
GLU5K,25.0
PTA2,24.98114533
GLUR,24.56097498
ECAtpp,24.123212600000002
MALS,23.46476155
CYTK1,24.0
AGPR_reverse,32.88630725
OMPDC,68.93421053
ALCD2x_reverse,23.98388338
ARABDI,23.97851033
GUI1,23.93310175
RBP4E,23.42243079
2AGPEAT160,23.28964517
PUACGAMS_reverse,22.93521711
DHAPT,22.75974317
AMPTASECG,22.5105721
MANPGH,22.39933638
SUCOAS,7.9480721789999995
DMSOR2pp,22.07302957
BPNT,106.8934183
PRATPP,26.91999509
PRAMPC,24.94651645
ADSK,43.2254
FACOAE120,22.0
PPND,40.24753084
SERD_L,21.89696464
WCOS,21.81672177
MLTP1_reverse,21.74589057
AP4AH,21.43020754
DXYLTD,21.42723256
SGDS,21.24959286
NHFRBO,21.18652985
ACOAD8f,21.15230574
PSCVT,100.0
ASPTA_reverse,293.8333333
UHGADA,21.0
GLUR_reverse,5857.621
GTHRDHpp,20.86666434
S4FE4SR,20.81427113
THRD,20.71914153
LACZ,20.59817844
OXCOAHDH,20.52324148
ALAGLUE,20.40729717
GALCTD,20.26165014
MLTGY2pp,20.04315912
FA161ACPHi,20.00414842
DHORD2,20.0
PRAGSr,203.34
PGCD,20.0
FESR,19.955704100000002
DXYLTD_reverse,19.91586449
SULR,254.8423077
MLDCP2Bpp,19.86536546
ETHAAL,19.84114555
GAPP,19.83661868
AGPAT181,19.76804092
HSDy,19.55972572
PETNT181pp,19.46388132
ALTRH,19.4051448
TYRTA,19.31887771
GSNK,19.16790021
G3PD2,19.06784541
ASNS2,19.0
FCLK,18.94602085
UGLT,18.85871497
UDPGPT,18.73753996
F6PA,18.66503202
ACHBS,71.0
ALCD19,18.60804026
MANAO_reverse,18.43672712
HEPT4,18.34744511
CYTD,18.31787659
SFGTHi,18.26042983
XAND,18.19934309
ALCD2x,18.16336914
FRUK,18.10170852
NADHXD,18.07267687
PDE4,18.02105742
DTMPK,18.0
PSSA161,18.0
UAG2E_reverse,17.98853613
ACACT1r,17.98486026
MLTG1,17.94755623
HXAND,17.94683866
EDTXS4,17.68708818
FACOAE140,17.5965996
GLUDC,17.55455847
ALATA_L,17.544364
CDAPPA180,17.53935534
SADH,17.4214089
GLYCLTDy,17.3990068
MLDCP2App,17.15871469
GLYCK2,17.15146118
PROD3,17.11327958
ENO_reverse,14.41036694
SHKK,47.39301683
UAGPT3,17.0
L_LACD3,16.959178299999998
ME1,16.92780566
G3PD5,16.7572722
FCI_reverse,16.70142555
MAN6PI_reverse,16.65210249
UDPG4E_reverse,16.55161013
RBK,16.48643162
GGPTRCO,16.41977503
XYLI2_reverse,16.37720403
DCYTD,16.33573253
NTPTP2,16.3208074
SERASr,16.28196226
GDPMNP,16.24858865
GSPMDA,16.07157034
DRPA,16.03890025
FEOXAMR3,16.03170888
UAGDP,330.0
G1PACT,767.834
UGMDDS,999.0
23PDE7pp,15.95407069
AMALT1,15.91056382
UAG2E,15.89143254
GLYCTO3,15.85725599
THRD_L,190.85
SERAT_reverse,15.78831508
O16AUNDtpp,15.71305907
ASNNpp,15.56311269
3NTD7pp,15.546228699999999
ECOAH1_reverse,15.46847196
CPL,15.45075441
A5PISO,118.0384615
IPDDI_reverse,15.30479842
MNNH,15.23374873
MDDCP1pp,15.13698636
AM4PCP,15.13149622
ECAP3pp,15.08523227
LEUTAi,18.55055556
ADSL2r,123.31
PSSA160,15.0
MTHFC_reverse,14.99499725
TRSARr,14.97507777
DDPGALA_reverse,14.96365901
