,kcat_ori,kcat_change,kcat_mw_new,norm_biomass,ori_biomass,new_biomass
RBFSa,0.01,13.03069704,0.013442153286817513,0.8769972144269698,0.0002636763562241249,0.3435886714566407
KARA2,0.75,16.11290053,0.07450153082101998,0.8769972144269698,0.000272143578758965,0.005846696552561898
KARA1_reverse,2.3,21.84899849,0.10102363825683928,0.8769972144269698,0.0002773067207590907,0.002634293096935221
METS,0.31,170.34306669999998,2.0117636178969804,0.8769972144269698,0.0005407755810797704,0.297152809282589
GLNS,33.25646599,450.0,0.7224910334848905,0.8769972144269698,0.0007771635329989694,0.010515957708062018
METAT,0.006,1.656017118,0.009868611275486945,0.8769972144269698,0.0009139290101991071,0.25056162258474646
ARGSS,2.8,12.64919418,0.0633747483887259,0.8769972144269698,0.0010813339612567557,0.004885001160654138
GTPCI,0.008,14.41892222,0.05806911877351432,0.8769972144269698,0.0010980221455537257,0.8769972144269762
MOHMT,0.01,8.596318281,0.030442980245376356,0.8769972144269698,0.0011979799440614866,0.8769972144269762
ASAD_reverse,6.3,212.52083330000002,2.6553221595835867,0.8769972144269698,0.0016787364725700195,0.05662959905423542
ASPTA_reverse,21.0,293.8333333,3.374462344215831,0.8769972144269698,0.0018780746381567978,0.026278193428103336
CS,29.0,48.22564103,0.16739788874931055,0.8769972144269698,0.0021346112194365885,0.00354975842752323
PRASCSi,3.5,11.68156382,0.1442435490522936,0.8769972144269698,0.0022005030446739307,0.0073443762276445
SULR,19.88866846,254.8423077,0.3241644962190479,0.8769972144269698,0.002330724045607399,0.02986459828920491
ILETA_reverse,6.1,18.55055556,0.09068431394115913,0.8769972144269698,0.0023401863612568705,0.007116681494303248
ACONTa,21.63391493,202.78,1.0844070628173195,0.8769972144269698,0.002453302825633923,0.022995410151936412
OGMEACPD,2.2e-05,9.436948417,0.09234012523765212,0.8769972144269698,0.0024540669701960034,0.8769972144267714
OPMEACPD,2.2e-05,8.451835236,0.08270083608535223,0.8769972144269698,0.0024540669701960034,0.8769972144267714
THDPS,2.4,18.88147386,0.3158271560044293,0.8769972144269698,0.0024674335290632544,0.019411992367980923
ICDHyr,11.0,138.35555559999997,1.5118611656872105,0.8769972144269698,0.0025489235908776452,0.03205979450827026
ADSS,3.3,3.3,0.03485060180652847,0.8769972144269698,0.0026548048851470635,0.002654822622432995
MTHFR2,2.7,87.6030303,0.66159984034547,0.8769972144269698,0.0030119164281915897,0.0977233356069246
EGMEACPR,2.9999999999999997e-05,26.96333333,0.2419195172436069,0.8769972144269698,0.003068480958370942,0.8769972144269111
EPMEACPR,2.9999999999999997e-05,26.96333333,0.2419195172436069,0.8769972144269698,0.003068480958370942,0.8769972144269111
OPMEACPS,2.4e-05,21.51472343,0.25244141418289595,0.8769972144269698,0.0032102653396944144,0.8769972144269111
ACONTb,28.39443256,1722.063074,9.209080580247086,0.8769972144269698,0.003219950797623927,0.19528329566206726
ASPCT,9.664416043,417.0,2.0187428412086894,0.8769972144269698,0.0032247531281590575,0.13914157342010172
KDOPS,0.72,15.382,0.12472148076555085,0.8769972144269698,0.0034206783706908577,0.07307899263606496
THRS,4.0,400.0,8.49008146233163,0.8769972144269698,0.003556930655044316,0.35569306551288676
ADSL1r,10.0,123.31,0.598095175271813,0.8769972144269698,0.003694853550588362,0.04556123913712895
ADSL2r,15.0,123.31,0.598095175271813,0.8769972144269698,0.003704416721747319,0.030452911165463482
3OAR140,1.3,136.57615380000001,1.335823071325454,0.8769972144269698,0.0037251066595462485,0.3913544154273791
OGMEACPR,3.4e-05,20.63111544,0.20178866679968543,0.8769972144269698,0.003791035316486896,0.8769972144272844
OPMEACPR,3.4e-05,21.32227127,0.20854871881394194,0.8769972144269698,0.003791035316486896,0.8769972144272844
GF6PTA,2.2,16.9,0.1263185904340202,0.8769972144269698,0.003967906570002723,0.0304807368330417
AIRC3_reverse,13.0,15.5,0.10896876181959553,0.8769972144269698,0.004653398516702907,0.005548307628303351
PRFGS,14.0,499.525,3.5326411730469074,0.8769972144269698,0.005038631827816356,0.17977938057137066
DHDPS,11.0,124.0,0.9913663186491195,0.8769972144269698,0.005405374669790227,0.06093331445897982
DHORTS_reverse,6.8,65.26363636,0.8404327402813478,0.8769972144269698,0.006035545352668269,0.057926711342023256
IPMD,4.9,33.68599164,0.8355717523793932,0.8769972144269698,0.0061509282493340525,0.04228573828271565
