,kcat_ori,kcat_change,MW,kcat_mw_new,norm_biomass,new_biomass
CS,104400.0,340263.363096,288.0899,1181.1013266900366,0.8769972144269698,0.8769972144269698
ACONTa,77882.09375,1258347.6345600002,186.9962,6729.268480108153,0.8769972144269698,0.8769972144269698
ACONTb,102219.9572,1258347.6345600002,186.9962,6729.268480108153,0.8769972144269698,0.8769972144269698
ICDHyr,39600.0,948166.2432000001,91.5134,10360.955261196723,0.8769972144269698,0.8769972144269698
MALS,84473.14158,1008216.0,60.2736,16727.32340527196,0.8769972144269698,0.8769972144269698
MDH,25920.0,3527782.8494399996,64.6746,54546.65122691133,0.8769972144269698,0.8769972144269698
ICL,58476.22074,694642.9091040001,190.0863,3654.355464354875,0.8769972144269698,0.8769972144269698
SUCOAS_reverse,36798.90163,514908.776592,142.3403,3617.4490048988227,0.8769972144269698,0.8769972144269698
SUCDi,383163.8026,849427.47936,355.0752,2392.24671100657,0.8769972144269698,0.8769972144269698
AKGDH,1991168.2908,1991168.2908,2418.391,823.3442362297908,0.8769972144269698,0.8769972144269698
