,MW,kcat,kcat_MW
ALATA_D2_num1,90.6321,4681.349382315276,51.65222236178215
ALATA_D2_num2,145.9772,4681.349382315276,32.06904490780256
CPPPGO,68.6444,59.688,0.8695246808188286
GTHOr,97.5439,888000.0011999999,9103.593368729362
DHORD5,36.7741,159865.3806390936,4347.227549799822
PFK_3,139.3667,219600.0,1575.6992165273339
TRPS2,143.4127,12276.0,85.59911360709337
LEUTAi_num1,204.5595,49500.0,241.9833838076452
LEUTAi_num2,87.0746,49500.0,568.4780636373868
SHK3Dr,29.4133,180000.0,6119.6805526751505
SHK3Dr_reverse,62.4549,14040.0,224.80221727998924
ALATA_L2_num1,145.9772,4681.349382315276,32.06904490780256
ALATA_L2_num2,90.6321,4681.349382315276,51.65222236178215
MAN6PI,42.8494,4123800.0,96239.38724929637
RBFK,34.7338,1697.4,48.86882517893233
ACP1_FMN_num1,30.3706,86400.0,2844.856538889584
ACP1_FMN_num2,27.1215,86400.0,3185.6645097063215
ACP1_FMN_num3,30.1958,86400.0,2861.3250849455885
RBFSb,70.3339,529.2,7.524109995322314
DMATT,32.1593,1440.0,44.777094028787936
GRTT,32.1593,10709.999999999998,333.02963683911025
UPP3S,27.7976,108000.0,3885.227501654819
UPPDC1,39.2477,1141.2,29.076863102806023
TMDPP,94.4132,39060.0,413.7133366944453
HCO3E_num1,100.3859,1476000000.0,14703260.119200006
HCO3E_num2,47.528,1476000000.0,31055377.882511362
IMPC,57.3286,24617.813649907985,429.4159224175714
IMPD,208.0874,18360.0,88.23215629586414
ECOAH4_num1,77.0713,689400.0,8944.963948966737
ECOAH4_num2,159.1859,689400.0,4330.785578370948
GLUTRS,53.8151,2880.0,53.51657806080449
TMPPP,23.015,3596400.0,156263.30653921355
URIK1,24.3528,799200.0,32817.5815511974
URIK2,24.3528,5767.380000000001,236.82615551394505
CYTDK1,24.3528,799200.0,32817.5815511974
CYTDK2,24.3528,799200.0,32817.5815511974
XPPT,67.8815,4680.0,68.94367390231506
HXPRT_num1,67.8815,9000.0,132.58398827368282
HXPRT_num2,80.4601,9000.0,111.85668424473745
NDPK5_num1,23.5857,198000.0,8394.91725918671
NDPK5_num2,61.853,198000.0,3201.1381824648765
DHORTS,77.6539,52932.51666043254,681.6465967637497
OMPDC,52.6999,62280.0,1181.7859236924548
CS,288.0868,158400.0,549.8342860554528
ICDHyr,91.5124,289800.0,3166.783954961295
ACALD_num1,33.4421,48780.0,1458.6404561914471
ACALD_num2,3845.0436,48780.0,12.686462124902823
ACS,72.0927,237600.0,3295.7567132317145
PPA_num1,116.2706,309600.0,2662.753954998082
PPA_num2,26.9001,309600.0,11509.250894978086
PPA_num3,118.2199,309600.0,2618.848434146874
PPCK,59.6427,61200.0,1026.1104879557768
ME1,252.7864,469800.0,1858.4860577942486
ALAR_num1,77.6884,168462.0,2168.4318379577903
ALAR_num2,78.305,168462.0,2151.3568737628502
ALATA_L_num1,91.0337,21924.0,240.83388898836367
ALATA_L_num2,92.4313,21924.0,237.1923796376336
XYLK_num1,122.1774,126000.0,1031.2872920851155
XYLK_num2,105.2353,126000.0,1197.3168699096216
RBK,64.5802,37440.0,579.7442559793868
GLYK,224.9204,11826000.0,52578.60114067021
PPM,44.3694,232758.0,5245.912723633856
ASPTA_num1,87.1457,432000.0,4957.215330188408
ASPTA_num2,87.0746,432000.0,4961.263100835376
FBP_num1,68.6461,86400.0,1258.6294050208242
FBP_num2,147.334,86400.0,586.4226858701996
FBP_num3,71.7038,86400.0,1204.9570594584945
FBP_num4,29.7208,86400.0,2907.0549917902613
GLGC,194.7884,155952.0,800.6226243451869
PYK_num1,205.4264,2.4282,0.011820291841749648
PYK_num2,202.9155,2.4282,0.011966557507928176
A5PISO_num1,140.7829,367200.0,2608.271317042055
A5PISO_num2,136.1243,367200.0,2697.5345327762934
IPPMIb,72.3685,6840.0,94.51626052771579
ACHBS_num1,143.0911,77580.0,542.172084776761
ACHBS_num2,161.9203,77580.0,479.12460636498326
ACLS_num1,161.9203,83880.0,518.0326370442742
ACLS_num2,143.0911,83880.0,586.1999802922753
PSCVT,46.0953,48240.0,1046.527520159322
ANS,228.7262,972.0000000000001,4.2496224743820346
ANPRT,113.7385,1440.0,12.660620634174004
CHORM_num1,86.2217,521820000.0,6052072.738069419
CHORM_num2,84.084,521820000.0,6205936.920222634
CHORS,156.548,3132.0,20.006643329841328
IGPS,49.4917,7034.267925960246,142.13025468836688
ECOAH6_num1,77.0713,689400.0,8944.963948966737
ECOAH6_num2,159.1859,689400.0,4330.785578370948
ENO,91.3088,133200.0,1458.786009672671
FBA_num1,78.2936,33660.0,429.9201978194897
FBA_num2,381.0875,33660.0,88.32617181093582
MGSA,101.5103,792000.0,7802.163918341292
PPS,174.8682,37080.0,212.04541477524216
PGI,123.05799999999999,3927600.0,31916.657186042357
PGK,41.1177,810720.0,19717.056158296793
EDA,66.8513,237600.0,3554.1567628453004
PGL,36.3072,184850.97777079217,5091.303591871369
RPE,24.554000000000002,1800000.0,73307.81135456545
TALA_num1,70.4376,46800.0,664.4178677297352
TALA_num2,35.6584,46800.0,1312.4537275929374
TKT1_num1,144.4218,20340.0,140.83746359621608
TKT1_num2,73.0418,20340.0,278.4706839097613
G6PDA,178.6432,550800.0,3083.2407838641493
ALCD2x_num1,3845.0436,394200.0,102.52159429349514
ALCD2x_num2,141.5167,394200.0,2785.5369719616133
ALDD2y_num1,29.4098,10080.0,342.74289522540107
ALDD2y_num2,84.193,10080.0,119.72491774850641
ALDD2y_num3,225.2228,10080.0,44.75568192918301
ALDD2y_num4,31.4876,10080.0,320.12601786099924
ALDD2y_num5,36.5014,10080.0,276.15379136142724
RMI,188.7955,538200.0,2850.703539014436
FMNAT,34.7338,46.44,1.3370261819898772
NADDP_num1,59.3772,3474.0,58.50730583456276
NADDP_num2,73.6052,3474.0,47.19775233271562
NMNAT_num1,189.38099999999997,3884.3999999999996,20.511033313796
NMNAT_num2,24.5276,3884.3999999999996,158.36853177644775
HMPK1_num1,114.5331,594.0,5.186273662373584
HMPK1_num2,61.693999999999996,594.0,9.628164813434045
