,kcat,MW,kcat_MW
RBFSa,13.03069704,969.3906,0.013442153286817513
KARA2,16.11290053,216.2761,0.07450153082101998
KARA1_reverse,21.84899849,216.2761,0.10102363825683928
METS,170.34306669999998,84.6735,2.0117636178969804
GLNS,450.0,622.8451,0.7224910334848905
METAT,1.656017118,167.8065,0.009868611275486945
ARGSS,12.64919418,199.5936,0.0633747483887259
GTPCI,14.41892222,248.3062,0.05806911877351432
MOHMT,8.596318281,282.3744,0.030442980245376356
ASAD_reverse,212.52083330000002,80.0358,2.6553221595835867
ASPTA_reverse,293.8333333,87.0756,3.374462344215831
CS,48.22564103,288.0899,0.16739788874931055
PRASCSi,11.68156382,80.985,0.1442435490522936
SULR,254.8423077,786.1512,0.3241644962190479
ILETA_reverse,18.55055556,204.5619,0.09068431394115913
ACONTa,202.78,186.9962,1.0844070628173195
OGMEACPD,9.436948417,102.1977,0.09234012523765212
OPMEACPD,8.451835236,102.1977,0.08270083608535223
THDPS,18.88147386,59.7842,0.3158271560044293
ICDHyr,138.35555559999997,91.5134,1.5118611656872105
ADSS,3.3,94.6899,0.03485060180652847
MTHFR2,87.6030303,132.4109,0.66159984034547
EGMEACPR,26.96333333,111.4558,0.2419195172436069
EPMEACPR,26.96333333,111.4558,0.2419195172436069
OPMEACPS,21.51472343,85.2266,0.25244141418289595
ACONTb,1722.063074,186.9962,9.209080580247086
ASPCT,417.0,206.5642,2.0187428412086894
KDOPS,15.382,123.3308,0.12472148076555085
THRS,400.0,47.1138,8.49008146233163
ADSL1r,123.31,206.1712,0.598095175271813
ADSL2r,123.31,206.1712,0.598095175271813
3OAR140,136.57615380000001,102.2412,1.335823071325454
OGMEACPR,20.63111544,102.2412,0.20178866679968543
OPMEACPR,21.32227127,102.2412,0.20854871881394194
GF6PTA,16.9,133.7887,0.1263185904340202
AIRC3_reverse,15.5,142.2426,0.10896876181959553
PRFGS,499.525,141.4027,3.5326411730469074
DHDPS,124.0,125.0799,0.9913663186491195
DHORTS_reverse,65.26363636,77.6548,0.8404327402813478
IPMD,33.68599164,40.3149,0.8355717523793932
G1SAT,10.34520585,90.7322,0.11401912275906458
CTPS2,11.0,241.4966,0.045549295518032135
PRAIS,14.00242063,73.7081,0.18997126001077222
ORPT_reverse,262.62268,47.134,5.571830950057284
IMPC_reverse,23.39098894,57.3292,0.40801178003530486
AICART,18.98893786,57.3292,0.33122628363905304
SADT2,28.456057300000005,350.9871,0.08107436797534726
DHDPRy,18.08050014,115.0264,0.15718565598853831
RHCCE,0.38,19.4162,0.01957128583347926
CYSTL,34.1,87.2837,0.3906800467899505
ATPPRT,16.06117102,66.7334,0.24067664797537663
G5SD,17.67040011,178.5202,0.09898263675483222
HISTD,46.55976959,92.2207,0.5048733049087678
NADS1,9.555888176,61.2737,0.1559541561224473
HCO3E,3374976.4710000004,47.5285,71009.53051327099
ANS,8.582722222000001,228.7288,0.03752357474004148
LEUTAi,18.55055556,87.0756,0.21303965243994874
THRD_L,190.85,140.928,1.354237624886467
IPPS,23.10539391,57.2979,0.4032502746173944
OCBT,3450.0,110.4814,31.22697576243603
SHSL1,166.0,166.2016,0.9987870152874581
ACCOAC,11.613,252.4556,0.04600016795032473
PPCDC,1.8666666669999998,521.2577,0.003581082192167137
PPNCL2,6.335005128,521.2577,0.012153307525241352
HSTPT,268.1982024,78.7203,3.4069763758522265
AMPMS2,6.7255695079999995,70.8504,0.09492634491830675
ACHBS,71.0,143.0927,0.49618184575453533
SDPTA_reverse,24.0,44.7291,0.5365634452738821
GLUTRS,1.5,53.8157,0.027872906976960255
PANTS,2.587333333,63.1953,0.04094186328730143
PPBNGS,507.55,284.9983,1.7808878158220596
IGPDH,1000.0,80.5559,12.413740024008174
HISTP,430.75521430000003,80.5559,5.347283244306128
ICYSDS,8.745075847999999,90.179,0.0969746376429102
OGMEACPS,7.350803645,67.0302,0.10966405657449926
P5CR,630.072283,281.4488,2.2386746115101572
ACGK,63.46666667,54.3191,1.168404238472287
PHETA1_reverse,176.6586667,87.0756,2.028796433214356
ACLS,71.0,143.0927,0.49618184575453533
TYRTA_reverse,145.257,87.0756,1.6681711064867772
GLUPRT,61.0,225.9522,0.2699686039790717
3OAS140,10.60356575,85.2266,0.12441615352483848
ACOTA_reverse,12.10379399,44.7291,0.27060222517332116
CHORS,42.0,156.5498,0.26828523575245705
GLU5K,25.0,156.2261,0.16002447734405453
HSST,19.02222222,71.4546,0.2662141026609903
ARGSL,230.47744440000002,50.3182,4.580399227317353
MECDPS,20.71697756,50.6926,0.40867853611769767
PPNDH,1890.0,86.2227,21.919981628967776
ANPRT,12.13529219,113.7399,0.10669336081709233
CYSS,810.0,65.3283,12.398914406160882
SERAT,1759.774462,175.8998,10.004414229009926
PGAMT_reverse,7.9,47.5436,0.16616326908353596
IPPMIa_reverse,29.60177974,72.3693,0.409037806639003
5DOAN,25.74418929,48.7079,0.5285423779304794
RBFSb,9.752638212,70.3347,0.13866040819112047
PRAGSr,203.34,45.9404,4.426169558819688
TYRL,11.24190817,26.8961,0.4179754005227524
PPA,390.0,26.9004,14.497925681402506
ACODA,3800.0,84.6947,44.86703418277649
IPPMIb_reverse,34.23397867,72.3693,0.4730455962680308
SHK3Dr,237.0,29.4136,8.05749721217396
UAGDP,330.0,147.5702,2.2362238446515623
G1PACT,767.834,147.5702,5.203177877376326
PSCVT,100.0,46.0958,2.169395042498449
CHORM,147457.6458,84.085,1753.6736136052805
DAPDC,40.0,92.3545,0.433113708590269
DDPA,39.08887745,77.4701,0.5045672775690234
UMPK,170.7966667,24.7463,6.901907222493867
UAGAAT,15.27859144,92.8795,0.1644990707314316
AHCYSNS,2.131684167,48.7079,0.04376464941005463
OMPDC,68.93421053,52.7005,1.3080371254542178
HSDy_reverse,177.4334488,177.7754,0.9980764987731712
MCOATA,199.6692538,41.0567,4.863256272423259
ASPK,175.3781063,97.0635,1.8068388869142367
PRAIi,114.425,49.4923,2.311975802296519
IGPS,49.7921389,49.4923,1.0060582939164273
IG3PS,13.73405688,50.1073,0.2740929341632856
PPND,40.24753084,84.085,0.4786529207349706
ADSK,43.2254,44.6426,0.968254537146134
HSK,81.0,67.2473,1.2045093260249855
AGPR_reverse,32.88630725,35.9521,0.9147256279883512
SHKK,47.39301683,19.1508,2.474727783173549
ACGS,228.0,295.1711,0.7724333445923398
QULNS,9.918012811,76.4816,0.1296784169133491
UAGCVT,4.75,44.8176,0.10598514869158546
DHQTi,81.78571429,54.9333,1.488818517911722
DXPS,5.854545455,135.2339,0.04329199597881892
A5PISO,118.0384615,136.1257,0.867128407787802
PSD160,12.77145308,35.9344,0.3554102219600161
MPTG,14.71847982,128.5965,0.11445474659108142
PSD161,19.1008352,35.9344,0.5315473529542722
NNDPR,400.852,65.5241,6.117626949473552
KDOPP,34.80323389,79.9884,0.435103513634477
BPNT,106.8934183,27.1759,3.9333901839497494
DHAD2,139.0,131.0631,1.0605578534309048
GK1,330.7214293,47.1854,7.008977974119113
DHAD1,420.0,131.0631,3.204563298136547
MCTP1App,27.49250419,228.3702,0.12038569038342128
DAPE,84.0,60.4171,1.390334855529312
