,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
TPI,8.33 # 8.31 # 8.31,8.33 # 7.82 # 0.0 # 0.0,26.9718 # 53.9436,12046.6 # 12046.6 # 61.65 # 72.0 # 61.65 # 61.65 # 4500.0
TPI_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.08 # 0.08,26.9718 # 53.9436,12046.6 # 12046.6 # 44.12 # 36.79 # 44.12 # 44.12 # 4500.0
HYD2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,134.532 # 181.7482,nan # nan # 112.69 # 2002.95 # 112.69 # 112.69 # 2002.95
ATPS4rpp,70.43 # 0.0 # 70.54,70.43 # 52.1 # 0.0 # 58.51,227.3487 # 530.0127,107.39 # 115.69 # 20.0 # 1876.34 # 20000.0 # 20000.0 # 1876.34
MDH,6.88 # 6.87 # 6.87,6.88 # 3.56 # 0.61 # 0.61,32.3373 # 64.6746,518.35 # 489.97 # 931.0 # 7.2 # 931.0 # 931.0 # 1750.0
PPTHpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,49.4386 # 98.8772,nan # nan # 747.24 # 1711.33 # 747.24 # 747.24 # nan
GGGABAH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.013 # 56.0261,nan # nan # 27.76 # 1615.09 # 27.76 # 27.76 # 1615.09
PSP_L,1.51 # 1.51 # 1.51,1.51 # 1.22 # 0.97 # 0.97,35.0427 # 35.0427,166.81 # 183.88 # 1.43 # 1481.0 # 7.15 # 7.15 # 1481.0
HYD1pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,134.532 # 181.7482,nan # nan # 138.66 # 1464.43 # 138.66 # 138.66 # 1464.43
PGK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.1182 # 41.1182,276.13 # 272.92 # 1480.0 # 22.67 # 1480.0 # 1480.0 # 1316.5
RPI_reverse,1.43 # 1.45 # 1.45,1.43 # 1.98 # 0.0 # 9.92,16.0733 # 32.1466,5952.18 # 5760.51 # 69.0 # 23.78 # 69.0 # 69.0 # 1050.0
RPI,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,16.0733 # 32.1466,5952.18 # 5760.51 # 69.0 # 19.72 # 6900.0 # 6900.0 # 1050.0
PDH,9.69 # 9.67 # 9.67,9.69 # 12.3 # 0.0 # 0.0,216.453 # 4079.7264,181.42 # 168.81 # 23.15 # 75.07 # 2315.09 # 2315.09 # 964.11
RPE_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.5542 # 24.5542,1397.86 # 1299.14 # 14.89 # 30.1 # 14.89 # 14.89 # 650.0
RPE,0.89 # 0.94 # 0.94,0.89 # 2.37 # 18.53 # 18.53,24.5542 # 24.5542,1406.01 # 1299.07 # 2.0 # 55.15 # 200.0 # 200.0 # 650.0
THD2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,103.3465 # 206.6929,253.47 # 253.47 # 47.24 # 603.15 # 47.24 # 47.24 # 603.15
