,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_GO
TPI,12046.6,12046.6,61.64784278,72,61.64784278
TPI_reverse,12046.6,12046.6,44.12222614,36.79402816,44.12222614
HYD2pp,,,112.6948784,2002.949016,112.6948784
ATPS4rpp,107.3877778,115.6851933,20,1876.341742,20000
MDH,518.3470588,489.9698402,931,7.2,931
PPTHpp,,,747.236867,1711.332852,747.2368669
GGGABAH,,,27.7649221,1615.094328,27.7649221
PSP_L,166.807695,183.8783807,1.43,1481,7.15
HYD1pp,,,138.6569861,1464.427652,138.6569861
PGK,276.1282381,272.9215048,1480,22.67019068,1480
RPI_reverse,5952.1812,5760.50778,69,23.77588629,69
RPI,5952.1812,5760.50778,69,19.72288409,6900
PDH,181.4225455,168.8052475,23.15086651,75.07264452,2315.086651
RPE_reverse,1397.856769,1299.140816,14.88712642,30.10193255,14.88712642
RPE,1406.0115,1299.074725,2,55.14810767,200
THD2pp,253.4666667,253.4666667,47.23553608,603.1478176,47.23553608
FUM,582.15,557.5174071,1150,28.98192075,1150
CYTBO3_4pp,,810.094741,167.8500663,570.1533351,960
MDH_reverse,475.3644264,436.3804845,931,3.239856488,931
CFAS180E,14.67228571,14.67228571,0.12,447.8420837,0.12
NO3R2pp,,,94.28607015,429.97947,94.28607017
SDPDS,187.2722167,179.6912435,266.667,428,266.667
DHAD1,14.89546154,46.47105175,40.842121,420,40.842121
GMHEPK,,,70.28473586,417.2452761,70.28473586
ICL,96.47818182,96.47818182,24.32320962,16.24339465,24.32320962
AKGDH,297.0958333,276.5511515,16.61283861,31.30484817,166.1283861
ACOAD3f_reverse,19.69350167,19.69350167,25.41599407,356,25.41599407
ACOAD2f_reverse,,,19.56242625,356,19.56242625
ACOAD5f_reverse,19.69350167,19.69350167,18.05428005,356,18.05428005
ACOAD4f_reverse,,,16.6197415,356,16.6197415
GHMT2r,67.19272727,61.7016979,32.10425086,3.2,32.10425086
GUI2_reverse,67.86666667,67.86666667,12.02531253,307.4325057,12.02531253
FADRx,81.167,81.167,0.07,303,7
MC6PH,,,16.31634441,298.7528504,16.31634441
NTRIR3pp,,,700,278.8326302,700
PFK,73.88238889,73.57073434,62,278,62
ACOAD6f_reverse,19.69350167,19.69350167,15.32892458,278,15.32892458
NADH16pp,186.919037,211.0742268,35.48560068,194.4933436,3548.560067
G6PDH2r,443.0647059,424.6983139,43.50432043,155,43.50432044
NADPHXE_reverse,,,39.45621104,256.3514494,39.45621103
RPNTPH,,,27.65833933,239.9006867,27.65833933
ACGS,2.2,5.255190364,18.31959999,228,18.31959999
UPLA4FNF,,,28.98088666,214.5160018,28.98088667
NTRIR4pp,,,700,208.9581187,700
MMM,,,11.91678714,202.3057061,11.91678714
GLUDy_reverse,1561.451765,1516.894097,41.15403633,185,4115.403633
PGL,14.3,51.34749383,123.6208569,184,123.6208569
UDPGALM,13.74891333,13.74891333,13.03371135,181.007276,13.03371135
HSDy_reverse,67.502,61.83342082,51.68186251,177.4334488,51.6818625
ASPK,20.91363636,19.59980242,1.35,175.3781063,135
PGK_reverse,922.8375,871.4029513,72.29333547,42,72.29333547
AMANAPEr_reverse,,,17.37511344,163.0500171,17.37511344
AGPAT161,,,15.98679631,160,15.98679631
ACONTa,202.78,174.7705048,35.25057259,21.63391493,35.25057258
ACONTb_reverse,202.78,174.7705048,25.44044418,16.28213257,25.44044418
ACONTa_reverse,202.78,174.7705048,24.04205683,9.51941709,24.04205683
ACONTb,202.78,174.7705048,17.22063074,28.39443256,1722.063074
AIRC2,10.26433333,10.26433333,5.9,154,5.9
PTAr,1549.610833,1492.64113,120,152.1727123,120
CS,48.22564103,47.25880043,44,29,44
ME2,136.0168421,136.0168421,66.6,139.5847681,66.6
DHAD2,14.89546154,46.47105175,19.60354844,139,19.60354844
AGPAT160,,,13.32461149,136,13.32461149
XTSNH,10.05742857,10.05742857,16.70395385,133.8957154,16.70395385
GND,80.61916667,75.31877816,44.76302978,22,44.76302978
FA141ACPHi,3.282793103,3.282793103,42.34536354,129.8651533,42.34536356
ACOAD7f_reverse,19.69350167,19.69350167,15.90345235,128,15.90345235
ACOAD1f,0.77577,0.77577,20.61594879,120.8313996,20.61594879
PYK,2568.523083,2547.524963,38.79320097,118.7346606,387.9320097
ACOAD2f,,,20.53963761,118.3982418,20.53963761
GAPD,125.234,116.5038824,55.13421091,29,5513.421092
PTAr_reverse,1820.688235,1726.503792,120,116.8412892,120
ENO,65.09481478,64.06122167,36.18305709,24,3618.305708
MI1PP,3.909,3.909,6.5,112.2336329,6.5
GARFT,6.3756,6.3756,22.62854814,112,22.62854814
NO3R1pp,,,33.84845731,111.5192193,33.84845731
ATPS4rpp_reverse,107.3877778,115.6851933,0.35,109.6909466,0.35
SUCDi,,117.9760388,96.78120303,106.4343896,96.78120303
MCTP1Bpp,,,13.69801508,104.1531695,13.69801508
ACOAD3f,19.69350167,19.69350167,15.3977505,104.1349396,15.3977505
PPS,393.3666,393.3666,30.47554933,103.0247063,30.47554933
SUCOAS_reverse,74.682,71.51510786,44.73,10.22191712,44.73
PGI,1354.681667,1302.747389,92.42163848,71,9242.163847
PGI_reverse,1786.8,1704.396415,52.48487602,89.85074978,5248.487603
GMHEPAT,,,43.20214251,96.75952178,43.2021425
ACALD,11.03,11.03,15.7,96.62174505,15.7
CYANST,145.7,145.7,230,92.15883963,230
TKT2,12448.92086,23.47351731,90.56053438,90.01820152,90.56053439
ACOAD8f_reverse,,,21.71215345,89.7626029,21.71215345
LPLIPAL1A160pp,1034.85,1034.85,17.07340573,87.08311359,17.07340573
PPA,102.9238462,102.9238462,390,84.26185339,390
DAPE,69.786625,62.88755068,22.35190319,84,22.35190319
HSK,11.78181818,13.71518452,46.513199,81,46.513199
GMHEPPA,,,20.17995521,78.72973535,20.17995521
DHQS,1928.769231,1792.954095,50.64992988,78,50.64992989
DASYN161,5.806666667,5.806666667,14.09478426,78,14.09478426
FBP,19.01666667,166.8892333,22,76.22062688,22
UGCIAMH,,,38.14039707,71.65079343,38.14039708
GLCP2,49.31054468,49.31054468,8.808719057,71.23313678,8.808719058
PAPPT3,204.052,204.052,12.50751869,70,12.50751869
MTHFC,2962.333333,2962.333333,42.51418493,69,42.51418494
MTHFD,175.1076923,175.1076923,20.94857597,69,20.94857597
PGM_reverse,302.1747842,291.2097186,220,67.49064449,220
ACLS,39.05123077,39.05123077,71,66.99370013,71
X5PL3E,,,18.82449558,66.94056547,18.82449558
DASYN160,5.806666667,5.806666667,21.23729576,66,21.23729576
AADDGT,,,13.71924692,64.41327046,13.71924692
LALGP,6656.26,6656.26,121.8077939,64.17257883,121.8077939
ACOAD5f,19.69350167,19.69350167,13.90392407,61.94543302,13.90392407
GLBRAN2,500.075,500.075,12.62472243,61.46013901,12.62472243
GLUPRT,,,18.22171812,61,18.22171812
NTPP9,6.914333333,6.914333333,24.35458788,60.96286839,24.35458788
ALLTAMH2,,,66.55986469,60.56443301,66.55986469
DHQTi,81.78571429,79.93143414,28.14776861,59,28.14776861
MOAT,,,17.18153896,59,17.18153896
MOAT2,,,13.12021418,59,13.12021418
PGM,314.677121,309.7451285,79.51968518,45.57991929,79.51968517
PFK_3,105.5894333,104.3756114,62,58,62
ACOAD6f,19.69350167,19.69350167,12.53876309,57.95580595,12.53876309
PFL,7.9825,7.9825,12.8,18.40705816,12.8
CRNCAR,,,51.12985951,56.40391108,51.1298595
CTECOAI7_reverse,95.42728814,95.42728814,16.9911056,55,16.9911056
MDDEP2pp,,,11.66239174,54.01913952,11.66239174
NTRIR2x,130,130,28.07643328,53.95927949,28.07643328
ICDHyr,138.3555556,131.689756,106.4,11,106.4
CAT,4689.703704,4689.703704,29.5470625,52.98340839,29.5470625
G6PDH2r_reverse,1432.033333,1369.196968,22.7694034,7.734476633,22.76940341
LPADSS,,,12.26672625,52,12.26672625
ACOAD4f,,,14.72260925,51.61029582,14.72260925
GDPTPDP,2.635833333,2.635833333,9.723700645,51.34760026,9.723700644
TKT1,12448.92086,12083.07923,58.17878619,50.806701,58.17878619
GLUDy,80.01669231,74.43931471,17.62777682,50.03275526,17.62777682
ACKr_reverse,1985.4,1806.072951,3515,49.54372522,3515
DSBGGT,,,12.59909022,49.14627599,12.59909022
ACONMT,,,13.29240038,49.12366751,13.29240038
P5CD,6.756,6.756,27.86342053,49.0892964,27.86342053
XYHDL,,,35.5371914,48.54361202,35.53719139
NO3R1bpp,,,15.83504758,48.51488265,15.83504758
MAN1PT2,,,19.64278837,48.3394159,19.64278837
RNDR4b,,,37.02857912,48.25388296,37.02857911
DDGLK,15.345,15.345,35.74869808,47.66148076,35.74869808
ACOAD7f,19.69350167,19.69350167,19.12272155,46.90256895,19.12272156
ACKr,874.2,820.3626536,3515,46.89534772,3515
4HTHRA,,,79.26698611,46.84833582,79.26698611
3OAR120_reverse,87.99916207,85.49145213,31.85174836,46.66803357,31.85174836
FHL,,,13.26926047,46.13723426,13.26926047
PPC,74.59696875,73.22491968,540,46,540
PHETA1,188.0475128,175.008888,180,45.3180432,180
PPM,81.38214286,81.38214286,15.19470912,44.14420548,15.19470912
TDP,0.566842105,0.566842105,21.76312557,43.84486286,21.76312557
UAPGR,30.20769231,29.94964279,16.36271306,43,16.36271306
FACOAE161,,,15.90515017,43,15.90515017
MDDCP5pp,33.84328846,33.84328846,13.88468687,42.22524887,13.88468687
G6PDA,287.9636364,287.9636364,1800,42.00673756,1800
GK1,287.3785714,330.7214293,209,42,209
CHORS,0.43915,9.959298729,28.70349154,42,28.70349153
ALLTN,703.8131818,703.8131818,0.578,41.73632317,0.578
TKT2_reverse,12448.92086,12083.07923,42.55788187,41.61301365,42.55788186
FACOAE100,10.84344615,10.84344615,36.87284517,41.34490438,36.87284517
ALCD19_reverse,5.040245439,5.040245439,11.22019441,40.93159979,11.22019441
PPM2,105.95,105.95,15.95880139,40.80112227,15.95880139
CITL,,,25.11849938,40.17608607,25.11849938
DAPDC,19.60555556,20.9563901,19.06297745,40,19.06297745
ACALD_reverse,8.8213,8.8213,29.88863364,39.63570296,29.88863364
GUAD,137.62,137.62,41.78053394,39.51990414,41.78053394
DDPA,38.6077619,36.98613998,1.7,39.08887745,1.7
MDH3,,,15.60716246,38.74840516,15.60716246
SERAT,1759.774462,1759.774462,16.9,38,16.9
GLUSy,23.6,23.6,12.64197766,37.63934639,12.64197766
GHBDHx_reverse,1329,1329,35.48043204,37.54048157,35.48043203
NADH17pp,186.919037,211.0742268,28.90453937,37.4206827,28.90453936
SERASr_reverse,,,10.63783539,37.00846706,10.63783539
GAPD_reverse,125.234,116.5038824,26.51087041,15.78885703,26.51087041
ASPK_reverse,20.91363636,19.59980242,12.89347314,36.6299615,12.89347314
GDMANE,,,34.75294149,36.11438499,34.75294147
FACOAE160,10.84344615,10.84344615,17.0798683,36,17.0798683
U23GAAT,262,262,10.7440278,36,10.7440278
FORCT_reverse,4.525,4.525,18.68396625,35.85113014,18.68396625
CRNBTCT_reverse,,,26.02873272,35.81703938,26.02873272
CDGUNPD,,,40.6778709,35.25592426,40.67787089
MCTP2App,,,47.52240384,34.94344314,47.52240383
PDE1,5.193849231,5.193849231,232.0276113,34.33879151,232.0276113
IPPMIb_reverse,3.2,2.666269018,17.15282609,34.23397867,17.15282609
CHORM,147457.6458,140085.6403,34.183,34.19392524,34.183
G3PD2_reverse,,,17.45795129,34,17.45795129
GLNS,139.8340741,134.9037977,4.5,33.25646599,450
GLYCTO4,,,11.08948814,32.52162279,11.08948814
YUMPS_reverse,,,19.8142351,32.51652271,19.8142351
