id,kcat
HCO3E,12149915296
HCO3E_reverse,10142154781
ACACT1r_reverse,1638647607
ACACT1r,1200988584
ACACT5r,1200988584
ACACT2r_reverse,1200988584
ACACT2r,1200988584
ACACT4r,1200988584
ACACT6r,1200988584
ACACT3r_reverse,1200988584
ACACT7r,1200988584
ACACT5r_reverse,1200988584
ACACT3r,1200988584
ACACT4r_reverse,1200988584
ACACT6r_reverse,1200988584
ACACT7r_reverse,1200988584
LALDO2x,764378496
CHORM,530847524.9
GLYCLTDx,431185812.1
GLYCLTDy,339299496
SPODM,181871280
SPODMpp,181871280
QUINDH,81180237.31
HPYRRy,69938682.34
MAN6PI_reverse,61907781.6
MAN6PI,61907781.6
GTHPi,55713829.86
TKT2,44816115.1
TKT1,44816115.1
TKT2_reverse,44816115.1
TKT1_reverse,44816115.1
TPI,43367760
TPI_reverse,43367760
ACONIs,36540000
ACONIs_reverse,36540000
LALGP,23962536
RPI_reverse,21427852.32
RPI,21427852.32
ALLPI,21427852.32
ALLPI_reverse,21427852.32
GLUR_reverse,21087435.6
GALM2pp,19093275
CAT,16882933.33
NTPTP1,14400000
GLYK,11826000
URIC,11251836
MTHFC,10664400
MTHFC_reverse,10664400
CYSDDS,10198224
PYK,9246683.099
HACD1,8698746.686
IPDDI_reverse,7745920.456
IPDDI,7745920.456
ACKr_reverse,7147440
DHQS,6943569.232
FALDH2,6786759.139
FALDH2_reverse,6786759.139
PTAr_reverse,6554477.646
PGI_reverse,6432480
SERAT,6335188.063
DXPRIi,6249426.001
PPA2,5993539.2
PLIPA1A160pp,5803020
PLIPA1A180pp,5803020
PLIPA1E180pp,5803020
PLIPA1E160pp,5803020
PLIPA1A141pp,5803020
PLIPA1A140pp,5803020
PLIPA1A120pp,5803020
GLUDy_reverse,5621226.354
PTAr,5578598.999
G6PDH2r_reverse,5155319.999
RPE,5061641.4
RPE_reverse,5032284.368
HACD1_reverse,4965491.502
HACD5,4965491.502
HACD2_reverse,4965491.502
HACD3,4965491.502
HACD2,4965491.502
HACD4,4965491.502
HACD3_reverse,4965491.502
HACD7,4965491.502
HACD4_reverse,4965491.502
HACD6,4965491.502
HACD8,4965491.502
HACD6_reverse,4965491.502
HACD5_reverse,4965491.502
HACD7_reverse,4965491.502
HACD8_reverse,4965491.502
HADPCOADH3,4965491.502
HADPCOADH3_reverse,4965491.502
PGI,4876854.001
GHBDHx_reverse,4784400
GHBDHx,4784400
NADN,4611186
PUNP5,4521917.455
SERAT_reverse,4283662.255
ECOAH2,4002840
ECOAH6_reverse,4002840
ECOAH2_reverse,4002840
ECOAH5,4002840
ECOAH3,4002840
ECOAH4,4002840
ECOAH3_reverse,4002840
ECOAH7,4002840
ECOAH6,4002840
ECOAH4_reverse,4002840
ECOAH5_reverse,4002840
ECOAH7_reverse,4002840
ECOAH8_reverse,4002840
DHACOAH,4002840
ECOAH8,4002840
DHACOAH_reverse,4002840
GLUCYS,3868431.43
LPLIPAL1A160pp,3725460
LPLIPAL2E160,3725460
