id,kcat
TPI,259200
TPI_reverse,132458.5014
HYD2pp,7210616.458
ATPS4rpp,6754830.271
MDH,25920
PPTHpp,6160798.267
GGGABAH,5814339.581
PSP_L,5331600
HYD1pp,5271939.547
PGK,81612.68645
RPI_reverse,85593.19064
RPI,71002.38272
PDH,270261.5203
RPE_reverse,108366.9572
RPE,198533.1876
THD2pp,2171332.143
FUM,104334.9147
CYTBO3_4pp,2052552.006
MDH_reverse,11663.48336
CFAS180E,1612231.501
NO3R2pp,1547926.092
SDPDS,1540800
DHAD1,1512000
GMHEPK,1502082.994
ICL,58476.22074
AKGDH,112697.4534
ACOAD3f_reverse,1281600
ACOAD2f_reverse,1281600
ACOAD5f_reverse,1281600
ACOAD4f_reverse,1281600
GHMT2r,11520
GUI2_reverse,1106757.021
FADRx,1090800
MC6PH,1075510.261
NTRIR3pp,1003797.469
PFK,1000800
ACOAD6f_reverse,1000800
NADH16pp,700176.037
G6PDH2r,558000
NADPHXE_reverse,922865.2178
RPNTPH,863642.4721
ACGS,820800
UPLA4FNF,772257.6065
NTRIR4pp,752249.2273
MMM,728300.542
GLUDy_reverse,666000
PGL,662400
UDPGALM,651626.1936
HSDy_reverse,638760.4157
ASPK,631361.1827
PGK_reverse,151200
AMANAPEr_reverse,586980.0616
AGPAT161,576000
ACONTa,77882.09375
ACONTb_reverse,58615.67725
ACONTa_reverse,34269.90152
ACONTb,102219.9572
AIRC2,554400
PTAr,547821.7643
CS,104400
ME2,502505.1652
DHAD2,500400
AGPAT160,489600
XTSNH,482024.5754
GND,79200
FA141ACPHi,467514.5519
ACOAD7f_reverse,460800
ACOAD1f,434993.0386
PYK,427444.7782
ACOAD2f,426233.6705
GAPD,104400
PTAr_reverse,420628.6411
ENO,86400
MI1PP,404041.0784
GARFT,403200
NO3R1pp,401469.1895
ATPS4rpp_reverse,394887.4078
SUCDi,383163.8026
MCTP1Bpp,374951.4102
ACOAD3f,374885.7826
PPS,370888.9427
SUCOAS_reverse,36798.90163
PGI,255600
PGI_reverse,323462.6992
GMHEPAT,348334.2784
ACALD,347838.2822
CYANST,331771.8227
TKT2,324065.5255
ACOAD8f_reverse,323145.3704
LPLIPAL1A160pp,313499.2089
PPA,303342.6722
DAPE,302400
HSK,291600
GMHEPPA,283427.0473
DHQS,280800
DASYN161,280800
FBP,274394.2568
UGCIAMH,257942.8563
GLCP2,256439.2924
PAPPT3,252000
MTHFC,248400
MTHFD,248400
PGM_reverse,242966.3202
ACLS,241177.3205
X5PL3E,240986.0357
DASYN160,237600
AADDGT,231887.7737
LALGP,231021.2838
ACOAD5f,223003.5589
GLBRAN2,221256.5004
GLUPRT,219600
NTPP9,219466.3262
ALLTAMH2,218031.9588
DHQTi,212400
MOAT,212400
MOAT2,212400
PGM,164087.7094
PFK_3,208800
ACOAD6f,208640.9014
PFL,66265.40938
CRNCAR,203054.0799
CTECOAI7_reverse,198000
MDDEP2pp,194468.9023
NTRIR2x,194253.4062
ICDHyr,39600
CAT,190740.2702
G6PDH2r_reverse,27844.11588
LPADSS,187200
ACOAD4f,185797.065
GDPTPDP,184851.3609
TKT1,182904.1236
GLUDy,180117.9189
ACKr_reverse,178357.4108
DSBGGT,176926.5936
ACONMT,176845.203
P5CD,176721.467
XYHDL,174757.0033
NO3R1bpp,174653.5775
MAN1PT2,174021.8972
RNDR4b,173713.9787
DDGLK,171581.3307
ACOAD7f,168849.2482
ACKr,168823.2518
4HTHRA,168654.009
3OAR120_reverse,168004.9209
FHL,166094.0433
PPC,165600
PHETA1,163144.9555
PPM,158919.1397
TDP,157841.5063
UAPGR,154800
FACOAE161,154800
MDDCP5pp,152010.8959
G6PDA,151224.2552
GK1,151200
CHORS,151200
ALLTN,150250.7634
TKT2_reverse,149806.8491
FACOAE100,148841.6558
ALCD19_reverse,147353.7592
PPM2,146884.0402
CITL,144633.9099
DAPDC,144000
ACALD_reverse,142688.5307
GUAD,142271.6549
DDPA,140719.9588
MDH3,139494.2586
SERAT,136800
GLUSy,135501.647
GHBDHx_reverse,135145.7337
NADH17pp,134714.4577
SERASr_reverse,133230.4814
GAPD_reverse,56839.88531
ASPK_reverse,131867.8614
GDMANE,130011.786
FACOAE160,129600
U23GAAT,129600
FORCT_reverse,129064.0685
CRNBTCT_reverse,128941.3418
CDGUNPD,126921.3273
MCTP2App,125796.3953
PDE1,123619.6494
IPPMIb_reverse,123242.3232
CHORM,123098.1309
G3PD2_reverse,122400
GLNS,119723.2776
GLYCTO4,117077.842
YUMPS_reverse,117059.4818
FBA,37445.93179
P5CR,115200
CFAS160G,114927.3368
ALAR,113967.7232
ECAP2pp,113152.0132
AGDC,112916.4612
ADK1,111600
PGMT,111558.8515
GDPMNH,111348.1079
ALLULPE_reverse,110777.1111
DAPE_reverse,109969.7887
CFAS180G,107777.6323
IPPMIa_reverse,106566.4071
UAMAGS,104400
ALAR_reverse,104292.6285
SADT2,102441.8063
FA140ACPHi,100253.0484
TMAOR1,100063.9026
ADMDC,99039.6036
PPCK,97061.54587
G3PD7,97058.71559
ADD,96905.20187
ARMEPNS,96018.1492
GALT1,95078.50661
DMSOR2,94768.54027
NADTRHD,94594.50652
ACODA,93600
L_LACD2,93550.12704
SELNPS,91807.86884
UGLYCH,91417.25945
PPGPPDP,90720.84686
GLU5K,90000
PTA2,89932.12319
GLUR,88419.50993
ECAtpp,86843.56536
MALS,84473.14158
CYTK1,86400
AGPR_reverse,86400
OMPDC,86400
ALCD2x_reverse,86341.98017
ARABDI,86322.63719
GUI1,86159.1663
RBP4E,84320.75084
2AGPEAT160,83842.72261
PUACGAMS_reverse,82566.7816
DHAPT,81935.07541
AMPTASECG,81038.05956
MANPGH,80637.61097
SUCOAS,28613.05984
DMSOR2pp,79462.90645
BPNT,79200
PRATPP,79200
PRAMPC,79200
ADSK,79200
FACOAE120,79200
PPND,79200
SERD_L,78829.0727
WCOS,78540.19837
MLTP1_reverse,78285.20605
AP4AH,77148.74714
DXYLTD,77138.03722
SGDS,76498.5343
NHFRBO,76271.50746
ACOAD8f,76148.30066
PSCVT,75600
ASPTA_reverse,75600
UHGADA,75600
GLUR_reverse,75600
GTHRDHpp,75119.99162
S4FE4SR,74931.37607
THRD,74588.90951
LACZ,74153.44238
OXCOAHDH,73883.66933
ALAGLUE,73466.26981
GALCTD,72941.9405
MLTGY2pp,72155.37283
FA161ACPHi,72014.93431
DHORD2,72000
PRAGSr,72000
PGCD,72000
FESR,71840.53476
DXYLTD_reverse,71697.11216
SULR,71599.20646
MLDCP2Bpp,71515.31566
ETHAAL,71428.12398
GAPP,71411.82725
AGPAT181,71164.94731
HSDy,70415.01259
PETNT181pp,70069.97275
ALTRH,69858.52128
TYRTA,69547.95976
GSNK,69004.44076
G3PD2,68644.24348
ASNS2,68400
FCLK,68205.67506
UGLT,67891.37389
UDPGPT,67455.14386
F6PA,67194.11527
ACHBS,67064.87156
ALCD19,66988.94494
MANAO_reverse,66372.21763
HEPT4,66050.8024
CYTD,65944.35572
SFGTHi,65737.54739
XAND,65517.63512
ALCD2x,65388.1289
FRUK,65166.15067
NADHXD,65061.63673
PDE4,64875.80671
DTMPK,64800
PSSA161,64800
UAG2E_reverse,64758.73007
ACACT1r,64745.49694
MLTG1,64611.20243
HXAND,64608.61918
EDTXS4,63673.51745
FACOAE140,63347.75856
GLUDC,63196.41049
ALATA_L,63159.7104
CDAPPA180,63141.67922
SADH,62717.07204
GLYCLTDy,62636.42448
MLDCP2App,61771.37288
GLYCK2,61745.26025
PROD3,61607.80649
ENO_reverse,51877.32098
SHKK,61262.15929
UAGPT3,61200
L_LACD3,61053.04188
ME1,60940.10038
G3PD5,60326.17992
FCI_reverse,60125.13198
MAN6PI_reverse,59947.56896
UDPG4E_reverse,59585.79647
RBK,59351.15383
GGPTRCO,59111.19011
XYLI2_reverse,58957.93451
DCYTD,58808.63711
NTPTP2,58754.90664
SERASr,58615.06414
GDPMNP,58494.91914
GSPMDA,57857.65322
DRPA,57740.0409
FEOXAMR3,57714.15197
UAGDP,57600
G1PACT,57600
UGMDDS,57600
23PDE7pp,57434.65448
AMALT1,57278.02975
UAG2E,57209.15714
GLYCTO3,57086.12156
THRD_L,57035.45056
SERAT_reverse,56837.93429
O16AUNDtpp,56567.01265
ASNNpp,56027.20568
3NTD7pp,55966.42332
ECOAH1_reverse,55686.49906
CPL,55622.71588
A5PISO,55549.16712
IPDDI_reverse,55097.27431
MNNH,54841.49543
MDDCP1pp,54493.1509
AM4PCP,54473.38639
ECAP3pp,54306.83617
LEUTAi,54098.62261
ADSL2r,54000
PSSA160,54000
MTHFC_reverse,53981.9901
TRSARr,53910.27997
DDPGALA_reverse,53869.17244
ECAP1pp,53500.34426
SQVOSI,53182.41289
THRA,53168.68951
POR5_reverse,52980.56892
GALM2pp,52658.36885
23PDE2pp,52628.11949
CFAS160E,52560.31961
BSORy,52282.98518
CTECOAI8_reverse,51918.91394
DMSOR1,51527.57551
FADRx2,51368.76695
MLTG5,51313.46702
HOPNTAL,50874.6321
GLXCL,50871.83922
NTPP3,50618.48846
GLYCTO2,50485.46818
