id,kcat
13PPDH2,9783.379271
13PPDH2_reverse,10451.44479
23PDE2pp,52628.11949
23PDE4pp,48310.69378
23PDE7pp,57434.65448
23PDE9pp,43543.38935
2AGPEAT120,17213.08318
2AGPEAT140,33704.87601
2AGPEAT141,18684.28389
2AGPEAT160,83842.72261
2AGPEAT161,16922.37939
2AGPEAT180,22628.36988
2AGPEAT181,21320.30109
2AGPGAT120,17444.69856
2AGPGAT140,26004.84427
2AGPGAT141,9645.640135
2AGPGAT160,9649.160262
2AGPGAT161,9645.635293
2AGPGAT180,9737.355798
2AGPGAT181,25994.16807
2DDARAA,28422.21991
2DDARAA_reverse,9688.408474
2DGULRGx,17496.28312
2DGULRGy,9611.080776
2DGULRx,20094.4938
2DGULRy,19562.41623
2DOXG6PP,9865.296
2HESR,27159.73869
2HPTCOAT,50248.12219
2MAHMP,10170.48834
3AMACHYD,21702.14096
3HAD100,9300.031517
3HAD120,9300.045229
3HAD121,9300.039797
3HAD140,9689.000825
3HAD141,9300.023712
3HAD160,9300.049708
3HAD161,9300.028072
3HAD180,9449.861839
3HAD181,16748.6226
3HAD40,13622.60957
3HAD60,35394.22481
3HAD80,9300.030919
3HBZCT,29600.99634
3HCINNMH,13931.45469
3HPADHi,29369.09112
3HPPPNH,16534.68041
3KGK,46839.28669
3NTD2pp,44836.48256
3NTD4pp,46917.55912
3NTD7pp,55966.42332
3NTD9pp,39469.58003
3OAR100,9300.038342
3OAR100_reverse,21350.28
3OAR120,9300.029854
3OAR120_reverse,168004.9209
3OAR121,9300.02693
3OAR140,4680
3OAR140_reverse,10447.04323
3OAR141,9300.034418
3OAR160,9300.030959
3OAR160_reverse,15760.16442
3OAR161,9300.055921
3OAR180,9346.605887
3OAR180_reverse,11764.09956
3OAR181,16993.44901
3OAR40,11866.89778
3OAR40_reverse,15479.59285
3OAR60,14676.62331
3OAR60_reverse,16171.49843
3OAR80,9300.033619
3OAR80_reverse,41062.49348
3OAS100,9300.069292
3OAS120,9300.044909
3OAS121,9300.067402
3OAS140,15220.88429
3OAS141,9300.05716
3OAS160,9300.048851
3OAS161,9300.049776
3OAS180,16822.95266
3OAS181,13204.15682
3OAS60,14210.82631
3OAS80,9300.057325
3OXCOAT,24123.2729
