gene,GO,GO_fun,namespcae
b0180,GO:0006633,fatty acid biosynthetic process,biological_process
b0180,GO:0009245,lipid A biosynthetic process,biological_process
b2784,GO:0015949,nucleobase-containing small molecule interconversion,biological_process
b2784,GO:0015969,guanosine tetraphosphate metabolic process,biological_process
b2784,GO:0015970,guanosine tetraphosphate biosynthetic process,biological_process
b2784,GO:0042594,response to starvation,biological_process
b1394,GO:0010124,"phenylacetate catabolic process,",biological_process
b3432,GO:0005978,glycogen biosynthetic process,biological_process
b3432,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3930,GO:0009234,"menaquinone biosynthetic process,",biological_process
b1686,GO:0009234,"menaquinone biosynthetic process,",biological_process
b0867,GO:0009253,peptidoglycan catabolic process,biological_process
b0867,GO:0009254,peptidoglycan turnover,biological_process
b0867,GO:0071555,cell wall organization,biological_process
b0110,GO:0009253,peptidoglycan catabolic process,biological_process
b0110,GO:0009254,peptidoglycan turnover,biological_process
b0110,GO:0071555,cell wall organization,biological_process
b3018,GO:0016024,CDP-diacylglycerol biosynthetic process,biological_process
b3018,GO:0046474,glycerophospholipid biosynthetic process,biological_process
b0173,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b0173,GO:0051484,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process",biological_process
b0420,GO:0006744,ubiquinone biosynthetic process,biological_process
b0420,GO:0008615,pyridoxine biosynthetic process,biological_process
b0420,GO:0009228,thiamine biosynthetic process,biological_process
b0420,GO:0016114,terpenoid biosynthetic process,biological_process
b0420,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b0420,GO:0052865,1-deoxy-D-xylulose 5-phosphate biosynthetic process,biological_process
b2515,GO:0016114,terpenoid biosynthetic process,biological_process
b2515,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b3288,GO:0006413,translational initiation,biological_process
b3288,GO:0019988,charged-tRNA amino acid modification,biological_process
b3288,GO:0071951,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA,biological_process
b3146,GO:0000453,"enzyme-directed rRNA 2'-O-methylation,",biological_process
b4371,GO:0031167,rRNA methylation,biological_process
b4371,GO:0070475,rRNA base methylation,biological_process
b3497,GO:0031167,rRNA methylation,biological_process
b3497,GO:0070475,rRNA base methylation,biological_process
b3465,GO:0070475,"rRNA base methylation,",biological_process
b2946,GO:0070475,"rRNA base methylation,",biological_process
b0082,GO:0070475,"rRNA base methylation,",biological_process
b1835,GO:0070475,"rRNA base methylation,",biological_process
b3289,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b3289,GO:0070475,rRNA base methylation,biological_process
b0051,GO:0000028,ribosomal small subunit assembly,biological_process
b0051,GO:0006364,rRNA processing,biological_process
b0051,GO:0046677,response to antibiotic,biological_process
