,name,gene_reaction_rule,subunit_num,subunit_mw
ALATA_D2_num1,D-alanine transaminase,b2551,2,45.31605480000002
ALATA_D2_num2,D-alanine transaminase,b0870,4 ,36.49429420000008
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),b3368,2,49.950815400000025
CPPPGO,Coproporphyrinogen oxidase (O2 required),b2436,2,34.32220930000003
GTHOr,Glutathione oxidoreductase,b3500,2,48.77194720000004
DHORD5,Dihydroorotic acid (menaquinone-8),b0945,1,36.7740758
GLYCTO2,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 ,38.360551100000045 and 53.811083100000076 and 45.10964480000002
GLYCTO3,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 ,38.360551100000045 and 53.811083100000076 and 45.10964480000002
GLYCTO4,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 ,38.360551100000045 and 53.811083100000076 and 45.10964480000002
PFK_3,Phosphofructokinase (s7p),b3916,4,34.841664300000005
TRPS2,Tryptophan synthase (indole),b1260 and b1261,2 and 2 ,28.72380890000001 and 42.982535800000036
G3PD5_num1,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),( b2242 and b2243 and b2241 ),( 1 and 1 and 1 ),( 45.35671000000009 and 44.107567199999984 and 58.95758900000013 )
G3PD5_num2,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),b3426,2 ,56.74983740000007
LEUTAi_num1,Leucine transaminase (irreversible),b3770,6,34.09324390000002
LEUTAi_num2,Leucine transaminase (irreversible),b4054,2 ,43.53729480000009
SHK3Dr,Shikimate dehydrogenase,b3281,1,29.413278500000015
SHK3Dr_reverse,Shikimate dehydrogenase,b1692,2,31.227454600000012
G5SD,Glutamate-5-semialdehyde dehydrogenase,b0243,4,44.62954760000013
ALATA_L2_num1,Alanine transaminase,b0870,4,36.49429420000008
ALATA_L2_num2,Alanine transaminase,b2551,2 ,45.31605480000002
MAN6PI,Mannose-6-phosphate isomerase,b1613,1,42.849419500000046
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,b0414,2,40.33785500000001
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",b3041,2,23.353233499999995
RBFK,Riboflavin kinase,b0025,1,34.7338411
ACP1_FMN_num1,Acid phosphatase (FMN),b0446,1,30.370595700000006
ACP1_FMN_num2,Acid phosphatase (FMN),b3812,1,27.121509300000007
ACP1_FMN_num3,Acid phosphatase (FMN),b0844,1 ,30.195845700000007
RBFSb,Riboflavin synthase,b1662,3,23.44463330000001
DMATT,Dimethylallyltranstransferase,b0421,1,32.15926200000001
GRTT,Geranyltranstransferase,b0421,1,32.15926200000001
UPP3S,Uroporphyrinogen-III synthase,b3804,1,27.797606800000022
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),b3997,1,39.24767560000004
TMDPP,Thymidine phosphorylase,b4382,2,47.20660120000011
HCO3E_num1,HCO3 equilibration reaction,b0126,4,25.096479300000027
HCO3E_num2,HCO3 equilibration reaction,b0339,2 ,23.763997000000003
IMPC,IMP cyclohydrolase,b4006,1,57.32855670000012
IMPD,IMP dehydrogenase,b2508,4,52.02185580000007
ECOAH4_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b2341,1,77.0712984000004
ECOAH4_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b3846,2 ,79.59295340000031
GLUTRS,Glutamyl-tRNA synthetase,b2400,1,53.81510000000009
TMPPP,Thiamine-phosphate diphosphorylase,b3993,1,23.014987799999982
URIK1,Uridine kinase  ATPUridine ,b2066,1,24.352843600000007
URIK2,Uridine kinase (GTP:Uridine),b2066,1,24.352843600000007
CYTDK1,ATP:cytidine 5'-phosphotransferase,b2066,1,24.352843600000007
CYTDK2,Cytidine kinase (GTP),b2066,1,24.352843600000007
XPPT,Xanthine phosphoribosyltransferase,b0238,4,16.970386399999978
HXPRT_num1,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0238,4,16.970386399999978
HXPRT_num2,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0125,4 ,20.115013299999994
NDPK5_num1,Nucleoside-diphosphate kinase (ATP:dGDP),b0474,1,23.585735300000007
NDPK5_num2,Nucleoside-diphosphate kinase (ATP:dGDP),b2518,4 ,15.46325559999998
DHORTS,Dihydroorotase,b1062,2,38.82694330000009
OMPDC,Orotidine-5'-phosphate decarboxylase,b1281,2,26.349952099999975
CS,Citrate synthase,b0720,6,48.01447290000005
ICDHyr,Isocitrate dehydrogenase (NADP),b1136,2,45.75618410000003
ACALD_num1,Acetaldehyde dehydrogenase (acetylating),b0351,1,33.44210610000002
ACALD_num2,Acetaldehyde dehydrogenase (acetylating),b1241,40 ,96.12608940000067
ACS,Acetyl-CoA synthetase,b4069,1,72.09270770000026
PPA_num1,Inorganic diphosphatase,b2502,2,58.13528910000012
PPA_num2,Inorganic diphosphatase,b2744,1,26.900114600000002
PPA_num3,Inorganic diphosphatase,b4226,6 ,19.703315300000003
PPCK,Phosphoenolpyruvate carboxykinase,b3403,1,59.64274990000014
ME1,Malic enzyme (NAD),b1479,4,63.19658750000014
ALAR_num1,Alanine racemase,b1190,2,38.844180800000025
ALAR_num2,Alanine racemase,b4053,2 ,39.15249270000002
ALATA_L_num1,L-alanine transaminase,b2290,2,45.51683090000005
ALATA_L_num2,L-alanine transaminase,b2379,2 ,46.21567400000004
XYLK_num1,Xylulokinase,b0063,2,61.08872140000013
XYLK_num2,Xylulokinase,b3564,2 ,52.61764420000009
RBK,Ribokinase,b3752,2,32.29010860000006
GLYK,Glycerol kinase,b3926,4,56.23010950000007
PPM,Phosphopentomutase,b4383,1,44.36943790000008
ASPTA_num1,Aspartate transaminase,b0928,2,43.57283760000009
ASPTA_num2,Aspartate transaminase,b4054,2 ,43.53729480000009
FBP_num1,Fructose-bisphosphatase,b2930,2,34.323073799999996
FBP_num2,Fructose-bisphosphatase,b4232,4,36.83349170000005
FBP_num3,Fructose-bisphosphatase,b3925,2,35.85192450000001
FBP_num4,Fructose-bisphosphatase,b3697,1 ,29.720789200000006
GLGC,Glucose-1-phosphate adenylyltransferase,b3430,4,48.69710570000008
PYK_num1,Pyruvate kinase,b1854,4,51.35658870000014
PYK_num2,Pyruvate kinase,b1676,4 ,50.72887210000009
A5PISO_num1,Arabinose-5-phosphate isomerase,b3197,4,35.19573530000005
A5PISO_num2,Arabinose-5-phosphate isomerase,b2708,4 ,34.031070299999996
IPPMIb,2-isopropylmalate hydratase,b0071 and b0072,1 and 1 ,22.487205299999996 and 49.88129230000009
ACHBS_num1,2-aceto-2-hydroxybutanoate synthase,( b3670 and b3671 ),( 2 and 2 ),( 11.105639399999994 and 60.43991000000009 )
ACHBS_num2,2-aceto-2-hydroxybutanoate synthase,( b0077 and b0078 ),( 2 and 2 ) ,62.98363010000011 and 17.976541599999997
ACLS_num1,Acetolactate synthase,( b0077 and b0078 ),( 2 and 2 ),( 62.98363010000011 and 17.976541599999997 )
ACLS_num2,Acetolactate synthase,( b3670 and b3671 ),( 2 and 2 ) ,11.105639399999994 and 60.43991000000009
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,b0908,1,46.09526300000007
ANS,Anthranilate synthase,b1263 and b1264,2 and 2 ,56.86927080000013 and 57.49381780000013
ANPRT,Anthranilate phosphoribosyltransferase,b1263,2,56.86927080000013
CHORM_num1,Chorismate mutase,b2599,2,43.11083600000003
CHORM_num2,Chorismate mutase,b2600,2 ,42.04202000000006
CHORS,Chorismate synthase,b2329,4,39.136993500000024
IGPS,Indole-3-glycerol-phosphate synthase,b1262,1,49.491724000000076
ECOAH6_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b2341,1,77.0712984000004
ECOAH6_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b3846,2 ,79.59295340000031
ENO,Enolase,b2779,2,45.65440730000002
FBA_num1,Fructose-bisphosphate aldolase,b2925,2,39.14679310000004
FBA_num2,Fructose-bisphosphate aldolase,b2097,10 ,38.10875040000001
MGSA,Methylglyoxal synthase,b0963,6,16.91838119999999
PPS,Phosphoenolpyruvate synthase,b1702,2,87.4340998000005
PGI,Glucose-6-phosphate isomerase,b4025,2,61.52900370000017
PGK,Phosphoglycerate kinase,b2926,1,41.11770940000005
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,b1850,3,22.28375649999999
PGL,6-phosphogluconolactonase,b0767,1,36.30720400000005
