,name,gene_reaction_rule,subunit_mw,subunit_num
ALATA_D2_num1,D-alanine transaminase,b2551,45.31659,2
ALATA_D2_num2,D-alanine transaminase,b0870,36.49471 ,4 
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),b3368,49.9514,2
CPPPGO,Coproporphyrinogen oxidase (O2 required),b2436,34.32263,2
GTHOr,Glutathione oxidoreductase,b3500,48.77251,2
DHORD5,Dihydroorotic acid (menaquinone-8),b0945,36.77452,1
GLYCTO2,Glycolate oxidase,b4468 and b2979 and b4467,38.36098 and 53.8117 and 45.11012 ,1 and 1 and 1 
GLYCTO3,Glycolate oxidase,b4468 and b2979 and b4467,38.36098 and 53.8117 and 45.11012 ,1 and 1 and 1 
GLYCTO4,Glycolate oxidase,b4468 and b2979 and b4467,38.36098 and 53.8117 and 45.11012 ,1 and 1 and 1 
PFK_3,Phosphofructokinase (s7p),b3916,34.84204,4
TRPS2,Tryptophan synthase (indole),b1260 and b1261,28.72416 and 42.98301 ,2 and 2 
G3PD5_num1,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),( b2242 and b2243 and b2241 ),( 45.35724 and 44.10804 and 58.95825 ),( 1 and 1 and 1 )
G3PD5_num2,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),b3426,56.75054 ,2 
LEUTAi_num1,Leucine transaminase (irreversible),b3770,34.09365,6
LEUTAi_num2,Leucine transaminase (irreversible),b4054,43.53781 ,2 
SHK3Dr_forward,Shikimate dehydrogenase,b3281,29.41364 ,1
SHK3Dr_reverse,Shikimate dehydrogenase,b1692,31.2278,2
G5SD,Glutamate-5-semialdehyde dehydrogenase,b0243,44.63005,4
ALATA_L2_num1,Alanine transaminase,b0870,36.49471,4
ALATA_L2_num2,Alanine transaminase,b2551,45.31659 ,2 
MAN6PI,Mannose-6-phosphate isomerase,b1613,42.84995,1
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,b0414,40.33831,2
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",b3041,23.35347,2
RBFK,Riboflavin kinase,b0025,34.73427,1
ACP1_FMN_num1,Acid phosphatase (FMN),b0446,30.37091,1
ACP1_FMN_num2,Acid phosphatase (FMN),b3812,27.122,1
ACP1_FMN_num3,Acid phosphatase (FMN),b0844,30.196 ,1 
RBFSb,Riboflavin synthase,b1662,23.4449,3
DMATT,Dimethylallyltranstransferase,b0421,32.15963,1
GRTT,Geranyltranstransferase,b0421,32.15963,1
UPP3S,Uroporphyrinogen-III synthase,b3804,27.79794,1
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),b3997,39.24812,1
TMDPP,Thymidine phosphorylase,b4382,47.20712,2
HCO3E_num1,HCO3 equilibration reaction,b0126,25.09677,4
HCO3E_num2,HCO3 equilibration reaction,b0339,23.76426 ,2 
IMPC,IMP cyclohydrolase,b4006,57.32921,1
IMPD,IMP dehydrogenase,b2508,52.02245,4
ECOAH4_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b2341,77.07221,1
ECOAH4_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b3846,79.59391 ,2 
GLUTRS,Glutamyl-tRNA synthetase,b2400,53.81573,1
TMPPP,Thiamine-phosphate diphosphorylase,b3993,23.01528,1
URIK1,Uridine kinase  ATPUridine ,b2066,24.35311,1
URIK2,Uridine kinase (GTP:Uridine),b2066,24.35311,1
CYTDK1,ATP:cytidine 5'-phosphotransferase,b2066,24.35311,1
CYTDK2,Cytidine kinase (GTP),b2066,24.35311,1
XPPT,Xanthine phosphoribosyltransferase,b0238,16.97059,4
HXPRT_num1,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0238,16.97059,4
HXPRT_num2,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0125,20.11524 ,4 
NDPK5_num1,Nucleoside-diphosphate kinase (ATP:dGDP),b0474,23.58602,1
NDPK5_num2,Nucleoside-diphosphate kinase (ATP:dGDP),b2518,15.46344 ,4 
DHORTS,Dihydroorotase,b1062,38.82738,2
OMPDC,Orotidine-5'-phosphate decarboxylase,b1281,26.35024,2
